Geneid	Ctrl_R1	Ctrl_R2	Ctrl_R3	0_R1	0_R2	0_R3	2_R1	2_R2	2_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	20_R1	20_R2	20_R3	30_R1	30_R2	30_R3	Entity	Symbol
gene-SAURSH1000_RS05795	2168	1981	2201	2798	2470	2070	3308	2967	2312	2894	3502	1199	1090	2325	565	486	508	263	325	603	177	host	gene-SAURSH1000_RS05795
gene-CPT_phageK_gp057	0	0	0	0	0	0	43	3	17	978	138	753	2169	1202	1043	260	432	252	123	116	111	phage	gene-CPT_phageK_gp057
gene-CPT_phageK_gp056	0	0	0	0	0	0	37	3	6	665	94	573	1645	749	755	224	329	201	99	82	80	phage	gene-CPT_phageK_gp056
gene-SAURSH1000_RS05915	387	452	414	673	376	344	685	287	426	595	264	222	279	225	78	93	66	32	68	64	17	host	gene-SAURSH1000_RS05915
gene-SAURSH1000_RS13270	41	17	16	49	21	19	38	34	14	36	60	21	19	44	8	14	14	6	14	11	2	host	gene-SAURSH1000_RS13270
gene-SAURSH1000_RS06970	853	668	496	1010	932	618	965	860	570	855	762	306	523	685	146	236	192	55	228	213	41	host	gene-SAURSH1000_RS06970
gene-SAURSH1000_RS01725	402	639	508	469	832	437	547	612	614	481	614	355	288	414	177	100	117	76	69	115	46	host	nfsA
gene-CPT_phageK_gp108	1	0	0	12	0	1	53	5	23	769	159	1232	2738	2206	2622	1586	1917	2127	1366	1478	1163	phage	gene-CPT_phageK_gp108
gene-SAURSH1000_RS03550	239	75	354	382	41	379	349	54	340	328	78	116	161	133	48	29	32	27	12	29	13	host	gene-SAURSH1000_RS03550
gene-SAURSH1000_RS02955	10	1	2	9	6	2	11	8	4	2	7	1	7	11	4	2	1	2	1	3	0	host	gene-SAURSH1000_RS02955
gene-SAURSH1000_RS07925	2695	2149	2132	3149	2647	2180	3543	3254	2009	2777	4552	1481	1198	2300	833	510	624	301	427	706	147	host	rpmI
gene-SAURSH1000_RS01010	98	354	126	118	174	126	137	122	71	180	96	65	184	164	37	41	81	24	18	66	6	host	gene-SAURSH1000_RS01010
gene-SAURSH1000_RS03515	351	249	267	446	283	279	438	338	270	418	377	140	216	326	48	95	87	19	85	86	7	host	gene-SAURSH1000_RS03515
gene-SAURSH1000_RS10840	135	123	91	193	167	88	146	172	122	158	148	75	102	127	22	45	39	8	36	36	2	host	gene-SAURSH1000_RS10840
gene-CPT_phageK_gp080	1	2	0	60	2	1	94	21	35	3326	399	4084	15883	7292	10241	9330	8108	7695	5186	4043	2500	phage	gene-CPT_phageK_gp080
gene-SAURSH1000_RS00405	9	12	5	8	9	8	7	12	9	10	12	3	10	10	6	3	4	3	5	5	2	host	gene-SAURSH1000_RS00405
gene-SAURSH1000_RS04315	3	9	11	13	15	4	14	14	2	10	5	0	7	9	2	1	1	1	2	0	0	host	gene-SAURSH1000_RS04315
gene-SAURSH1000_RS08340	89	96	60	85	114	59	79	120	58	98	159	30	54	95	13	25	28	10	17	28	2	host	sasC
gene-SAURSH1000_RS09015	2082	907	988	1131	988	578	1077	1032	993	908	1342	640	297	573	212	234	92	53	171	177	43	host	gene-SAURSH1000_RS09015
gene-SAURSH1000_RS00895	3	5	4	7	2	3	5	2	5	5	6	0	3	3	0	1	2	1	0	1	1	host	gene-SAURSH1000_RS00895
gene-SAURSH1000_RS04065	228	224	238	346	194	241	431	200	260	403	268	104	219	261	81	65	84	23	40	111	15	host	gene-SAURSH1000_RS04065
gene-CPT_phageK_gp183	0	1	0	299	3	1	36	3	9	337	76	365	1385	866	1567	14152	12582	34130	29697	32666	21122	phage	gene-CPT_phageK_gp183
gene-SAURSH1000_RS10365	946	1365	1375	1287	1466	1323	1536	1181	1391	1411	1357	624	728	1081	340	305	276	181	186	346	87	host	gene-SAURSH1000_RS10365
gene-CPT_phageK_gp232	1	0	0	15	0	0	36	4	12	1061	94	1094	3540	1611	1919	1347	1536	1244	824	872	350	phage	gene-CPT_phageK_gp232
gene-SAURSH1000_RS03430	68	84	101	122	92	96	153	99	104	164	129	55	79	130	29	25	40	9	21	49	13	host	gene-SAURSH1000_RS03430
gene-SAURSH1000_RS04560	72	124	74	151	46	57	150	24	47	123	35	85	122	56	94	114	22	182	56	29	134	host	gene-SAURSH1000_RS04560
gene-SAURSH1000_RS12470	2728	2152	2709	4738	2654	3047	4321	2655	2901	4090	3032	1496	2173	2529	545	657	794	186	537	818	126	host	gene-SAURSH1000_RS12470
gene-SAURSH1000_RS07525	531	499	542	673	505	646	694	662	474	776	787	271	277	526	128	91	144	67	75	158	36	host	nadD
gene-CPT_phageK_gp153	0	0	0	26	0	0	66	4	27	872	139	966	1992	1547	1274	1560	1383	2912	3151	2956	2576	phage	gene-CPT_phageK_gp153
gene-SAURSH1000_RS08130	204	188	172	372	287	173	321	238	261	289	268	135	172	173	82	73	67	23	45	47	13	host	gene-SAURSH1000_RS08130
gene-SAURSH1000_RS00425	213	178	152	355	189	147	418	174	164	314	250	82	198	194	41	62	58	38	53	100	14	host	gene-SAURSH1000_RS00425
gene-SAURSH1000_RS05500	142	814	79	271	844	115	379	2501	130	639	1926	151	284	226	38	60	34	32	35	22	16	host	gene-SAURSH1000_RS05500
gene-SAURSH1000_RS02025	188	176	154	215	243	167	230	246	173	191	254	90	107	207	53	67	51	28	49	44	25	host	gene-SAURSH1000_RS02025
gene-SAURSH1000_RS09310	3125	2744	2967	3557	3075	3003	4571	3801	2624	3971	6853	1465	1795	3187	715	618	764	334	495	979	204	host	gatA
gene-SAURSH1000_RS11080	495	438	494	750	497	536	905	549	590	836	724	360	418	718	176	134	192	63	116	197	44	host	gene-SAURSH1000_RS11080
gene-SAURSH1000_RS02300	114	92	111	152	146	125	175	152	114	141	184	60	80	143	32	31	43	17	22	41	13	host	folB
gene-SAURSH1000_RS03615	205	235	232	354	239	225	338	171	286	252	245	127	141	219	53	66	58	22	55	49	13	host	gene-SAURSH1000_RS03615
gene-CPT_phageK_gp070	0	1	0	59	3	0	108	18	49	3177	382	4165	11254	7058	8268	6906	6819	6559	3970	3248	2028	phage	gene-CPT_phageK_gp070
gene-CPT_phageK_gp150	0	1	2	194	4	2	306	39	104	7581	1109	9337	23737	16395	15871	13151	13506	17800	20209	17469	13549	phage	gene-CPT_phageK_gp150
gene-SAURSH1000_RS06065	17	14	8	44	7	20	40	11	19	70	30	12	28	14	2	6	12	0	11	4	0	host	gene-SAURSH1000_RS06065
gene-SAURSH1000_RS08835	1210	826	1312	1930	777	1656	2202	806	1455	1937	960	730	934	688	361	253	266	214	194	357	126	host	gene-SAURSH1000_RS08835
gene-SAURSH1000_RS09350	894	1048	1020	1434	1201	1071	1749	1084	1005	1390	1156	546	885	1482	244	282	443	105	192	451	73	host	purB
gene-SAURSH1000_RS01875	5	4	24	3	2	8	5	8	9	7	7	1	18	13	4	8	7	5	5	5	1	host	gene-SAURSH1000_RS01875
gene-SAURSH1000_RS12175	95	110	74	261	103	71	265	144	88	447	259	70	289	326	33	66	60	9	73	61	4	host	gene-SAURSH1000_RS12175
gene-CPT_phageK_gp197	1	0	0	118	3	1	321	32	93	5082	738	8547	19300	13746	17499	13821	15891	18502	9668	10152	6046	phage	gene-CPT_phageK_gp197
gene-SAURSH1000_RS00475	8	2	5	3	4	5	9	4	1	7	11	3	4	10	2	0	1	0	1	0	1	host	phnC
gene-SAURSH1000_RS04500	880	636	686	1136	887	807	1009	806	734	919	708	341	527	627	125	185	188	61	181	197	45	host	gene-SAURSH1000_RS04500
gene-SAURSH1000_RS05995	91	100	78	108	135	77	134	121	88	102	127	48	80	122	30	37	51	7	25	40	6	host	hfq
gene-SAURSH1000_RS03835	1106	4870	1217	1022	3155	1277	801	1833	846	993	1342	508	1712	1286	730	577	1013	393	332	674	212	host	clfA
gene-SAURSH1000_RS08085	605	1763	743	830	700	466	926	276	577	1250	270	399	2346	1766	562	1323	1187	477	620	825	263	host	gene-SAURSH1000_RS08085
gene-SAURSH1000_RS02410	705	1032	740	819	951	777	1028	1050	599	1077	1195	375	687	829	279	179	214	118	135	198	69	host	pdxT
gene-SAURSH1000_RS08325	490	593	573	812	650	679	834	771	665	912	873	327	484	638	123	143	199	70	109	198	48	host	gene-SAURSH1000_RS08325
gene-SAURSH1000_RS01455	157	119	188	179	138	203	195	141	153	159	124	79	75	102	36	20	35	13	9	38	8	host	gene-SAURSH1000_RS01455
gene-SAURSH1000_RS05565	619	689	561	734	781	673	781	1032	472	853	1035	278	307	569	140	110	123	71	82	164	38	host	gene-SAURSH1000_RS05565
gene-CPT_phageK_gp124	0	1	0	28	0	2	116	15	36	1959	337	3952	6134	5132	5491	3658	3403	4538	2406	2088	2238	phage	gene-CPT_phageK_gp124
gene-SAURSH1000_RS02465	182	330	225	254	186	198	242	269	149	291	272	70	194	202	62	49	57	30	34	88	25	host	gene-SAURSH1000_RS02465
gene-SAURSH1000_RS09720	13	48	14	22	43	15	29	25	16	25	24	16	28	33	7	12	7	3	1	3	2	host	ilvB
gene-CPT_phageK_gp096	1	4	1	58	5	4	284	27	130	4815	638	5633	15396	7826	10487	6224	7016	6871	4020	3304	3235	phage	gene-CPT_phageK_gp096
gene-SAURSH1000_RS09710	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	host	gene-SAURSH1000_RS09710
gene-SAURSH1000_RS06085	40	51	27	93	60	50	112	64	40	117	77	19	66	74	8	12	30	7	18	27	2	host	gene-SAURSH1000_RS06085
gene-SAURSH1000_RS04035	235	305	299	389	353	317	379	282	298	282	260	137	179	200	70	79	63	15	57	83	15	host	gene-SAURSH1000_RS04035
gene-SAURSH1000_RS07535	528	408	483	679	532	612	721	670	508	885	753	257	322	535	123	110	135	59	75	152	23	host	aroE
gene-SAURSH1000_RS07450	2430	910	2380	2664	1264	2952	2110	1354	1875	1899	1221	999	949	859	581	306	271	266	209	354	196	host	prmA
