Geneid	Ctrl_R1	Ctrl_R2	Ctrl_R3	0_R1	0_R2	0_R3	2_R1	2_R2	2_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	20_R1	20_R2	20_R3	30_R1	30_R2	30_R3	Entity	Symbol
gene-NWMN_RS05430	1917	1754	2144	1731	2061	1513	1596	1348	1473	1095	1194	980	610	1117	523	767	514	610	733	475	261	host	gene-NWMN_RS05430
gene-NWMN_RS11610	6578	4849	16558	11106	10834	11854	10243	7909	9925	11533	10547	8755	5881	6515	3981	4017	4368	5896	3947	3267	2041	host	atpD
gene-NWMN_RS05455	1081	631	445	533	734	424	1164	721	506	461	418	291	238	880	138	209	207	159	139	149	89	host	gene-NWMN_RS05455
gene-NWMN_RS00690	225	501	164	119	491	189	105	216	171	211	174	237	167	429	105	163	183	90	71	108	38	host	gene-NWMN_RS00690
gene-CPT_phageK_gp161	1	0	0	1	19	12	483	52	1167	2841	305	5359	5466	6811	5905	8233	6311	6316	3500	3331	2515	phage	gene-CPT_phageK_gp161
gene-NWMN_RS13450	50	52	50	49	64	42	35	26	40	26	15	21	19	54	15	14	23	10	16	11	7	host	gene-NWMN_RS13450
gene-NWMN_RS05510	619	472	465	476	593	351	499	373	342	228	272	180	138	361	93	151	134	92	118	118	37	host	gene-NWMN_RS05510
gene-CPT_phageK_gp043	0	0	0	6	21	47	583	52	1231	928	329	1329	766	1462	865	687	657	1004	599	329	696	phage	gene-CPT_phageK_gp043
gene-NWMN_RS09615	20	24	57	22	32	30	20	15	21	30	21	51	25	68	20	27	23	11	21	13	10	host	gene-NWMN_RS09615
gene-CPT_phageK_gp215	1	2	0	0	5	1	94	17	280	912	122	1943	2116	1896	3481	7755	3925	5373	3483	3579	1700	phage	gene-CPT_phageK_gp215
gene-NWMN_RS05675	9	9	51	23	27	37	16	12	37	26	18	29	9	8	17	22	11	21	35	8	15	host	gene-NWMN_RS05675
gene-NWMN_RS12305	3367	2129	10256	6224	4544	6976	6807	4213	5544	6242	6487	4961	2189	3843	1970	2015	1864	1644	2830	1663	1187	host	rpsM
gene-NWMN_RS08435	453	370	990	716	866	715	889	801	735	603	764	397	207	486	189	249	205	184	265	252	114	host	yqeH
gene-NWMN_RS07115	6452	4968	4616	4947	4918	3381	5102	4085	4183	3291	3447	2331	1496	3024	984	1627	1129	877	1563	1155	578	host	gene-NWMN_RS07115
gene-NWMN_RS02490	95	105	53	72	79	41	112	66	33	39	41	24	17	53	20	15	27	10	17	27	14	host	gene-NWMN_RS02490
gene-NWMN_RS04135	235	181	296	230	291	221	278	217	249	219	220	168	127	295	89	110	127	66	88	106	41	host	gene-NWMN_RS04135
gene-NWMN_RS09790	6645	4790	3551	4644	5123	2868	5367	3378	3421	2924	2316	2119	1788	3186	1078	1663	1452	1113	1347	1107	572	host	gene-NWMN_RS09790
gene-CPT_phageK_gp221	1	1	0	1	9	11	301	73	941	3382	465	7683	6749	6042	8832	10205	10467	6028	4681	4615	3161	phage	gene-CPT_phageK_gp221
gene-NWMN_RS03850	276	230	241	220	231	175	186	203	184	159	152	114	72	124	67	104	46	64	126	39	68	host	queC
gene-NWMN_RS12185	1	0	0	1	2	0	2	0	1	0	2	2	0	2	3	1	0	1	0	0	0	host	gene-NWMN_RS12185
gene-NWMN_RS11930	2878	5046	1876	4182	3155	1633	4513	3176	2379	1986	3169	995	691	723	429	287	322	421	383	383	255	host	gene-NWMN_RS11930
gene-NWMN_RS00265	17	11	23	18	19	34	27	11	22	24	16	14	10	37	10	26	11	10	10	14	6	host	gene-NWMN_RS00265
gene-NWMN_RS04960	1240	1188	746	813	1159	638	747	745	587	411	423	283	203	549	123	233	187	125	229	187	82	host	gene-NWMN_RS04960
gene-NWMN_RS01245	36	20	90	52	37	68	59	44	79	59	60	47	53	63	24	33	33	28	51	24	23	host	essC
gene-CPT_phageK_gp187	1	0	0	0	0	0	3	0	4	8	4	12	45	27	120	996	181	640	1129	871	407	phage	gene-CPT_phageK_gp187
gene-NWMN_RS03415	321	352	251	208	240	179	129	105	256	117	68	158	133	259	154	176	166	112	133	85	78	host	mnhG2
gene-NWMN_RS13250	98	77	64	52	77	51	59	57	60	43	41	16	16	36	9	21	20	8	16	13	4	host	gene-NWMN_RS13250
gene-NWMN_RS12845	69	45	42	32	56	41	44	36	33	21	15	22	22	61	14	26	16	11	10	14	2	host	gene-NWMN_RS12845
gene-NWMN_RS04835	104	181	159	112	327	198	128	262	134	122	173	146	104	166	83	76	86	59	47	65	135	host	gene-NWMN_RS04835
gene-NWMN_RS04090	361	282	629	495	452	492	470	378	406	300	396	282	159	245	143	195	145	140	192	141	100	host	prfB
gene-NWMN_RS05235	54	59	202	38	89	94	67	57	54	194	83	54	137	183	25	95	90	33	47	64	9	host	purC
gene-NWMN_RS10755	65	94	62	63	79	57	63	62	67	61	50	70	35	56	53	51	36	60	68	41	37	host	gene-NWMN_RS10755
gene-NWMN_RS14120	420	570	498	424	483	371	356	366	433	371	317	272	266	427	171	247	229	163	231	148	122	host	gene-NWMN_RS14120
gene-NWMN_RS03940	1594	1428	1068	1190	1676	1556	1509	1163	1682	1163	1085	1381	866	1610	645	678	605	551	469	465	237	host	gene-NWMN_RS03940
gene-NWMN_RS09760	119	71	76	67	72	41	109	52	60	35	34	26	28	49	10	27	29	11	25	22	9	host	gene-NWMN_RS09760
gene-NWMN_RS06505	127	80	277	174	261	231	238	217	203	154	260	117	78	130	67	77	91	45	87	69	34	host	ylqF
gene-NWMN_RS12470	211	155	141	133	156	94	142	121	130	84	62	68	56	86	35	89	36	43	66	59	19	host	gene-NWMN_RS12470
gene-NWMN_RS00430	188	125	127	109	161	89	131	73	98	91	70	54	50	97	33	52	29	38	56	29	17	host	gene-NWMN_RS00430
gene-NWMN_RS06760	396	244	1098	669	712	813	839	680	631	511	604	402	274	402	234	324	260	209	362	265	148	host	miaB
gene-NWMN_RS05185	498	335	332	324	327	263	505	275	255	207	206	117	509	301	64	189	86	94	170	81	57	host	fmtA
gene-NWMN_RS12560	184	126	420	259	300	292	273	253	280	268	338	242	137	301	127	163	166	101	198	129	78	host	glp
gene-NWMN_RS14375	65	47	56	45	54	36	54	39	36	38	20	34	20	65	23	32	19	23	23	11	17	host	gene-NWMN_RS14375
gene-NWMN_RS07310	19	6	16	9	10	14	16	8	12	20	13	7	10	16	9	10	4	7	9	3	8	host	pstA
gene-CPT_phageK_gp218	0	0	0	0	0	1	79	13	166	790	88	1526	2356	1939	3783	10413	4207	6212	4945	4964	1971	phage	gene-CPT_phageK_gp218
gene-NWMN_RS00990	251	373	215	224	296	170	142	157	170	215	162	169	166	342	109	143	158	93	125	144	70	host	gene-NWMN_RS00990
gene-NWMN_RS05015	45	32	20	24	26	17	40	14	18	18	10	12	16	16	14	32	7	11	43	14	8	host	gene-NWMN_RS05015
gene-NWMN_RS10915	11	8	39	23	30	27	13	14	28	8	12	25	8	2	15	21	5	15	15	7	9	host	gene-NWMN_RS10915
gene-NWMN_RS07180	138	73	144	118	135	125	150	80	104	86	56	50	53	113	39	59	49	40	69	36	26	host	msrA
gene-NWMN_RS13455	179	116	193	208	110	125	262	94	139	172	125	74	69	112	56	59	26	37	65	27	22	host	gene-NWMN_RS13455
gene-NWMN_RS00360	26	18	31	21	20	29	18	23	26	27	17	16	20	14	11	19	10	11	13	10	12	host	sbnE
gene-NWMN_RS11375	548	501	521	581	327	425	583	219	441	452	265	265	338	224	178	152	191	206	150	126	214	host	gene-NWMN_RS11375
gene-NWMN_RS14840	44	51	43	29	60	42	38	29	29	37	29	14	31	30	17	19	11	17	23	13	7	host	pcp
gene-NWMN_RS12380	2838	1100	8835	4635	3901	5805	6198	4526	5065	4401	5110	3733	1657	2935	1555	1691	1207	1478	2218	1450	981	host	rpsQ
gene-NWMN_RS07770	464	423	860	654	822	625	787	652	603	442	580	310	229	415	151	213	194	102	207	220	74	host	gene-NWMN_RS07770
gene-NWMN_RS02430	445	307	227	274	262	153	325	139	213	174	112	126	101	218	50	133	91	80	71	63	33	host	gene-NWMN_RS02430
gene-NWMN_RS13145	4244	3693	2245	2745	3456	1855	2781	2336	1890	1591	1868	1002	898	2009	491	745	679	460	650	535	209	host	gene-NWMN_RS13145
gene-NWMN_RS09495	96	67	55	52	67	42	59	45	39	36	28	15	23	55	13	24	16	5	25	17	4	host	gene-NWMN_RS09495
gene-NWMN_RS14625	331	358	422	262	384	325	299	322	297	286	229	278	218	798	183	213	209	145	170	95	99	host	gtfB
gene-NWMN_RS05250	225	207	422	325	689	425	147	190	222	313	236	245	221	276	90	139	146	88	82	125	50	host	purL
gene-NWMN_RS01290	119	54	64	51	73	48	117	59	67	39	45	39	21	69	16	29	23	19	24	18	7	host	gene-NWMN_RS01290
gene-CPT_phageK_gp210	2	0	0	1	2	3	80	21	256	1056	143	2294	3241	2639	4917	10124	6393	6142	7907	6220	3844	phage	gene-CPT_phageK_gp210
gene-NWMN_RS02115	145	205	143	141	270	182	111	277	162	122	266	93	80	188	66	87	67	64	57	51	48	host	gene-NWMN_RS02115
gene-NWMN_RS04435	428	332	461	355	398	404	396	255	271	336	247	337	225	420	150	212	145	122	199	141	88	host	gene-NWMN_RS04435
gene-NWMN_RS01760	15	4	70	32	25	47	29	22	43	11	16	44	16	13	28	26	15	23	28	10	21	host	gene-NWMN_RS01760
gene-NWMN_RS14285	617	719	385	382	720	309	390	562	277	243	248	134	157	316	62	151	104	74	85	85	52	host	gene-NWMN_RS14285
gene-NWMN_RS15650	46	43	37	33	61	38	37	38	31	26	16	27	7	25	10	23	15	18	12	13	4	host	gene-NWMN_RS15650
gene-NWMN_RS00190	638	555	807	819	635	598	711	546	598	483	533	271	253	392	197	204	151	186	240	161	99	host	gene-NWMN_RS00190
gene-NWMN_RS01595	19	6	57	27	19	39	33	9	44	29	18	33	19	18	29	43	13	35	44	14	25	host	gene-NWMN_RS01595
gene-NWMN_RS05375	1330	906	1037	1196	1219	726	1130	706	649	509	367	279	236	415	180	337	226	196	284	244	102	host	gene-NWMN_RS05375
gene-NWMN_RS00415	9	8	10	6	6	7	4	4	8	6	5	3	5	9	5	4	1	7	6	1	4	host	gene-NWMN_RS00415
gene-NWMN_RS09075	51	68	46	57	73	36	54	35	45	46	29	31	17	31	11	26	17	20	9	11	2	host	gene-NWMN_RS09075
gene-NWMN_RS11380	528	523	428	424	353	319	438	270	311	252	200	131	137	136	80	123	107	103	156	72	123	host	gene-NWMN_RS11380
gene-NWMN_RS00250	4	4	6	4	3	7	4	3	3	2	3	2	5	4	2	2	2	2	5	1	1	host	gene-NWMN_RS00250
gene-NWMN_RS16035	1598	968	2925	1490	1591	1802	1268	666	1371	918	516	1284	1026	1396	976	1499	1520	1147	884	1065	680	host	gene-NWMN_RS16035
gene-NWMN_RS09070	317	389	283	243	417	235	202	227	236	220	177	185	93	165	65	73	71	67	80	54	32	host	serA
gene-NWMN_RS12480	556	356	306	331	438	212	448	289	248	238	174	140	98	244	48	106	40	52	98	68	22	host	mspA
gene-NWMN_RS14145	31	38	103	42	50	112	25	20	45	78	33	104	88	309	66	38	82	39	31	34	17	host	crtM
gene-NWMN_RS06210	5181	4545	10050	8072	8611	7686	7765	6788	7132	6610	7691	5462	3373	4531	2672	3012	3017	2240	2837	2382	1511	host	ftsZ
gene-NWMN_RS13875	483	262	294	238	357	263	433	273	290	273	251	162	152	392	55	117	99	52	85	79	23	host	gene-NWMN_RS13875
gene-CPT_phageK_gp159	1	0	0	2	6	0	17	3	47	171	60	376	597	458	1466	19743	2881	12020	35678	19124	10202	phage	gene-CPT_phageK_gp159
gene-NWMN_RS03900	699	590	977	840	1105	750	794	923	623	386	504	314	204	360	223	327	239	197	321	261	117	host	recQ
gene-CPT_phageK_gp088	0	1	0	0	8	4	217	41	625	1438	218	3252	2516	3034	2710	2547	2615	2243	1578	1241	1366	phage	gene-CPT_phageK_gp088
gene-CPT_phageK_gp193	0	0	1	0	0	2	3	3	17	38	15	73	199	196	355	4067	770	3774	19564	5461	8592	phage	gene-CPT_phageK_gp193
gene-NWMN_RS03555	308	227	206	205	185	155	233	175	167	129	102	85	68	168	43	121	62	58	92	57	28	host	gene-NWMN_RS03555
gene-NWMN_RS14225	39	26	68	36	48	42	35	21	28	34	31	15	20	21	16	24	24	13	4	9	7	host	gene-NWMN_RS14225
gene-NWMN_RS09030	8	8	16	10	21	11	12	15	5	5	11	10	8	11	0	3	2	5	6	2	2	host	gene-NWMN_RS09030
gene-NWMN_RS12265	2189	1754	3637	2813	3592	3133	3229	2832	2609	2311	2602	1614	1195	1741	944	1291	824	865	1526	875	645	host	rplM
gene-NWMN_RS00750	159	232	352	226	265	285	248	167	233	350	293	347	282	431	248	199	291	187	153	168	99	host	gene-NWMN_RS00750
gene-NWMN_RS05620	19	7	38	12	17	32	18	14	28	25	14	19	14	6	17	25	9	14	35	9	8	host	gene-NWMN_RS05620
gene-NWMN_RS03180	682	651	1210	779	1022	1128	864	867	816	812	693	890	491	1441	461	495	440	381	474	324	263	host	gene-NWMN_RS03180
gene-NWMN_RS11430	403	437	725	581	677	678	610	573	557	448	605	376	228	384	177	235	192	172	254	196	124	host	alr
gene-NWMN_RS11655	881	808	1514	1160	1633	1250	1258	1312	1105	1115	1253	857	576	1044	444	520	633	334	362	432	224	host	upp
gene-NWMN_RS02035	30	10	21	21	20	25	24	36	21	14	7	16	13	20	7	15	7	10	16	9	4	host	gene-NWMN_RS02035
gene-NWMN_RS03245	73	51	41	36	28	27	37	33	34	30	30	19	15	45	6	9	8	11	18	15	0	host	gene-NWMN_RS03245
gene-NWMN_RS04820	69	146	82	72	227	98	66	122	67	95	126	77	51	98	22	26	42	23	18	24	10	host	opp3C
gene-NWMN_RS13150	548	357	229	245	377	196	308	254	204	172	164	114	117	345	46	103	80	31	71	84	23	host	gene-NWMN_RS13150
gene-NWMN_RS02335	25	14	57	43	68	88	68	48	56	38	56	55	28	50	21	35	33	21	25	33	20	host	gene-NWMN_RS02335
gene-CPT_phageK_gp132	1	0	1	0	2	1	75	24	272	1262	194	2517	3459	2213	5228	10643	6194	6541	8780	6721	3341	phage	gene-CPT_phageK_gp132
gene-NWMN_RS16030	58	34	40	47	37	29	49	30	46	25	20	24	23	29	5	31	12	18	34	9	8	host	gene-NWMN_RS16030
gene-NWMN_RS09245	989	854	897	912	987	743	972	809	749	614	581	361	343	627	189	340	239	160	346	221	114	host	gene-NWMN_RS09245
gene-NWMN_RS08585	591	811	761	744	990	648	679	792	592	663	701	398	333	517	203	251	249	243	312	203	134	host	gene-NWMN_RS08585
gene-NWMN_RS06660	446	305	594	506	460	433	469	309	379	302	261	285	186	448	166	196	159	104	185	133	90	host	ribF
gene-NWMN_RS04330	65	35	53	27	49	24	54	31	38	29	18	28	11	36	23	23	9	17	13	6	8	host	gene-NWMN_RS04330
gene-NWMN_RS12960	735	500	540	533	561	437	616	498	541	470	438	237	232	441	96	127	142	83	112	117	53	host	gene-NWMN_RS12960
gene-NWMN_RS04290	1261	961	1198	1096	1255	738	1004	630	630	681	395	558	607	676	378	1037	760	370	683	689	235	host	emp
gene-NWMN_RS14570	22	18	10	13	17	15	16	10	9	9	1	13	5	19	2	12	6	5	9	10	2	host	gene-NWMN_RS14570
gene-NWMN_RS09730	11	4	7	8	8	10	12	8	9	4	4	2	1	2	0	4	2	3	1	1	0	host	gene-NWMN_RS09730
gene-CPT_phageK_gp026	0	0	0	0	0	0	36	18	138	676	88	1735	1685	1179	2535	3732	2688	2236	1871	2028	987	phage	gene-CPT_phageK_gp026
gene-CPT_phageK_gp014	0	0	0	2	1	13	152	15	316	217	72	340	205	341	201	194	127	229	189	88	180	phage	gene-CPT_phageK_gp014
gene-CPT_phageK_gp204	0	2	0	1	5	1	186	43	485	1572	244	3872	3772	3346	6160	9677	7779	6315	4897	5143	2771	phage	gene-CPT_phageK_gp204
gene-NWMN_RS12390	4131	1987	14701	8898	5943	9784	8239	6370	8122	7511	10225	6261	2626	3754	2632	2553	2113	2371	3606	2317	1847	host	rplP
gene-NWMN_RS06125	228	123	119	140	141	105	173	104	148	101	71	85	45	130	37	48	40	30	29	42	15	host	gene-NWMN_RS06125
gene-NWMN_RS02575	38	31	88	62	82	70	79	72	65	29	61	33	17	35	21	21	15	14	19	35	9	host	gene-NWMN_RS02575
gene-NWMN_RS08305	265	181	402	324	343	318	385	287	277	243	315	170	134	188	104	154	114	72	123	124	57	host	gene-NWMN_RS08305
gene-NWMN_RS11830	136	196	190	102	182	171	78	94	273	113	71	154	127	336	154	98	110	147	80	39	116	host	czrA
gene-NWMN_RS14965	10034	7299	6076	7412	7134	4405	7960	5500	5560	4650	3894	2518	2089	3535	1342	2327	1400	1943	2589	1603	869	host	rpmH
gene-NWMN_RS07450	897	818	891	775	899	658	782	494	671	658	489	513	450	723	292	440	360	288	355	253	169	host	gene-NWMN_RS07450
gene-NWMN_RS02180	23	25	22	24	41	22	23	33	18	13	24	10	13	15	12	18	12	13	15	10	9	host	gene-NWMN_RS02180
gene-CPT_phageK_gp038	1	1	0	5	40	69	1029	109	2513	2394	671	3580	2150	3436	2590	2240	1826	3343	2062	919	2120	phage	gene-CPT_phageK_gp038
gene-NWMN_RS05650	21	12	98	54	28	70	43	33	59	48	24	56	35	25	44	56	26	49	73	18	34	host	gene-NWMN_RS05650
gene-NWMN_RS12835	747	807	737	758	952	565	895	654	639	534	620	392	310	718	205	282	273	206	236	205	85	host	gene-NWMN_RS12835
gene-NWMN_RS10125	13	6	18	12	17	19	10	8	16	15	10	19	8	10	10	21	5	18	14	7	13	host	gene-NWMN_RS10125
gene-NWMN_RS09685	832	1213	981	1142	828	774	803	557	885	921	881	438	489	462	253	233	261	264	240	216	228	host	gene-NWMN_RS09685
gene-NWMN_RS01270	324	272	529	484	431	378	382	326	375	287	315	242	181	189	115	183	166	84	157	139	64	host	gene-NWMN_RS01270
gene-NWMN_RS11180	145	67	345	190	153	219	151	111	163	160	112	147	116	131	89	155	127	99	158	112	63	host	groES
gene-NWMN_RS04485	10	12	20	10	12	9	9	15	12	12	8	13	6	25	2	1	10	4	0	5	3	host	gene-NWMN_RS04485
gene-NWMN_RS00910	10408	3444	17157	18009	10384	9845	17213	12293	10869	7162	9422	4067	2530	2298	2196	4324	2232	2366	6797	3492	1803	host	coa
gene-NWMN_RS04105	167	121	135	114	163	103	147	86	95	79	59	70	59	145	33	51	50	23	35	29	12	host	gene-NWMN_RS04105
gene-NWMN_RS10390	589	381	277	369	411	262	552	271	261	222	149	164	156	333	87	162	91	96	128	93	61	host	gene-NWMN_RS10390
gene-NWMN_RS11310	11	42	24	19	60	31	19	18	16	22	14	49	22	27	11	21	18	7	18	8	10	host	ilvD
gene-NWMN_RS09015	220	123	228	217	215	184	286	195	204	127	188	119	65	135	61	108	47	55	128	61	31	host	gene-NWMN_RS09015
gene-NWMN_RS09180	1809	1333	4411	2999	3522	3449	3319	3226	3234	2237	2943	1909	1118	1977	912	1169	1029	764	1181	1063	443	host	gene-NWMN_RS09180
gene-NWMN_RS05415	190	65	239	170	100	147	323	139	189	182	159	109	72	231	74	110	79	52	97	74	42	host	gene-NWMN_RS05415
gene-NWMN_RS01985	20	22	30	14	36	24	14	13	19	31	15	27	18	31	13	18	20	10	19	11	4	host	metC
gene-NWMN_RS14020	15	12	8	3	9	15	7	7	5	6	5	8	6	6	7	6	7	9	5	5	6	host	cidA
gene-NWMN_RS01475	42	32	79	45	30	64	65	28	65	33	28	44	19	16	29	38	22	54	41	16	27	host	gene-NWMN_RS01475
gene-NWMN_RS00145	298	339	308	227	405	269	344	253	218	188	166	148	159	365	83	130	126	63	89	79	40	host	gene-NWMN_RS00145
gene-NWMN_RS08810	148	69	366	238	249	269	315	220	249	224	261	137	102	160	86	127	96	76	164	107	51	host	gene-NWMN_RS08810
gene-NWMN_RS03270	80	53	57	34	43	47	82	52	48	28	27	24	19	57	12	19	22	10	29	10	5	host	gene-NWMN_RS03270
gene-NWMN_RS06770	364	246	455	378	403	335	445	357	353	282	298	211	125	229	116	171	132	107	165	109	76	host	thiW
gene-NWMN_RS03420	935	1046	819	697	923	599	755	603	788	586	455	487	436	790	328	601	437	303	414	331	156	host	gene-NWMN_RS03420
gene-CPT_phageK_gp062	0	0	0	0	9	6	121	35	436	947	155	2092	1250	1298	1294	1126	1288	906	724	520	494	phage	gene-CPT_phageK_gp062
gene-NWMN_RS01720	290	141	852	379	359	650	403	235	660	357	226	652	247	176	429	381	174	450	466	145	308	host	gene-NWMN_RS01720
gene-NWMN_RS11090	156	71	208	150	149	173	280	127	130	144	121	122	99	185	50	105	84	56	90	78	37	host	gene-NWMN_RS11090
gene-NWMN_RS12840	445	388	534	500	454	415	555	453	459	415	518	211	206	496	121	122	153	78	145	100	56	host	gene-NWMN_RS12840
gene-NWMN_RS14320	345	192	964	636	609	751	687	544	636	516	638	375	269	336	218	367	252	209	421	272	143	host	panC
gene-NWMN_RS14520	31	40	53	47	40	33	39	27	26	29	28	23	23	18	12	31	11	24	23	7	6	host	gene-NWMN_RS14520
gene-NWMN_RS07925	66	78	46	48	81	37	53	58	46	20	29	13	21	29	14	29	11	8	27	17	1	host	gene-NWMN_RS07925
gene-NWMN_RS06280	786	1605	581	657	2707	484	610	2738	489	431	860	283	307	278	182	388	176	221	397	202	124	host	gene-NWMN_RS06280
gene-NWMN_RS11760	154	157	255	198	274	274	178	171	178	171	177	146	99	147	105	93	86	83	83	53	32	host	gene-NWMN_RS11760
gene-NWMN_RS14660	312	350	748	535	682	669	460	545	595	439	607	520	307	295	304	366	253	306	516	216	242	host	sasA
gene-NWMN_RS07025	29	25	25	34	25	27	31	13	26	29	17	15	17	21	12	9	13	13	5	4	4	host	gene-NWMN_RS07025
gene-NWMN_RS14465	1	1	0	3	4	2	2	2	2	4	4	0	0	2	0	0	1	0	0	0	0	host	gene-NWMN_RS14465
gene-NWMN_RS00115	568	458	937	714	814	653	727	586	554	506	646	410	207	347	186	249	233	223	281	217	126	host	yycI
gene-CPT_phageK_gp171	0	0	0	0	1	2	27	5	88	142	55	318	447	309	936	10071	1814	5855	23143	10794	7039	phage	gene-CPT_phageK_gp171
gene-CPT_phageK_gp211	0	0	0	1	0	1	38	17	126	668	85	1454	2378	1719	3317	7619	4337	4491	5671	4294	2542	phage	gene-CPT_phageK_gp211
gene-NWMN_RS13735	36	25	127	51	92	90	96	71	64	52	99	60	42	57	25	22	44	19	36	31	9	host	gene-NWMN_RS13735
gene-NWMN_RS02715	2681	3646	3662	3791	6207	3430	3476	4205	2991	2423	3568	2340	1825	3367	1435	1943	1918	1162	1013	1170	657	host	cysK
gene-NWMN_RS03000	128	136	184	181	200	151	172	158	147	100	122	93	66	139	38	65	70	31	48	77	15	host	gene-NWMN_RS03000
gene-CPT_phageK_gp229	0	0	0	0	7	5	127	13	285	687	105	1575	1143	1357	1383	1615	1582	1178	755	735	527	phage	gene-CPT_phageK_gp229
gene-NWMN_RS10495	184	619	126	120	155	107	127	151	143	112	117	59	73	125	26	38	45	21	46	29	13	host	gene-NWMN_RS10495
gene-NWMN_RS02305	3	3	16	6	7	11	8	6	4	5	4	4	4	3	3	3	3	6	1	2	1	host	lpl6
gene-NWMN_RS10635	374	275	776	538	746	621	656	541	549	473	519	345	256	448	189	252	272	129	228	240	79	host	gene-NWMN_RS10635
gene-NWMN_RS13655	117	208	113	109	191	108	88	98	92	119	92	87	66	127	53	53	31	31	24	33	19	host	gene-NWMN_RS13655
gene-NWMN_RS01850	198	321	295	199	291	194	315	183	206	227	230	199	124	227	124	151	111	107	123	96	61	host	gene-NWMN_RS01850
gene-NWMN_RS08425	136	108	275	187	210	209	212	228	217	131	216	103	56	95	42	70	49	38	72	61	28	host	yhbY
gene-NWMN_RS04785	88	79	69	72	87	44	81	67	63	30	34	36	17	50	12	23	17	9	15	20	6	host	gene-NWMN_RS04785
gene-NWMN_RS03630	5	5	8	5	9	7	6	5	3	1	5	1	1	5	1	3	1	0	1	3	0	host	gene-NWMN_RS03630
gene-NWMN_RS06730	2221	1758	5069	3375	4425	3926	3741	3748	3574	3152	3732	2427	1636	2442	1328	1862	1602	1313	1829	1283	789	host	rny
gene-NWMN_RS11560	19	10	28	23	28	18	31	16	16	21	7	21	9	20	5	6	4	5	12	12	5	host	tenA
gene-NWMN_RS14925	36	57	40	31	58	37	28	33	26	37	19	41	29	78	8	14	33	15	17	15	6	host	gene-NWMN_RS14925
gene-NWMN_RS06065	149	125	105	94	141	101	152	83	108	103	68	66	74	194	31	81	43	27	36	40	10	host	gene-NWMN_RS06065
gene-NWMN_RS03760	631	378	335	395	351	269	434	265	338	280	188	236	203	423	130	369	157	140	346	157	77	host	norA
gene-NWMN_RS06510	110	68	289	184	259	240	231	216	193	166	233	134	67	151	73	77	86	61	109	83	37	host	gene-NWMN_RS06510
