Geneid	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	30_R1	30_R2	30_R3	Entity	Symbol
gene-Saur515_RS00785	5	15	8	2	3	5	2	2	1	host	sbnD
gene-Saur515_RS02350	15	22	23	2	3	6	4	2	5	host	cntM
gene-Saur515_RS01415	57	53	65	13	13	18	22	33	22	host	gene-Saur515_RS01415
gene-Saur515_RS04815	799	886	975	246	246	396	315	297	194	host	gene-Saur515_RS04815
gene-Saur515_RS14360	600	533	561	280	261	346	872	370	291	host	gene-Saur515_RS14360
gene-Saur515_RS06545	16	26	31	2	4	9	3	6	3	host	gene-Saur515_RS06545
gene-Saur515_RS03060	19	23	19	2	1	4	5	2	1	host	fosB
gene-Saur515_RS03460	769	889	1024	186	162	307	332	272	168	host	gene-Saur515_RS03460
gene-Saur515_RS11005	1121	1272	1326	306	280	508	569	372	226	host	gene-Saur515_RS11005
gene-Saur515_RS01425	1628	1860	1820	599	724	1068	1434	887	519	host	gene-Saur515_RS01425
gene-Saur515_RS08320	2765	3059	3055	726	644	800	860	515	315	host	typA
gene-Saur515_RS04520	405	484	466	97	81	138	129	84	55	host	queF
gene-phage515_00173	8535	10132	8346	31962	37538	48698	43756	41006	24403	phage	gene-phage515_00173
gene-Saur515_RS08115	226	283	248	233	202	268	176	128	117	host	purQ
gene-phage515_00223	957	1152	910	3479	2747	4724	3174	2736	1672	phage	gene-phage515_00223
gene-Saur515_RS08840	12887	14951	14780	4250	4390	7133	6019	4432	2633	host	tkt
gene-Saur515_RS07930	28	27	43	14	8	22	10	6	3	host	gene-Saur515_RS07930
gene-Saur515_RS02110	64	83	56	16	25	36	36	44	29	host	crtO
gene-Saur515_RS11545	285	322	321	110	75	137	191	150	73	host	gene-Saur515_RS11545
gene-Saur515_RS12580	4341	4551	4757	960	865	1566	1584	1021	545	host	gene-Saur515_RS12580
gene-Saur515_RS14170	36	38	55	20	21	28	28	12	17	host	gene-Saur515_RS14170
gene-Saur515_RS12220	3436	3950	3897	810	644	1325	1375	867	596	host	gene-Saur515_RS12220
gene-Saur515_RS10400	1512	1418	1590	404	385	566	467	285	224	host	cysS
gene-Saur515_RS03055	447	458	482	220	214	381	385	529	175	host	hutG
gene-Saur515_RS10165	31	31	28	16	17	21	15	11	8	host	gene-Saur515_RS10165
gene-Saur515_RS11385	501	463	483	137	126	200	207	163	100	host	gene-Saur515_RS11385
gene-Saur515_RS13220	24	24	33	5	6	18	7	6	1	host	gene-Saur515_RS13220
gene-Saur515_RS09850	2877	3139	3334	572	509	944	866	722	379	host	gene-Saur515_RS09850
gene-Saur515_RS00045	92	112	90	17	24	43	37	16	9	host	gene-Saur515_RS00045
gene-Saur515_RS01785	57	72	59	27	20	37	39	26	12	host	gene-Saur515_RS01785
gene-Saur515_RS12530	56	49	71	5	9	8	15	10	6	host	ilvD
gene-Saur515_RS13845	104	86	106	64	85	119	212	74	85	host	gene-Saur515_RS13845
gene-Saur515_RS12645	641	657	647	145	157	243	200	146	99	host	pmtC
gene-phage515_00208	1998	2093	2115	1467	1107	1877	728	856	460	phage	gene-phage515_00208
gene-Saur515_RS01990	2939	3252	3306	744	711	1137	953	742	418	host	gene-Saur515_RS01990
gene-phage515_00180	1860	2096	1746	3449	3386	5026	5714	3847	2814	phage	gene-phage515_00180
gene-Saur515_RS08445	18	18	11	7	7	6	10	5	4	host	gene-Saur515_RS08445
gene-Saur515_RS07525	7011	7670	7564	1191	1314	1993	2543	1756	885	host	ahpF
gene-Saur515_RS09205	2462	2802	3130	683	406	930	864	609	336	host	rpoE
gene-Saur515_RS03690	1666	1110	1771	621	448	1184	1440	893	543	host	alsS
gene-Saur515_RS11690	21	20	21	14	14	11	10	1	2	host	esxD
gene-Saur515_RS13395	49	53	62	21	8	16	31	23	12	host	gene-Saur515_RS13395
gene-Saur515_RS06010	6853	6847	7554	1718	1414	2713	2730	1995	1033	host	rny
gene-Saur515_RS05370	147	154	151	58	50	97	176	101	68	host	hyl
gene-Saur515_RS13400	75	126	137	41	12	22	20	17	9	host	gene-Saur515_RS13400
gene-Saur515_RS12745	32	43	53	26	20	22	59	41	21	host	gene-Saur515_RS12745
gene-phage515_00124	762	880	571	12704	15014	19878	30520	12525	15434	phage	gene-phage515_00124
gene-Saur515_RS07220	471	512	546	198	152	280	161	105	58	host	gene-Saur515_RS07220
gene-Saur515_RS12935	4	3	3	2	1	1	1	1	0	host	gene-Saur515_RS12935
gene-Saur515_RS06335	10604	13341	11486	2652	2947	4297	4151	2466	1884	host	dnaK
gene-Saur515_RS00320	103	89	86	22	25	38	28	23	13	host	gene-Saur515_RS00320
gene-Saur515_RS10245	500	486	524	96	95	192	156	104	68	host	gene-Saur515_RS10245
gene-Saur515_RS02495	590	684	627	232	237	410	436	190	164	host	gene-Saur515_RS02495
gene-Saur515_RS02130	632	619	763	360	280	382	361	367	231	host	gene-Saur515_RS02130
gene-Saur515_RS03435	767	903	920	205	180	279	276	190	106	host	mspA
gene-Saur515_RS08700	39	39	32	12	12	19	5	1	1	host	trpC
gene-Saur515_RS00715	181	224	220	73	48	68	97	57	42	host	gene-Saur515_RS00715
gene-Saur515_RS02020	66	64	79	20	8	30	27	8	14	host	gene-Saur515_RS02020
gene-phage515_00028	2515	2574	2246	8765	9847	12878	11598	8483	6714	phage	gene-phage515_00028
gene-Saur515_RS00765	31	27	25	8	11	23	10	9	8	host	sbnH
gene-phage515_00152	9521	11070	8906	56425	68033	86722	142913	78621	68069	phage	gene-phage515_00152
gene-Saur515_RS02105	205	201	200	53	25	70	81	54	22	host	gene-Saur515_RS02105
gene-Saur515_RS12165	435	439	471	122	96	198	156	125	65	host	gene-Saur515_RS12165
gene-Saur515_RS08025	96	88	131	29	19	45	44	49	24	host	gene-Saur515_RS08025
gene-Saur515_RS07720	332	375	378	57	51	97	132	80	39	host	gene-Saur515_RS07720
gene-Saur515_RS07555	1787	1615	2427	657	547	1120	1169	982	816	host	gene-Saur515_RS07555
gene-Saur515_RS05125	12	21	24	7	6	10	9	9	4	host	gene-Saur515_RS05125
gene-Saur515_RS05530	2189	2215	2559	556	359	793	726	729	316	host	gene-Saur515_RS05530
gene-Saur515_RS13005	433	478	517	110	119	217	206	183	96	host	gene-Saur515_RS13005
gene-Saur515_RS02380	182	202	207	40	47	87	116	35	29	host	gene-Saur515_RS02380
gene-Saur515_RS09755	1031	1100	1222	280	228	420	280	185	143	host	gene-Saur515_RS09755
gene-Saur515_RS06560	1412	1534	1528	341	353	500	505	227	211	host	gcvPA
gene-Saur515_RS01975	548	561	698	199	134	313	239	224	140	host	gene-Saur515_RS01975
gene-Saur515_RS12910	6	0	7	0	3	1	0	0	1	host	gene-Saur515_RS12910
gene-Saur515_RS14315	167	136	150	69	75	99	184	110	85	host	gene-Saur515_RS14315
gene-Saur515_RS11400	425	440	443	140	131	205	201	159	89	host	gene-Saur515_RS11400
gene-Saur515_RS02805	812	857	1018	212	154	300	304	244	144	host	gene-Saur515_RS02805
gene-Saur515_RS00450	23	40	32	5	6	13	4	15	3	host	argJ
gene-Saur515_RS10455	2570	2835	2770	454	407	666	571	448	238	host	pdxS
gene-Saur515_RS06275	767	743	789	212	167	331	266	216	122	host	yqeK
gene-Saur515_RS04255	524	499	657	155	127	220	210	195	102	host	secG
gene-Saur515_RS11110	6201	6911	6893	1793	1591	2539	2862	1553	934	host	infC
gene-Saur515_RS10890	348	347	375	68	70	130	107	90	53	host	gene-Saur515_RS10890
gene-Saur515_RS04000	642	619	706	190	186	315	242	236	137	host	gene-Saur515_RS04000
gene-Saur515_RS06525	2	8	7	2	3	2	0	2	3	host	comGC
gene-Saur515_RS06645	1818	1801	1899	587	553	936	656	445	329	host	lpdA
gene-Saur515_RS09795	19	17	14	4	7	2	9	12	2	host	gene-Saur515_RS09795
gene-Saur515_RS05555	934	1089	1054	238	245	362	365	248	161	host	gene-Saur515_RS05555
gene-Saur515_RS07400	60	60	84	13	9	25	21	16	9	host	gene-Saur515_RS07400
gene-Saur515_RS11900	335	376	430	100	81	149	129	85	66	host	yabA
gene-Saur515_RS12200	1163	1348	1384	291	340	491	398	363	187	host	gene-Saur515_RS12200
gene-Saur515_RS07725	141	153	177	58	42	57	73	70	36	host	gene-Saur515_RS07725
gene-Saur515_RS10490	467	496	532	126	114	202	146	123	64	host	gene-Saur515_RS10490
gene-Saur515_RS12720	26	16	25	8	7	9	32	11	11	host	gene-Saur515_RS12720
gene-Saur515_RS08105	301	316	365	229	186	286	185	177	133	host	purC
gene-Saur515_RS13635	283	278	324	112	99	185	133	73	66	host	gene-Saur515_RS13635
gene-Saur515_RS06185	1330	1534	1454	400	419	594	637	297	226	host	gene-Saur515_RS06185
gene-Saur515_RS00560	53	45	39	14	8	10	12	12	7	host	cap8L
gene-Saur515_RS13670	3	11	6	3	0	3	1	5	0	host	gene-Saur515_RS13670
gene-phage515_00073	54	73	49	500	670	848	43684	13787	17650	phage	lysK.2
gene-Saur515_RS01375	62	70	70	15	11	21	23	7	6	host	gene-Saur515_RS01375
gene-Saur515_RS12255	764	795	1015	226	88	199	161	121	82	host	gene-Saur515_RS12255
gene-Saur515_RS01445	50	53	63	10	7	15	12	27	14	host	pcp
gene-Saur515_RS12525	37	34	45	10	2	12	11	9	11	host	gene-Saur515_RS12525
gene-Saur515_RS10725	60	79	78	29	16	32	30	24	19	host	gene-Saur515_RS10725
gene-Saur515_RS07685	280	361	333	72	47	53	108	57	30	host	gene-Saur515_RS07685
gene-Saur515_RS09475	107	122	160	29	32	42	31	36	11	host	gene-Saur515_RS09475
gene-Saur515_RS09435	1624	1824	1780	625	600	925	750	458	375	host	murF
gene-Saur515_RS08785	804	888	1014	343	217	520	597	337	192	host	plsY
gene-Saur515_RS07365	124	141	105	95	73	107	96	45	38	host	gene-Saur515_RS07365
gene-Saur515_RS04350	1533	1652	1729	629	566	903	841	545	384	host	uvrA
gene-Saur515_RS14050	55	52	41	25	15	40	56	42	31	host	gene-Saur515_RS14050
gene-Saur515_RS05115	295	286	315	52	70	112	86	63	31	host	gene-Saur515_RS05115
gene-Saur515_RS05015	9546	9454	9944	1986	1908	3076	3050	1760	1004	host	gene-Saur515_RS05015
gene-Saur515_RS13420	283	319	303	127	117	190	197	134	80	host	sdrM
gene-Saur515_RS12680	14	20	13	7	8	10	11	5	6	host	gene-Saur515_RS12680
gene-Saur515_RS03030	290	359	352	132	106	195	193	109	92	host	gene-Saur515_RS03030
gene-phage515_00062	4421	4957	4326	13375	15245	20200	25471	20835	13583	phage	rbn
gene-Saur515_RS13390	248	256	328	88	54	130	146	124	66	host	gene-Saur515_RS13390
gene-Saur515_RS02030	854	906	954	215	223	344	503	442	230	host	gene-Saur515_RS02030
gene-phage515_00019	5691	6553	6604	1974	1833	3292	2527	2181	1387	phage	gene-phage515_00019
gene-Saur515_RS02920	15	12	18	2	8	3	3	10	2	host	gene-Saur515_RS02920
gene-phage515_00204	7855	9864	7722	30295	33286	44311	51826	33162	24358	phage	nadV
gene-Saur515_RS08260	147	153	199	71	42	106	82	48	35	host	gene-Saur515_RS08260
gene-Saur515_RS13975	522	454	535	301	260	372	951	217	293	host	gene-Saur515_RS13975
gene-Saur515_RS05375	51	53	71	23	13	54	32	22	21	host	gene-Saur515_RS05375
gene-Saur515_RS05040	76	74	106	24	23	36	29	35	17	host	mnhE2
gene-Saur515_RS03400	362	373	455	247	148	443	491	409	250	host	sarV
gene-Saur515_RS08495	1024	931	1178	343	298	663	498	431	220	host	gene-Saur515_RS08495
gene-Saur515_RS04600	190	213	221	52	53	87	94	41	36	host	gene-Saur515_RS04600
gene-Saur515_RS01825	84	79	81	32	23	46	38	41	22	host	gene-Saur515_RS01825
gene-Saur515_RS00410	81	69	102	17	22	38	45	47	18	host	mupG
gene-phage515_00205	1736	1955	1825	1958	1681	2506	1112	1204	678	phage	gene-phage515_00205
gene-phage515_00230	2384	2615	2746	723	654	1240	1017	720	488	phage	gene-phage515_00230
gene-Saur515_RS09060	121	112	152	51	39	84	57	124	42	host	gene-Saur515_RS09060
gene-Saur515_RS09980	747	834	884	331	275	495	346	276	163	host	pde2
gene-Saur515_RS01075	85	51	70	17	10	34	14	22	8	host	gene-Saur515_RS01075
gene-Saur515_RS01620	860	818	896	248	243	434	497	247	197	host	sasA
gene-Saur515_RS06885	5	6	14	2	3	5	5	5	4	host	gene-Saur515_RS06885
gene-Saur515_RS09725	2199	2571	2597	814	627	1111	1049	753	414	host	gene-Saur515_RS09725
gene-Saur515_RS03875	673	777	800	334	326	530	395	304	167	host	mnhG1
gene-Saur515_RS04205	49	42	53	15	16	12	14	5	9	host	gene-Saur515_RS04205
gene-phage515_00044	2123	2292	1838	7643	8393	11115	12744	10162	6554	phage	mbpP
gene-Saur515_RS11265	1019	1109	1157	346	313	509	457	332	200	host	obgE
gene-Saur515_RS08075	14007	14600	15162	4042	4007	6462	5655	4096	2436	host	qoxA
gene-Saur515_RS14385	605	606	645	239	253	458	411	314	201	host	gene-Saur515_RS14385
gene-Saur515_RS13215	30	36	39	13	7	16	11	5	2	host	gene-Saur515_RS13215
gene-Saur515_RS09190	840	987	1105	145	111	198	203	173	79	host	gene-Saur515_RS09190
gene-Saur515_RS09975	756	741	810	278	234	427	348	296	174	host	gene-Saur515_RS09975
gene-Saur515_RS10730	1040	1155	1211	264	229	417	475	321	167	host	gene-Saur515_RS10730
gene-Saur515_RS07700	25	28	38	6	6	6	14	7	2	host	gene-Saur515_RS07700
gene-Saur515_RS12635	1321	1552	1670	573	562	863	782	818	445	host	gene-Saur515_RS12635
gene-Saur515_RS07560	125	154	184	49	46	87	101	72	54	host	gene-Saur515_RS07560
gene-Saur515_RS00830	1238	1424	1464	435	379	544	628	571	299	host	gene-Saur515_RS00830
gene-phage515_00095	202	174	171	2845	4421	5370	101220	26031	41021	phage	pro
gene-Saur515_RS03760	309	330	374	92	57	154	133	127	72	host	gene-Saur515_RS03760
gene-Saur515_RS01730	46	44	50	25	29	32	31	24	14	host	arcD
gene-Saur515_RS12740	877	999	948	302	276	491	466	400	210	host	sea
gene-Saur515_RS14245	7	9	7	0	4	2	4	3	3	host	gene-Saur515_RS14245
gene-Saur515_RS10420	1206	1246	1330	415	376	538	489	343	218	host	radA
gene-Saur515_RS01775	622	574	664	191	164	255	268	182	124	host	nsaR
gene-Saur515_RS04170	219	240	231	58	66	71	103	85	50	host	gene-Saur515_RS04170
gene-Saur515_RS02875	1591	1657	1852	581	429	874	797	891	470	host	gene-Saur515_RS02875
gene-Saur515_RS09235	2213	2505	2561	765	735	1157	1255	1301	623	host	gene-Saur515_RS09235
gene-Saur515_RS14225	10	18	19	3	4	7	3	3	2	host	gene-Saur515_RS14225
gene-Saur515_RS09615	167	167	199	52	38	70	59	70	34	host	gene-Saur515_RS09615
gene-Saur515_RS13720	9890	13599	10701	1707	1967	2495	3471	1605	1282	host	gene-Saur515_RS13720
gene-Saur515_RS13510	441	407	425	197	182	289	460	226	199	host	gene-Saur515_RS13510
gene-phage515_00015	2547	2768	2992	709	638	1205	1033	728	489	phage	gene-phage515_00015
gene-Saur515_RS10465	352	369	373	93	76	114	108	66	48	host	aroC
gene-Saur515_RS11465	181	189	219	39	39	64	99	81	41	host	gene-Saur515_RS11465
gene-Saur515_RS05660	1024	1081	1141	372	341	569	477	232	200	host	rlmN
gene-Saur515_RS14005	989	1078	1078	152	225	346	334	258	133	host	pckA
gene-Saur515_RS11710	216	272	254	54	74	98	74	73	47	host	gene-Saur515_RS11710
gene-Saur515_RS06060	953	989	937	220	218	299	316	139	117	host	mutL
gene-Saur515_RS08245	10765	11292	11296	3457	3170	4880	4366	2581	1743	host	gene-Saur515_RS08245
gene-Saur515_RS08540	4627	5764	7076	1600	1646	2715	3552	1931	1810	host	cspA
gene-Saur515_RS05695	1144	1144	1210	320	267	466	435	349	221	host	gene-Saur515_RS05695
gene-Saur515_RS06855	33	28	48	24	18	37	49	33	17	host	gene-Saur515_RS06855
gene-Saur515_RS09905	6766	7091	7276	1637	1613	2824	2447	1723	1098	host	ezrA
gene-phage515_00167	1756	1984	1689	7569	8128	11332	8880	5458	4883	phage	gene-phage515_00167
gene-Saur515_RS11880	315	356	405	95	81	106	103	87	47	host	tmk
gene-Saur515_RS09730	1051	1218	1272	343	309	571	453	334	223	host	trmB
gene-Saur515_RS04495	1	2	0	0	0	0	1	0	0	host	gene-Saur515_RS04495
gene-Saur515_RS05480	994	1061	1033	330	307	483	382	265	154	host	mraY
gene-Saur515_RS04890	895	1059	1177	210	184	316	440	322	173	host	gene-Saur515_RS04890
gene-Saur515_RS13740	36	48	61	26	21	29	18	11	9	host	ytkD
gene-phage515_00126	1981	2373	2072	10635	12436	17045	37726	19772	17434	phage	gene-phage515_00126
gene-Saur515_RS12235	1791	1804	1910	461	437	733	589	341	279	host	gene-Saur515_RS12235
gene-Saur515_RS02860	110	123	144	47	49	45	53	34	18	host	gene-Saur515_RS02860
gene-Saur515_RS01430	67	57	82	44	25	51	54	61	25	host	bstA
gene-Saur515_RS10430	1454	1597	1597	387	360	612	531	386	265	host	gene-Saur515_RS10430
gene-Saur515_RS02465	397	440	451	239	314	481	450	405	256	host	gene-Saur515_RS02465
gene-Saur515_RS09780	4584	4705	4778	2067	2146	3267	3127	2311	1923	host	gene-Saur515_RS09780
gene-Saur515_RS05880	819	889	923	196	163	225	227	143	90	host	gene-Saur515_RS05880
gene-Saur515_RS09215	325	323	444	117	67	136	78	76	29	host	gene-Saur515_RS09215
gene-Saur515_RS06215	35	50	45	20	34	18	26	10	12	host	gene-Saur515_RS06215
gene-Saur515_RS06030	372	414	449	151	136	227	246	148	121	host	gene-Saur515_RS06030
gene-Saur515_RS08375	697	927	846	130	132	257	270	174	99	host	gene-Saur515_RS08375
gene-Saur515_RS03650	9910	12046	12134	1198	1055	1545	3116	1748	919	host	rplM
gene-Saur515_RS10315	7155	7544	7953	1977	1580	2591	2886	1490	1044	host	rpsG
gene-Saur515_RS06540	14	11	14	3	2	5	9	1	1	host	gene-Saur515_RS06540
gene-phage515_00209	2989	3316	3158	2413	1874	3213	1343	1229	754	phage	gene-phage515_00209
gene-Saur515_RS10945	322	350	366	56	36	92	95	69	42	host	gene-Saur515_RS10945
gene-Saur515_RS06430	2418	2670	2721	804	584	1089	1060	756	432	host	rpoD
gene-Saur515_RS01465	34	45	39	11	5	7	11	10	3	host	gene-Saur515_RS01465
gene-Saur515_RS00380	545	498	538	174	187	292	290	203	133	host	gene-Saur515_RS00380
gene-Saur515_RS06795	107	126	141	34	25	50	49	28	29	host	gene-Saur515_RS06795
gene-phage515_00087	1660	1851	1690	2576	3071	4445	18555	12197	10489	phage	gene-phage515_00087
gene-Saur515_RS13225	313	338	345	83	62	97	112	103	34	host	gene-Saur515_RS13225
gene-Saur515_RS02635	592	566	559	275	231	365	323	300	149	host	mdeA
gene-Saur515_RS07925	15	18	17	2	2	5	7	3	1	host	gene-Saur515_RS07925
gene-Saur515_RS06770	658	748	706	205	206	362	243	246	125	host	scpB
gene-Saur515_RS11140	14625	16269	15947	3092	2950	4738	4823	2943	1894	host	tig
gene-Saur515_RS13765	2295	2553	2516	546	558	835	1007	395	432	host	gene-Saur515_RS13765
gene-Saur515_RS13980	1091	975	1155	757	651	913	2047	538	677	host	gene-Saur515_RS13980
gene-Saur515_RS06990	19	35	33	9	3	11	9	5	4	host	gene-Saur515_RS06990
gene-Saur515_RS05955	4834	5245	5374	1388	1195	2025	1807	1486	874	host	gene-Saur515_RS05955
gene-Saur515_RS03115	251	333	338	63	59	113	120	77	40	host	gene-Saur515_RS03115
gene-Saur515_RS08780	1097	1289	1237	398	410	547	455	206	178	host	parE
gene-Saur515_RS09345	224	268	293	88	65	85	92	95	50	host	gene-Saur515_RS09345
gene-Saur515_RS07840	1516	1605	1602	492	416	655	580	333	190	host	gene-Saur515_RS07840
gene-Saur515_RS13145	5207	5354	5721	1427	1292	2504	2477	2090	1073	host	rpsA
gene-Saur515_RS06280	897	879	967	220	215	345	310	255	129	host	rsfS
gene-Saur515_RS07000	13	16	16	6	6	7	7	2	2	host	gene-Saur515_RS07000
gene-Saur515_RS06720	317	323	384	76	62	106	116	101	46	host	rnz
gene-phage515_00138	1729	1966	1599	10755	12503	16447	18665	10786	10546	phage	nrdI
gene-Saur515_RS02890	994	1099	1138	261	218	426	438	343	189	host	mqo
gene-Saur515_RS00750	71	98	86	14	18	22	20	20	9	host	gene-Saur515_RS00750
gene-Saur515_RS02645	6799	7632	7476	1744	1648	2621	2401	1749	995	host	gene-Saur515_RS02645
gene-Saur515_RS11500	181	180	239	67	47	81	99	69	28	host	gene-Saur515_RS11500
gene-Saur515_RS00800	5	2	1	1	1	0	1	1	0	host	sbnA
gene-Saur515_RS10380	578	560	621	103	104	166	117	58	48	host	gene-Saur515_RS10380
gene-Saur515_RS14115	33	32	51	36	28	24	49	19	22	host	gene-Saur515_RS14115
gene-Saur515_RS00920	15	26	27	3	6	5	9	8	5	host	gene-Saur515_RS00920
gene-Saur515_RS08275	89	109	126	44	43	37	35	22	20	host	gene-Saur515_RS08275
gene-Saur515_RS11860	10	19	12	3	1	4	5	8	2	host	gene-Saur515_RS11860
gene-Saur515_RS01190	445	480	633	132	72	139	128	99	78	host	gene-Saur515_RS01190
gene-Saur515_RS13565	473	501	505	295	299	412	722	362	291	host	gene-Saur515_RS13565
gene-Saur515_RS06675	50	32	42	11	11	19	13	11	5	host	prli42
gene-Saur515_RS09965	633	608	844	272	207	475	437	536	250	host	gene-Saur515_RS09965
gene-Saur515_RS02765	3891	3656	4306	1945	1875	2800	1143	759	624	host	nreC
gene-Saur515_RS12845	4	5	5	4	1	5	5	3	2	host	gene-Saur515_RS12845
gene-Saur515_RS09110	5118	5579	5593	1465	1476	2162	1521	1244	703	host	gene-Saur515_RS09110
gene-Saur515_RS06900	2	2	4	0	1	3	6	0	0	host	gene-Saur515_RS06900
gene-Saur515_RS07125	798	1078	926	319	407	599	691	363	306	host	ffs
gene-Saur515_RS11095	826	809	1078	226	289	530	361	361	207	host	gene-Saur515_RS11095
gene-Saur515_RS13490	1051	968	987	605	515	791	1676	767	600	host	gene-Saur515_RS13490
gene-Saur515_RS04445	1169	1318	1413	413	387	692	553	467	291	host	gene-Saur515_RS04445
gene-phage515_00151	4023	4389	3730	16214	17956	23276	19123	10676	10440	phage	gene-phage515_00151
gene-Saur515_RS05870	2404	2788	2642	666	527	904	899	492	377	host	pyrH
gene-phage515_00177	5693	6383	5677	12091	12645	18829	17652	14742	8463	phage	sci
gene-Saur515_RS03870	630	679	699	321	302	483	371	259	173	host	mnhF1
gene-Saur515_RS01350	132	133	159	52	50	86	81	64	42	host	gene-Saur515_RS01350
gene-Saur515_RS13805	85	79	95	31	17	34	32	39	23	host	gene-Saur515_RS13805
gene-Saur515_RS04460	165	175	203	35	27	41	27	26	20	host	gene-Saur515_RS04460
gene-phage515_00068	3545	4746	3889	8185	8652	12400	8083	8297	4689	phage	gene-phage515_00068
gene-Saur515_RS08760	338	417	406	96	95	141	119	108	76	host	gene-Saur515_RS08760
gene-Saur515_RS04185	45	37	61	22	21	34	27	29	18	host	gene-Saur515_RS04185
gene-Saur515_RS01900	130	115	142	73	40	101	73	74	31	host	gene-Saur515_RS01900
gene-Saur515_RS03245	176	140	161	29	29	53	46	33	28	host	gene-Saur515_RS03245
gene-Saur515_RS02970	350	415	462	76	72	103	143	72	40	host	gene-Saur515_RS02970
gene-Saur515_RS10845	405	395	497	148	100	170	175	142	68	host	gene-Saur515_RS10845
gene-Saur515_RS01810	5	9	5	2	0	3	6	3	1	host	gene-Saur515_RS01810
gene-Saur515_RS01440	135	133	182	46	42	77	83	83	44	host	gene-Saur515_RS01440
gene-Saur515_RS01935	632	624	728	260	229	440	429	307	194	host	budA
gene-Saur515_RS00335	206	230	270	79	71	107	136	129	50	host	gene-Saur515_RS00335
gene-Saur515_RS10495	8730	8569	10321	2961	1761	4521	3725	3278	1552	host	gene-Saur515_RS10495
gene-Saur515_RS13430	1391	1441	1600	433	394	674	690	485	302	host	gene-Saur515_RS13430
gene-Saur515_RS05905	565	622	620	158	167	238	225	100	100	host	rimP
gene-Saur515_RS04955	2357	2688	2616	590	628	944	946	587	353	host	gene-Saur515_RS04955
gene-Saur515_RS10235	1456	1575	1485	301	369	561	695	234	305	host	sdrD
gene-Saur515_RS00390	35	48	39	11	14	14	14	11	2	host	gene-Saur515_RS00390
gene-Saur515_RS11040	2121	2267	2353	570	565	912	840	632	355	host	icd
gene-Saur515_RS12685	108	117	120	41	30	70	88	56	33	host	eap
gene-Saur515_RS07880	97	93	117	42	63	140	192	182	93	host	gene-Saur515_RS07880
gene-Saur515_RS04085	265	314	281	143	180	224	197	194	106	host	gene-Saur515_RS04085
gene-Saur515_RS12250	340	369	390	98	90	140	135	87	63	host	gene-Saur515_RS12250
gene-Saur515_RS00815	184	210	221	97	68	163	176	128	82	host	sirC
gene-Saur515_RS13320	667	726	722	197	195	278	266	212	124	host	blaR1
gene-Saur515_RS07780	794	823	881	397	333	512	556	644	293	host	gene-Saur515_RS07780
gene-Saur515_RS06355	1238	1458	1448	308	339	436	462	285	174	host	mtaB
gene-Saur515_RS00580	8	11	8	1	1	7	4	1	1	host	gene-Saur515_RS00580
gene-Saur515_RS13530	109	119	121	62	59	99	160	78	59	host	gene-Saur515_RS13530
gene-Saur515_RS10295	3590	4105	3887	1105	1079	1693	1581	1002	649	host	gene-Saur515_RS10295
gene-Saur515_RS04690	576	691	851	172	87	174	151	129	72	host	gene-Saur515_RS04690
gene-Saur515_RS03215	206	220	234	62	46	59	115	45	25	host	gene-Saur515_RS03215
gene-Saur515_RS02420	762	767	838	372	322	497	545	557	285	host	fetB
