Geneid	0_R1	0_R2	15_R2	15_R3	60_R1	60_R2	60_R3	120_R1	120_R2	120_R3	Entity	Symbol	relative changes	negligible changes	Outlier
gene-VC_RS17350	3251	3246	3049	3311	5172	5289	5395	4444	4444	3859	host	gene-VC_RS17350	0.21152192398957453	0	1
gene-VC_RS15895	149	170	131	108	230	242	215	350	412	329	host	fruB	0.41151681592822636	0	1
gene-VC_RS01840	12546	13273	11360	10535	11371	10781	13272	11957	10578	10119	host	rpsF	0.09367532936105019	0	1
gene-VC_RS06580	582	600	597	656	1155	1185	1059	1661	1605	1559	host	gene-VC_RS06580	0.3923766324634192	0	1
gene-VC_RS05405	1456	1610	1502	1610	1627	1871	1700	2236	2099	2131	host	gene-VC_RS05405	0.1494349033467517	0	1
gene-VC_RS15505	311	358	343	329	634	570	616	1128	1329	1109	host	gene-VC_RS15505	0.5360521597239776	0	1
gene-VC_RS05695	267	269	218	257	357	407	371	515	498	463	host	gene-VC_RS05695	0.28111333964040985	0	1
gene-VC_RS08720	127	126	89	96	287	258	312	425	380	385	host	gene-VC_RS08720	0.4947350214393267	0	1
gene-VC_RS04780	9983	10975	11134	10903	14537	13031	14995	14054	11788	12491	host	ptsI	0.1314770766864657	0	1
gene-VC_RS05390	2508	3073	2885	2685	6186	6641	6156	8925	8186	7894	host	gene-VC_RS05390	0.4310194250271431	0	1
gene-VC_RS15575	433	502	510	591	1311	1152	1125	1854	2219	1919	host	gene-VC_RS15575	0.5383791285742416	0	1
gene-VC_RS12220	104	112	97	104	235	266	210	400	327	324	host	gene-VC_RS12220	0.4830007114514423	0	1
gene-VC_RS01110	586	735	700	785	1015	1022	852	979	1076	953	host	gene-VC_RS01110	0.17825292788016245	0	1
gene-VC_RS05755	1794	1810	1863	1668	552	538	549	753	720	572	host	gene-VC_RS05755	0.5350247105932135	0	1
gene-VC_RS05840	287	290	349	330	337	244	306	421	442	397	host	gene-VC_RS05840	0.17652084175862312	0	1
gene-VC_RS10710	1402	1321	1025	1051	1108	1132	1212	1386	1328	1303	host	copA	0.10811127849376967	0	1
gene-VC_RS13595	330	410	415	358	452	440	414	489	566	437	host	gene-VC_RS13595	0.14423451224522815	0	1
gene-VC_RS09305	118	117	145	119	223	227	250	380	472	340	host	dctP	0.49069666524472205	0	1
gene-VC_RS04650	406	488	483	499	628	597	653	948	1007	861	host	vpsO	0.304435311278591	0	1
gene-VC_RS16165	3130	3967	5701	5060	4244	3048	4039	3722	3521	2965	host	gene-VC_RS16165	0.2136359261034323	0	1
gene-VC_RS03330	384	465	557	487	844	932	799	1119	1078	1017	host	rimI	0.3388742303493204	0	1
gene-VC_RS14090	294	306	296	280	166	166	177	248	212	214	host	gene-VC_RS14090	0.2254495552706642	0	1
gene-VC_RS18010	2005	2069	2099	2120	1777	1840	1672	1341	1159	1130	host	ppsA	0.21212641344510172	0	1
gene-VC_RS12875	1108	1241	1282	1190	1844	1832	1900	2545	2237	2320	host	gene-VC_RS12875	0.28205087550816754	0	1
gene-VC_RS08210	1483	1578	1587	1282	294	223	279	199	162	171	host	gene-VC_RS08210	0.8596241203414333	0	1
gene-VC_RS09540	1417	1494	1301	1430	2534	2679	2688	3760	3579	3438	host	gene-VC_RS09540	0.3773365608167091	0	1
gene-VC_RS14150	6108	6423	7131	6722	7505	7180	6729	5354	6103	4564	host	gene-VC_RS14150	0.13306421322043138	0	1
gene-VC_RS16470	121	124	121	139	137	124	136	152	190	139	host	gene-VC_RS16470	0.1423558459115517	0	1
gene-VC_RS16700	81	100	99	124	183	149	168	240	247	206	host	gene-VC_RS16700	0.3523090411650149	0	1
gene-VC_RS16610	212	232	216	178	344	371	373	510	587	480	host	napA	0.3831913393025316	0	1
gene-VC_RS08440	155	149	139	162	341	331	279	537	490	546	host	gene-VC_RS08440	0.4981877176313619	0	1
gene-VC_RS07090	609	587	532	489	691	498	654	694	874	697	host	rstR	0.17431107882309665	0	1
gene-VC_RS14225	147	196	216	218	367	331	341	476	594	522	host	hmpA	0.4203139973611429	0	1
gene-VC_RS14895	1577	1556	1787	1719	1326	1036	1182	1133	1452	1112	host	gene-VC_RS14895	0.18342605564602518	0	1
gene-VC_RS05335	355	374	369	391	255	233	233	269	329	288	host	gene-VC_RS05335	0.1871446024979684	0	1
gene-VC_RS07340	237	209	218	220	132	124	126	127	134	113	host	gene-VC_RS07340	0.288228295397412	0	1
gene-VC_RS18395	919	947	842	764	1128	1140	1149	2272	2271	1850	host	gene-VC_RS18395	0.4142302825159937	0	1
gene-VPVV882_gp48	452	1184	150	138	5556	5012	6914	12617	12050	15251	phage	gene-VPVV882_gp48	0.9085227759330364	0	0
gene-VC_RS00860	5777	5660	5996	5224	5582	4088	5823	4745	4961	4202	host	gene-VC_RS00860	0.12462603356881942	0	1
gene-VC_RS03195	1375	1381	1454	1355	1461	1490	1470	1666	1788	1648	host	dacB	0.0906523818523944	0	1
gene-VC_RS09365	1809	1890	2094	2058	2828	3034	2539	1548	1459	1348	host	folD	0.26540811978019985	0	1
gene-VC_RS11310	263	295	276	274	410	443	450	631	675	609	host	deoA	0.3486880128245452	0	1
gene-VC_RS04020	256	307	332	363	526	490	456	651	551	563	host	fdxA	0.27279367476600747	0	1
gene-VC_RS07950	406	448	512	506	611	505	593	735	697	641	host	gene-VC_RS07950	0.1802457402063595	0	1
gene-VC_RS02675	800	842	920	944	1307	1369	1215	1494	1333	1358	host	gene-VC_RS02675	0.20864350305055104	0	1
gene-VC_RS01540	267	315	302	339	382	336	331	524	481	464	host	gene-VC_RS01540	0.2183842608471218	0	1
gene-VC_RS04390	1415	1235	1524	1594	1194	1140	1143	2316	2578	2010	host	gene-VC_RS04390	0.30295432067979094	0	1
gene-VC_RS06460	341	348	346	347	528	530	572	872	1020	826	host	mglA	0.41451657821631144	0	1
gene-VC_RS08305	1476	1509	1357	1362	1684	1905	2052	2421	2265	2038	host	mukF	0.2013594280676103	0	1
gene-VC_RS09320	645	716	605	672	643	633	670	859	941	884	host	gene-VC_RS09320	0.15793660832782516	0	1
gene-VC_RS07920	848	838	979	841	1525	1303	1488	1570	1554	1412	host	rsuA	0.24626473644529584	0	1
gene-VC_RS17895	558	819	622	598	1667	1688	1662	3556	3787	3405	host	gene-VC_RS17895	0.6665841663602033	0	1
gene-VC_RS11660	422	421	406	387	666	809	682	970	961	969	host	ampD	0.35257177824887864	0	1
gene-VC_RS08860	840	1060	1226	1303	1263	1290	1079	1321	1129	1281	host	tolA	0.12263137335817245	0	1
gene-VC_RS12665	1892	2006	1934	2018	2469	2421	2414	4134	4498	3913	host	gene-VC_RS12665	0.34460379099916894	0	1
gene-VC_RS06120	1397	1422	1589	1342	754	634	857	1031	1056	890	host	yfaE	0.27887051689886827	0	1
gene-VC_RS04970	1353	1360	1484	1488	1727	1965	1798	1606	1610	1384	host	gene-VC_RS04970	0.12274005824475445	0	1
gene-VC_RS04430	1733	1961	1805	1894	3784	3922	3797	5886	5963	5724	host	thiI	0.4570254954254942	0	1
gene-VC_RS06690	421	477	473	557	638	504	608	964	1002	993	host	gene-VC_RS06690	0.3314216744434918	0	1
gene-VC_RS12065	1664	1787	1719	1900	2708	2774	2751	3146	2832	3035	host	lptG	0.22991687108923314	0	1
gene-VC_RS14840	224	271	272	292	457	445	461	893	868	826	host	gene-VC_RS14840	0.4996606571651907	0	1
gene-VC_RS02405	1466	1037	1462	1291	1174	1159	1205	2176	2105	1798	host	rsmE	0.25869884828759193	0	1
gene-VC_RS13360	1051	1377	1613	1909	1706	1824	1420	1863	1635	1802	host	glmU	0.157109376536545	0	1
gene-VC_RS00610	478	547	492	529	444	443	421	673	565	580	host	gene-VC_RS00610	0.14184424389606531	0	1
gene-VC_RS15815	746	860	883	920	1534	1512	1662	2299	2143	2332	host	gene-VC_RS15815	0.3953370712559708	0	1
gene-VC_RS13720	94	108	99	87	150	146	175	305	296	290	host	pstC	0.4808224246867368	0	1
gene-VC_RS17510	276	346	372	415	493	477	435	456	442	421	host	gene-VC_RS17510	0.1504720826377956	0	1
gene-VC_RS01685	11802	11449	10719	9590	8965	7137	9827	6729	6103	5792	host	gene-VC_RS01685	0.240195691843145	0	1
gene-VC_RS06750	786	864	819	826	1282	1179	1341	2051	2253	2000	host	gene-VC_RS06750	0.39998023775883634	0	1
gene-VC_RS07825	253	209	205	200	343	327	371	502	571	462	host	gene-VC_RS07825	0.3650807293583307	0	1
gene-VC_RS01135	683	764	792	637	374	333	355	442	456	441	host	gene-VC_RS01135	0.3131746184239257	0	1
gene-VC_RS07585	76	100	85	87	187	180	161	440	473	434	host	gene-VC_RS07585	0.6901413171427419	0	1
gene-VC_RS02980	1884	1665	1857	1610	1931	2079	2073	1569	1863	1380	host	hpt	0.12066590886571514	0	1
gene-VC_RS02515	1300	1306	1331	1292	1349	1228	1404	1471	1820	1351	host	gene-VC_RS02515	0.11394262908854023	0	1
gene-VC_RS07605	37	91	63	112	109	90	98	245	216	262	host	gene-VC_RS07605	0.5658347383241303	0	1
gene-VC_RS12810	329	298	296	285	264	245	268	215	241	214	host	frdD	0.13385843592893235	0	1
gene-VC_RS15530	895	1112	1188	1107	1208	1149	1254	1532	1696	1329	host	gene-VC_RS15530	0.17309947389984942	0	1
gene-VC_RS13150	364	432	422	484	429	369	432	656	584	626	host	gspG	0.20787088935835885	0	1
gene-VC_RS13550	690	769	703	724	810	757	852	958	1021	889	host	gene-VC_RS13550	0.1292745540886717	0	1
gene-VC_RS02025	590	744	853	892	582	621	473	701	619	617	host	gspM	0.1829965020624619	0	1
gene-VC_RS04775	14445	15693	16609	14660	9203	8723	9469	7461	6606	6136	host	crr	0.34920836083476936	0	1
gene-VC_RS02155	263	319	262	315	521	545	570	678	724	591	host	gene-VC_RS02155	0.34496677975229556	0	1
gene-VC_RS01030	643	593	589	641	499	491	505	542	570	492	host	pyrE	0.10135232859549397	0	1
gene-VC_RS02400	1274	1144	1281	1534	926	1135	894	1568	1454	1367	host	gshB	0.17675643444723566	0	1
gene-VC_RS07165	558	639	640	695	1334	1141	1250	1226	1089	1119	host	matP	0.2929276522549222	0	1
gene-VC_RS01020	911	1006	1010	1053	1214	1375	1171	1339	1109	1219	host	gene-VC_RS01020	0.1250043492866667	0	1
gene-VC_RS00145	106	109	120	113	165	170	164	239	233	206	host	gene-VC_RS00145	0.29570815614295703	0	1
gene-VC_RS04045	318	341	332	309	156	107	123	145	144	135	host	gene-VC_RS04045	0.4466054593133553	0	1
gene-VC_RS08040	251	255	318	309	343	381	388	475	541	444	host	gene-VC_RS08040	0.24250152247823298	0	1
gene-VC_RS12350	817	914	797	903	1007	1096	1002	1579	1530	1557	host	cpdB	0.26522012075160006	0	1
gene-VC_RS12650	4613	3053	3168	2830	2796	2825	2939	3886	4464	3392	host	trpS	0.1918587500793695	0	1
gene-VC_RS09075	911	952	960	1036	1616	1516	1513	1770	1938	1544	host	gene-VC_RS09075	0.26007623571956223	0	1
gene-VC_RS12560	1934	2695	2282	2630	2213	2850	1872	2306	1628	2005	host	slyD	0.1667404173466408	0	1
gene-VC_RS12975	706	792	856	879	901	875	770	817	889	796	host	trmL	0.07178056252957245	0	1
gene-VC_RS04955	4968	4849	5424	5367	7931	7889	8173	4413	4437	3730	host	purF	0.27351800242011926	0	1
gene-VC_RS15595	196	295	203	239	686	778	709	1731	1682	1870	host	gene-VC_RS15595	0.7620824286353839	0	1
gene-VC_RS04095	642	795	754	719	1418	1150	1502	1869	2287	1831	host	gene-VC_RS04095	0.4210346919216617	0	1
gene-VC_RS03625	1486	1415	1384	1539	1369	1265	1341	1750	2061	1757	host	rdgC	0.15259467604446583	0	1
gene-VC_RS17235	2175	2416	2254	2208	3755	3967	3651	4545	4266	4092	host	speA	0.2718359495999137	0	1
gene-VC_RS02370	731	779	808	834	578	491	545	530	540	538	host	gene-VC_RS02370	0.1990481999513819	0	1
gene-VC_RS11145	294	368	312	371	657	741	566	939	932	884	host	gene-VC_RS11145	0.40813307859056097	0	1
gene-VC_RS04300	491	565	398	431	1002	1041	1060	1564	1425	1466	host	gene-VC_RS04300	0.4523502238457934	0	1
gene-VC_RS10845	3989	3881	3587	3735	3537	3570	3843	4247	3969	3807	host	dnaE	0.0550548285755938	0	1
gene-VC_RS14955	514	592	660	702	947	793	976	1174	1157	1077	host	gene-VC_RS14955	0.2643570230914732	0	1
gene-VC_RS08830	1070	1118	1262	1154	1579	1624	1601	2357	2358	2194	host	cqsR	0.2950515241855337	0	1
gene-VC_RS07045	640	539	625	583	752	511	728	771	964	744	host	gene-VC_RS07045_gene_rstR	0.18600404426167252	0	1
gene-VC_RS07660	308	266	227	263	468	492	591	923	961	891	host	gene-VC_RS07660	0.5117392992849352	0	1
gene-VC_RS06320	6799	6984	7350	6692	8543	8166	8982	9231	9032	8318	host	asnS	0.11561358534013416	0	1
gene-VC_RS15045	746	802	704	683	1150	1146	1307	2364	2705	2248	host	gene-VC_RS15045	0.5239017410781817	0	1
gene-VC_RS04635	96	84	77	56	183	185	209	343	366	293	host	vpsL	0.569794897886014	0	1
gene-VC_RS17490	204	240	224	188	412	339	421	580	557	498	host	gene-VC_RS17490	0.38563460422652324	0	1
gene-VC_RS10745	1588	1631	1707	1572	3561	3339	3795	4038	3919	3363	host	rluF	0.35892034125847455	0	1
gene-VC_RS18295	473	448	422	421	344	397	351	448	426	388	host	gene-VC_RS18295	0.0966342141630863	0	1
gene-VC_RS01470	3249	3361	3444	3529	3794	3515	3705	3539	3386	2984	host	rhlB	0.06291861654171439	0	1
gene-VC_RS17440	183	234	251	236	270	256	281	404	429	396	host	gene-VC_RS17440	0.27221936530992524	0	1
gene-VC_RS12140	1435	1544	1627	1577	1234	1275	1289	1221	1242	1047	host	ibaG	0.1317704057530434	0	1
gene-VC_RS12365	434	407	394	438	714	742	707	1127	1355	1209	host	gene-VC_RS12365	0.45318105657508756	0	1
gene-VC_RS01605	30629	30267	31581	26848	29479	30748	34263	28369	25386	23673	host	rplJ	0.10198149176783909	0	1
gene-VC_RS04770	860	755	734	759	1591	1730	1781	1907	2046	1757	host	gene-VC_RS04770	0.37007782194980937	0	1
gene-VC_RS03570	1107	5183	1087	1092	3479	2418	2344	2678	2464	2374	host	pgeF	0.4900864652791649	0	1
gene-VC_RS06435	753	792	812	816	1160	981	1124	1387	1451	1183	host	carR	0.2303423936612557	0	1
gene-VC_RS10540	6150	5301	5973	5102	5406	5561	4808	2996	2637	2298	host	gene-VC_RS10540	0.2931445934796843	0	1
gene-VC_RS16460	42	41	46	54	77	76	83	101	105	96	host	gene-VC_RS16460	0.32612500802198396	0	1
gene-VC_RS04335	108	122	140	140	199	163	157	220	196	199	host	gene-VC_RS04335	0.21685917231296536	0	1
gene-VC_RS11825	363	386	390	432	366	342	392	567	612	544	host	gene-VC_RS11825	0.21021383662474621	0	1
gene-VC_RS03340	3831	3922	4090	4146	5491	5424	5200	5822	6025	5200	host	prfC	0.16073107310403537	0	1
gene-VC_RS05460	1070	1033	920	1068	264	286	245	344	299	359	host	bioF	0.6076968510439935	0	1
gene-VC_RS15270	756	757	826	746	1248	1029	1346	1531	1373	1426	host	gene-VC_RS15270	0.27031362899991124	0	1
gene-VC_RS03250	5095	5615	4697	4570	11463	10304	12761	12968	12512	12181	host	rimP	0.38281955922924027	0	1
gene-VC_RS02960	1072	1131	1086	1010	713	489	676	866	806	790	host	gene-VC_RS02960	0.22940557425366362	0	1
gene-VC_RS07550	438	458	489	486	561	475	522	570	638	501	host	gene-VC_RS07550	0.11145862739907304	0	1
gene-VC_RS11795	11100	11176	10909	9975	17186	17215	18598	18467	19429	16214	host	gene-VC_RS11795	0.23767085973867477	0	1
gene-VC_RS16720	280	330	269	282	397	390	364	664	696	652	host	gene-VC_RS16720	0.37441633203380553	0	1
gene-VC_RS15990	251	320	374	409	373	378	307	309	374	306	host	gene-VC_RS15990	0.13516769785604138	0	1
gene-VC_RS12820	2072	2179	2112	2005	3238	3443	3335	3878	3890	3322	host	epmB	0.247418124419255	0	1
gene-VC_RS07100	492	540	533	553	1173	712	1064	1566	1721	1307	host	gene-VC_RS07100	0.4544367132579958	0	1
gene-VC_RS12435	18208	18600	20564	17076	19232	21560	21479	23369	21023	20085	host	rpsE	0.08822890415361674	0	1
gene-VC_RS14795	754	864	770	787	1651	1480	1613	3069	3415	3177	host	gene-VC_RS14795	0.5776877187365933	0	1
gene-VC_RS03485	725	796	697	801	1186	1135	1106	1292	1212	1235	host	gene-VC_RS03485	0.21838260500319764	0	1
gene-VC_RS10360	833	772	802	732	593	601	559	549	563	488	host	gene-VC_RS10360	0.17972716505184996	0	1
gene-VC_RS06235	429	491	524	410	725	616	672	744	694	638	host	gene-VC_RS06235	0.19532834198893503	0	1
gene-VC_RS09450	1857	1922	2163	2190	1662	1527	1602	1547	1441	1358	host	gene-VC_RS09450	0.16064398368374722	0	1
gene-VC_RS11100	1820	2092	2210	1961	1594	1338	1462	1412	1423	1246	host	gene-VC_RS11100	0.19490085869602014	0	1
gene-VC_RS05140	586	592	666	576	603	613	617	778	825	656	host	gene-VC_RS05140	0.12370098466302484	0	1
gene-VC_RS04535	2939	2257	2474	2234	2430	2506	2754	2165	1865	1642	host	gene-VC_RS04535	0.15754769207146316	0	1
gene-VC_RS16340	579	659	634	656	810	831	905	981	900	852	host	moeA	0.16742130743410635	0	1
gene-VC_RS09695	1110	1173	1175	991	1067	1104	1167	1423	1524	1282	host	gene-VC_RS09695	0.1296059567989018	0	1
gene-VC_RS11320	415	392	451	426	602	403	487	519	473	447	host	gene-VC_RS11320	0.12969354565984587	0	1
gene-VC_RS04275	489	585	505	606	435	355	400	1014	1168	941	host	gene-VC_RS04275	0.41703652190037593	0	1
gene-VC_RS07410	219	276	248	280	396	457	390	582	541	627	host	gene-VC_RS07410	0.346388080949342	0	1
gene-VC_RS00025	3790	4361	4615	3962	7442	6273	7160	10430	13252	8793	host	rnpA	0.4209044210544435	0	1
gene-VC_RS08310	967	939	1005	946	1025	958	978	1397	1355	1212	host	cmoM	0.1546542324183934	0	1
gene-VC_RS08450	1159	1211	1154	1289	1448	1312	1554	1649	1613	1485	host	gene-VC_RS08450	0.12760127434939827	0	1
gene-VC_RS15915	1758	1978	2195	2246	1341	1153	1212	1632	1677	1567	host	cqsS	0.21572433857426318	0	1
gene-VC_RS12775	489	570	1387	689	527	603	504	612	582	592	host	gpsA	0.3813255478581609	0	1
gene-VC_RS04850	640	737	743	828	1346	1483	1217	1717	1862	1697	host	yfcE	0.3573130263519932	0	1
gene-VC_RS11005	4699	4527	4426	4802	10319	10856	10202	8271	7511	7129	host	gene-VC_RS11005	0.3371451381335067	0	1
gene-VC_RS15100	606	735	733	688	1058	951	1037	2021	1994	1908	host	gene-VC_RS15100	0.4635070276725285	0	1
gene-VC_RS18600	7145	6390	7574	7339	251	148	200	90	93	76	host	gene-VC_RS18600	1.1690340632630198	0	1
gene-VC_RS18380	241	272	249	320	328	358	361	599	611	521	host	gene-VC_RS18380	0.3438264044815287	0	1
gene-VC_RS01625	1468	1461	1565	1600	1068	1077	1036	1153	1254	1024	host	gene-VC_RS01625	0.17222764624575918	0	1
gene-VC_RS06575	1653	1949	1970	2089	2059	2282	2090	2366	2369	2254	host	gene-VC_RS06575	0.0995833365248547	0	1
gene-VC_RS03470	133	132	169	177	198	147	150	172	147	158	host	gene-VC_RS03470	0.1244985480346545	0	1
gene-VC_RS09960	2779	2306	2043	2348	3030	3172	3767	3280	2601	2900	host	gene-VC_RS09960	0.17439579495782587	0	1
gene-VC_RS19110	110	98	117	110	101	91	96	131	150	137	host	gene-VC_RS19110	0.16238463442034626	0	1
gene-VC_RS14465	161	267	154	156	622	679	674	1353	1430	1294	host	gene-VC_RS14465	0.7195421728025977	0	1
gene-VC_RS13385	13940	16063	12776	16528	3066	3285	3362	2460	2989	2152	host	atpH	0.7751808999513992	0	1
gene-VC_RS15620	702	854	677	746	1733	1727	1740	3771	4490	3774	host	gene-VC_RS15620	0.6821468281141392	0	1
gene-VC_RS05260	124	156	128	154	393	392	341	658	602	659	host	gene-VC_RS05260	0.5767698514132754	0	1
gene-VC_RS17190	3798	3933	3506	3725	5405	5540	5625	7126	7223	6362	host	rnb	0.25752544978994957	0	1
gene-VC_RS06955	1514	1841	1659	1667	2029	1978	2074	3096	3155	2800	host	gene-VC_RS06955	0.2650252849397102	0	1
gene-VC_RS03875	123	169	230	231	333	322	282	372	366	281	host	gene-VC_RS03875	0.28944170190446183	0	1
gene-VC_RS15935	480	505	471	505	1046	993	1092	1381	1400	1280	host	gene-VC_RS15935	0.4033137750693852	0	1
gene-VC_RS06090	2418	2120	2191	2050	1315	1164	1196	914	769	799	host	gene-VC_RS06090	0.4025717498074729	0	1
gene-VC_RS07715	422	474	518	547	644	681	550	937	950	911	host	gene-VC_RS07715	0.28627815678103075	0	1
gene-VC_RS06380	140	230	223	221	247	236	194	422	373	362	host	rimJ	0.32150217930719566	0	1
gene-VC_RS09410	315	317	308	355	578	559	559	716	657	687	host	gene-VC_RS09410	0.3096753884652898	0	1
gene-VC_RS09530	731	772	611	589	1404	1627	1632	2065	2270	2000	host	gene-VC_RS09530	0.448604698327189	0	1
gene-VC_RS10580	61594	48888	42891	43737	28129	30954	31901	17368	14831	14649	host	gene-VC_RS10580	0.4449502938790052	0	1
gene-VC_RS13065	823	950	1019	1189	1498	1224	1465	1524	1354	1473	host	ompR	0.19127558800112865	0	1
gene-VC_RS14965	617	747	875	796	902	955	939	1183	1199	1068	host	brnA	0.18949599321506871	0	1
gene-VC_RS00590	1281	1142	995	1064	988	1118	1064	1340	1507	1284	host	gene-VC_RS00590	0.1360024681823184	0	1
gene-VC_RS02480	395	393	519	443	414	358	410	360	324	378	host	gene-VC_RS02480	0.1276679703722823	0	1
gene-VC_RS11990	3246	3226	3538	3515	3523	3277	3443	5215	4735	4770	host	leuA	0.18477480660495582	0	1
gene-VC_RS04505	340	446	396	423	693	671	649	1438	1328	1430	host	treB	0.5387781355932716	0	1
gene-VC_RS10885	2751	2875	2869	2921	3078	3289	3421	4215	4445	3966	host	rseP	0.17231957338935347	0	1
gene-VC_RS07465	1779	2167	2401	2335	2013	1836	2172	2586	2501	2193	host	gene-VC_RS07465	0.1155135675478083	0	1
gene-VC_RS00030	6939	6557	7286	7094	4864	5591	4902	5682	4256	5012	host	rpmH	0.17607091577540912	0	1
gene-VC_RS08935	799	823	885	883	1191	1090	1229	1248	1390	1113	host	gene-VC_RS08935	0.18293904511301617	0	1
gene-VC_RS07645	230	259	249	282	395	426	367	720	745	727	host	gene-VC_RS07645	0.4543465473886282	0	1
gene-VC_RS09130	1597	1666	1912	1770	1852	2201	1893	2456	2707	2252	host	gene-VC_RS09130	0.16846980310628734	0	1
gene-VC_RS04400	645	667	600	540	1213	1211	1312	1755	1720	1500	host	truC	0.4005127612403383	0	1
gene-VC_RS08250	29319	29239	32401	32033	6053	5793	5086	3484	2928	2903	host	metE	0.87068300903948	0	1
gene-VC_RS10810	2608	2707	2958	2805	2413	2473	2270	2903	3036	2723	host	gene-VC_RS10810	0.08786286991186164	0	1
gene-VC_RS12095	5375	5177	6567	4280	10526	10528	11741	11140	10587	9235	host	gene-VC_RS12095	0.317146351921074	0	1
gene-VC_RS02790	22754	19914	20943	16175	19330	19747	19326	15042	14192	11940	host	gene-VC_RS02790	0.18046074952373736	0	1
gene-VC_RS12520	14300	17593	19025	23144	23944	19415	25239	24667	20898	19407	host	rplC	0.15942880333331125	0	1
gene-VC_RS15625	530	599	608	592	931	818	1043	2555	2668	2463	host	gene-VC_RS15625	0.6668729382853358	0	1
gene-VC_RS17780	187	230	221	191	303	287	252	402	452	391	host	gene-VC_RS17780	0.30549454465952475	0	1
gene-VC_RS03890	205	317	395	407	523	482	416	485	450	341	host	fepB	0.22279863639322706	0	1
gene-VC_RS06725	16	34	18	36	51	44	46	65	59	73	host	gene-VC_RS06725	0.40367976343332024	0	1
gene-VC_RS10910	1316	2073	2196	2483	2389	2379	2103	2714	2376	2472	host	pyrH	0.16017283556420578	0	1
gene-VC_RS07565	226	327	227	229	546	524	490	1140	1055	1096	host	gene-VC_RS07565	0.6044541077471265	0	1
