Geneid	0_R1	0_R2	0_R3	0_R4	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	25_R1	25_R2	25_R3	Entity	Symbol	relative changes	negligible changes	Outlier
gene-PA3820	2116	2147	3050	4044	1741	1130	2331	302	223	506	116	54	91	host	secF	0.912148632808794	0	1
gene-PA2681	17	10	27	37	44	24	34	18	5	13	14	2	1	host	gene-PA2681	0.6904109845946008	0	1
gene-PA2855	174	141	268	327	213	111	265	111	26	60	43	13	8	host	gene-PA2855	0.7588901476487536	0	1
gene-PA2162	13	7	23	29	32	9	23	15	3	3	39	0	1	host	gene-PA2162	0.8188495413458525	0	1
gene-PA3830	59	47	68	54	71	53	77	22	13	14	43	6	3	host	gene-PA3830	0.6139357070017925	0	1
gene-PA4521	132	93	162	165	215	115	138	58	15	54	48	5	13	host	gene-PA4521	0.6898124429051024	0	1
gene-PA5568	2441	2404	4290	5407	2776	1833	3689	603	571	1384	217	124	168	host	gene-PA5568	0.8247605089668436	0	1
gene-PA0911	16	8	29	21	47	19	21	12	9	11	20	3	3	host	gene-PA0911	0.6763542086314347	0	1
gene-PA1024	31	22	25	43	66	24	58	26	10	15	26	1	2	host	gene-PA1024	0.6951598837532057	0	1
gene-PA1540	23	13	23	26	39	28	36	12	7	11	8	2	1	host	gene-PA1540	0.6777708986442162	0	1
gene-PA0828	32	18	27	37	52	26	37	14	9	5	27	1	2	host	gene-PA0828	0.6759402274994522	0	1
gene-EST35_0087	0	0	0	0	3905	11730	17482	1664	6917	7165	814	3293	3307	phage	gene-EST35_0087	1.1800208183195924	0	0
gene-PA1405	206	127	194	278	319	180	224	143	24	57	58	12	7	host	gene-PA1405	0.7061819307263817	0	1
gene-PA3029	122	82	138	130	98	75	138	27	17	44	22	8	6	host	moaB2	0.7120281912406494	0	1
gene-PA1258	4	1	11	2	7	4	5	2	3	1	11	0	0	host	gene-PA1258	0.9133972312825188	0	1
gene-PA4666	691	469	797	959	881	422	796	191	105	211	96	28	29	host	hemA	0.769182029425745	0	1
gene-PA5374	69	94	130	170	272	83	166	124	182	299	41	30	60	host	betI	0.6087750692257056	0	1
gene-PA2124	11	13	23	26	54	20	29	24	4	8	33	1	5	host	gene-PA2124	0.729181627537991	0	1
gene-PA5144	11	15	29	71	39	10	30	10	1	1	18	0	2	host	gene-PA5144	1.0603905249024652	0	1
gene-PA3559	427	214	289	475	395	129	250	104	24	60	57	9	7	host	gene-PA3559	0.8525086681630872	0	1
gene-PA1892	10	3	7	6	33	14	29	16	4	16	30	6	3	host	gene-PA1892	0.7575679227960107	0	1
gene-EST35_0411	0	0	0	0	169	563	25	561	1526	809	676	1041	1060	phage	gene-EST35_0411	0.9917176465322987	0	0
gene-PA0509	35	39	61	91	303	57	1030	204	7	46	85	3	6	host	nirN	1.7621179344211184	0	1
gene-PA2093	5	6	9	5	9	4	15	1	1	2	14	2	2	host	gene-PA2093	0.7845168364456345	0	1
gene-PA0848	42	23	49	18	30	16	20	15	6	12	32	3	2	host	gene-PA0848	0.6714759330866862	0	1
gene-PA4297	31	21	57	57	42	50	63	14	13	26	59	5	5	host	tadG	0.609547693011376	0	1
gene-PA4176	103	97	138	187	89	91	146	14	23	59	15	3	3	host	ppiC2	0.780591254615579	0	1
gene-PA4737	342	204	347	393	752	279	525	282	62	181	88	27	36	host	gene-PA4737	0.7435064122694447	0	1
gene-PA4847	503	383	738	725	354	257	767	67	100	196	29	24	21	host	accB	0.8530729924451413	0	1
gene-PA1113	72	42	95	96	101	56	129	32	27	38	50	10	16	host	gene-PA1113	0.6028961197896092	0	1
gene-PA1166	18	10	30	47	21	27	26	3	7	7	17	2	3	host	gene-PA1166	0.7637304729639417	0	1
gene-PA3744	10171	7057	10287	13942	16451	4806	7618	5586	2000	3943	1406	451	752	host	rimM	0.7513612392511257	0	1
gene-EST35_0027	0	0	0	0	3039	3821	564	6224	5273	5955	1343	1036	2647	phage	gene-EST35_0027	0.9889144476226865	0	0
gene-PA0797	88	88	132	97	112	160	278	28	37	53	37	6	6	host	gene-PA0797	0.8337464540725822	0	1
gene-PA1567	30	25	34	48	54	26	58	24	6	12	15	0	2	host	gene-PA1567	0.7115551502376702	0	1
gene-PA1486	13	13	12	19	25	13	19	13	1	5	29	3	3	host	gene-PA1486	0.6369882010319879	0	1
gene-PA5453	183	115	153	137	159	130	232	46	30	62	34	9	13	host	gmd	0.6921235718338867	0	1
gene-PA0025	202	190	213	405	385	149	326	125	41	84	72	10	17	host	aroE	0.7519560266253764	0	1
gene-PA0729	481	290	641	367	397	314	509	151	162	157	107	45	67	host	gene-PA0729	0.6348793465460121	0	1
gene-PA0156	201	126	204	284	449	171	204	137	32	56	77	7	13	host	gene-PA0156	0.789270283106351	0	1
gene-PA2349	2	4	13	1	3	4	2	7	4	5	26	1	1	host	gene-PA2349	1.1864943371798622	0	1
gene-PA4305	47	27	41	43	46	35	55	6	11	12	41	7	6	host	rcpC	0.6024432707301174	0	1
gene-PA0239	30	38	47	61	42	28	39	12	8	12	48	2	4	host	gene-PA0239	0.6469339613867819	0	1
gene-PA1698	97	58	70	138	73	30	103	17	6	15	6	0	2	host	popN	0.9279126459486733	0	1
gene-PA1866	199	156	242	258	275	193	264	104	43	85	78	11	17	host	gene-PA1866	0.6295413789276191	0	1
gene-PA1249	66	47	73	64	67	335	315	23	121	155	27	72	67	host	aprA	0.8858575341088952	0	1
gene-PA5112	597	472	642	972	735	358	487	200	66	130	145	18	19	host	estA	0.7889029015807535	0	1
gene-PA2019	75	87	94	176	204	79	205	52	40	72	78	14	19	host	gene-PA2019	0.6690354327066004	0	1
gene-PA0125	107	59	113	132	61	43	48	13	6	5	29	2	0	host	gene-PA0125	0.916794836468099	0	1
gene-EST35_0377	0	0	0	0	1177	6480	276	4329	17882	14039	907	5183	11847	phage	gene-EST35_0377	1.2315941683655252	0	0
gene-PA1671	41	37	38	71	132	54	72	55	13	27	39	3	7	host	stk1	0.72105644930416	0	1
gene-PA1922	7	5	11	7	15	10	14	4	0	3	38	1	1	host	gene-PA1922	1.0771378377542948	0	1
gene-PA2638	1796	1269	2163	2338	1419	903	1681	271	239	568	41	41	79	host	nuoB	0.8197375351616468	0	1
gene-PA0288	33	20	44	33	49	21	29	23	5	10	57	0	1	host	gpuA	0.6995383092825197	0	1
gene-PA0203	12	3	23	13	38	16	20	13	7	4	78	7	2	host	gene-PA0203	1.0843650020298141	0	1
gene-PA2976	1210	1034	1425	2398	1913	1083	2149	292	155	289	178	79	75	host	rne	0.851039740232535	0	1
gene-PA4937.1	17214	12730	32924	25542	33165	12333	15046	21092	1456	3312	6696	419	738	host	gene-PA4937.1	0.7919910685614225	0	1
gene-PA2987	186	146	252	465	347	161	370	89	31	106	25	9	14	host	gene-PA2987	0.8468495095997884	0	1
gene-PA3669	116	82	161	131	202	128	158	77	19	29	32	12	9	host	gene-PA3669	0.7043594485288658	0	1
gene-PA3881	41	30	61	77	68	38	70	8	7	17	19	4	7	host	gene-PA3881	0.7504984355387876	0	1
gene-PA0617	68	20	22	43	78	89	53	34	32	18	24	9	4	host	gene-PA0617	0.6759072633104196	0	1
gene-PA4269	9051	5791	8779	11170	12355	13015	7528	5526	5168	9005	1796	1555	1759	host	rpoC	0.5300835125992474	0	1
gene-EST35_0013	0	0	0	0	748	1237	126	2606	1057	839	1503	540	823	phage	gene-EST35_0013	1.0088296962535703	0	0
gene-PA2152	40	20	48	67	61	36	80	22	6	18	77	1	2	host	gene-PA2152	0.7317990435658295	0	1
gene-PA0568	46	27	40	71	75	27	70	21	11	24	32	3	2	host	gene-PA0568	0.6911197003745676	0	1
gene-PA4153	19	15	31	31	64	33	71	9	11	23	25	7	2	host	gene-PA4153	0.7623392635335431	0	1
gene-PA5466	25	23	50	66	64	35	61	14	13	10	38	4	3	host	gene-PA5466	0.7052339659538078	0	1
gene-PA2111	614	309	103	757	667	43	140	504	11	43	215	7	9	host	gene-PA2111	1.0128302386323091	0	1
gene-PA5354	10	6	15	15	30	10	12	5	1	3	30	1	0	host	glcE	0.9054782047338618	0	1
gene-PA2771	268	132	257	233	298	138	157	116	36	40	41	6	14	host	gene-PA2771	0.7445882036005045	0	1
gene-PA0066	148	111	220	175	203	138	154	72	43	48	91	13	5	host	gene-PA0066	0.6199863247971197	0	1
gene-PA3172	65	44	48	82	106	74	98	26	18	41	38	15	10	host	gene-PA3172	0.5923934135944817	0	1
gene-PA3505	19	12	32	21	46	16	37	14	3	10	21	1	1	host	gene-PA3505	0.739369266514261	0	1
gene-PA1564	73	52	102	137	61	26	107	16	15	32	6	1	10	host	gene-PA1564	0.8641724124228362	0	1
gene-PA4550	139	88	172	152	201	87	203	79	22	65	28	6	7	host	fimU	0.7115176510696966	0	1
gene-PA5545	140	148	259	155	95	74	164	30	21	43	64	13	7	host	gene-PA5545	0.7769850709739473	0	1
gene-PA2230	80	68	95	139	145	52	122	57	24	43	34	4	8	host	gene-PA2230	0.6743280888437038	0	1
gene-PA0813	31	15	18	41	41	27	40	30	14	5	21	3	5	host	gene-PA0813	0.5920235180029699	0	1
gene-PA4877	27	9	27	43	74	27	47	15	10	19	10	3	2	host	gene-PA4877	0.819811045891748	0	1
gene-EST35_0409	0	0	0	0	565	3599	356	1474	5923	4071	1379	4481	4646	phage	gene-EST35_0409	1.0256294672037887	0	0
gene-EST35_0461	0	0	0	0	1	166	12	0	1700	1165	0	551	1088	phage	gene-EST35_0461	1.554274993819084	0	0
gene-PA3075	84	63	151	180	186	88	198	52	33	58	54	5	12	host	gene-PA3075	0.7184000644420276	0	1
gene-PA4433	12622	9015	15509	14339	7192	17773	8295	888	1658	3608	170	282	517	host	rplM	0.8695275406276313	0	1
gene-PA1284	49	31	49	44	92	51	47	30	18	20	51	5	3	host	gene-PA1284	0.6051149463468724	0	1
gene-EST35_0307	0	0	0	0	725	652	25	2040	1719	1269	3374	3115	3224	phage	gene-EST35_0307	1.0262881581444376	0	0
gene-PA0675	2	3	13	2	3	2	1	4	2	0	26	1	1	host	vreI	1.4975906576156846	0	1
gene-PA3915	16	17	24	29	27	12	50	10	2	3	25	2	0	host	moaB1	0.8232225870364094	0	1
gene-EST35_0187	0	0	0	0	121	904	44	212550	65045	21055	227606	39588	57615	phage	gene-EST35_0187	1.597227482666891	0	0
gene-PA4636	272	246	395	396	428	243	280	140	90	147	82	22	21	host	gene-PA4636	0.6370004890230238	0	1
gene-PA3604	355	253	460	462	287	207	286	74	58	112	21	14	15	host	erdR	0.7866017709450737	0	1
gene-PA0339	86	76	97	156	153	77	104	53	15	24	25	3	1	host	gene-PA0339	0.7539108411133658	0	1
gene-PA1660	46	27	45	81	78	31	149	19	8	12	30	1	0	host	gene-PA1660	0.9863194351986381	0	1
gene-PA4695	237	216	333	328	171	183	352	50	52	67	38	16	27	host	ilvH	0.7601295381361886	0	1
gene-PA1557	230	289	376	1033	473	668	1536	89	227	407	45	130	151	host	ccoN2	0.9419628675157091	0	1
gene-PA2548	26	10	33	36	45	20	33	15	2	6	28	3	3	host	gene-PA2548	0.699175338413873	0	1
gene-PA0823	23	24	32	28	21	22	47	9	9	20	4	3	2	host	gene-PA0823	0.6704046197676882	0	1
gene-PA1433	758	514	802	845	1112	643	1302	278	95	189	138	24	30	host	gene-PA1433	0.7945752969501086	0	1
gene-PA1869	34	27	61	53	60	32	34	14	6	13	7	0	3	host	gene-PA1869	0.7809223893950783	0	1
gene-PA4908	15	7	12	17	17	9	21	10	2	4	32	0	0	host	gene-PA4908	0.789604536271485	0	1
gene-PA4258	2261	1438	1753	2667	3644	2420	1317	844	1747	2276	278	462	716	host	rplV	0.5565979274845727	0	1
gene-PA4346	21	11	12	34	42	17	86	15	4	9	7	1	2	host	gene-PA4346	1.1091937479722176	0	1
gene-PA4079	476	285	465	695	437	224	372	156	35	83	54	8	12	host	gene-PA4079	0.8340554808543879	0	1
gene-PA2670	9	4	14	5	7	4	17	3	2	3	38	1	0	host	gene-PA2670	1.1953121231332509	0	1
gene-PA0190	28	21	40	27	47	18	30	24	9	5	33	7	0	host	gene-PA0190	0.6089375561244135	0	1
gene-PA3519	2	1	11	4	10	4	4	1	4	2	36	3	1	host	gene-PA3519	1.4216867469879517	0	1
gene-PA0884	41	29	64	39	46	38	40	7	10	7	44	6	4	host	gene-PA0884	0.6568882874752923	0	1
gene-PA2979	128	120	156	175	180	130	188	68	23	55	33	8	6	host	kdsB	0.6699524294101152	0	1
gene-PA5344	477	381	686	677	343	258	501	49	52	103	64	10	13	host	oxyR	0.8652763056530529	0	1
gene-PA0318	368	239	376	475	373	225	360	95	65	109	72	16	16	host	gene-PA0318	0.7213864533462291	0	1
gene-PA1797a	90	55	116	117	331	117	262	122	69	152	41	23	23	host	gene-PA1797a	0.7450566674658501	0	1
gene-EST35_0019	0	0	0	0	184	1900	95	1328	3715	2561	788	1079	2191	phage	gene-EST35_0019	1.0936466685057131	0	0
gene-PA1014	417	281	584	458	347	199	289	90	63	98	51	20	17	host	gene-PA1014	0.8009005934430393	0	1
gene-PA2660	56	64	95	188	178	75	112	36	24	41	28	3	5	host	gene-PA2660	0.8244456510550613	0	1
gene-PA2156	3	0	15	14	12	4	10	6	1	4	16	1	1	host	gene-PA2156	0.8480858273883547	0	1
gene-PA5408	102	88	81	215	149	76	118	40	12	27	21	0	6	host	gene-PA5408	0.8495641662043537	0	1
gene-PA0850	28	11	30	40	30	35	28	9	5	5	10	5	1	host	gene-PA0850	0.7216793564220405	0	1
gene-PA1728	90	55	109	95	105	111	182	20	31	62	14	12	32	host	gene-PA1728	0.6830560489084464	0	1
gene-PA2801	100	64	122	112	88	67	63	18	16	20	10	3	1	host	gene-PA2801	0.7964173738419273	0	1
gene-PA1392	28	11	65	35	41	30	58	6	7	14	23	2	6	host	gene-PA1392	0.7800945810744567	0	1
gene-PA4358	128	90	120	263	209	110	321	63	20	28	72	6	9	host	gene-PA4358	0.860856131035387	0	1
gene-PA1867	3	4	6	10	9	8	5	4	2	1	10	0	0	host	xphA	0.7270598496506222	0	1
gene-PA5262	266	164	316	304	469	373	913	113	150	279	54	57	66	host	algZ	0.8254787482813826	0	1
gene-EST35_0396	1	0	1	1	7954	2189	1147	11195	1305	1807	8822	2728	2644	phage	gene-EST35_0396	1.1817586143816765	0	0
gene-PA3731	585	474	600	684	753	350	380	202	80	98	84	41	25	host	gene-PA3731	0.7564664778486883	0	1
gene-EST35_0337	0	0	0	0	1638	770	14	5232	4583	5218	1039	833	2490	phage	gene-EST35_0337	1.171400657704828	0	0
gene-PA2255	3	10	19	10	28	10	19	11	2	1	18	2	2	host	pvcB	0.7882539611509942	0	1
gene-PA1715	92	58	66	120	86	46	156	35	6	24	15	4	3	host	pscB	0.8429741954139373	0	1
gene-PA5272	240	132	281	316	335	211	457	146	55	95	143	27	21	host	cyaA	0.670793958129231	0	1
gene-PA1550	155	116	198	291	336	139	430	96	46	117	21	11	19	host	gene-PA1550	0.8253204938939803	0	1
gene-PA2879	72	60	87	104	102	71	104	24	11	29	57	7	3	host	gene-PA2879	0.6463136646920093	0	1
gene-PA4782	447	310	442	441	171	54	124	60	12	33	14	5	5	host	gene-PA4782	1.0675909669963914	0	1
gene-PA2516	9	7	17	9	13	6	14	2	1	0	18	0	2	host	xylZ	0.8187464133027554	0	1
gene-PA3487	158	126	256	245	236	120	157	50	34	61	108	14	18	host	pldA	0.6754598927879641	0	1
gene-PA2633	33	22	53	70	53	46	61	13	15	40	21	7	9	host	gene-PA2633	0.5979172236981779	0	1
gene-PA2473	3	3	3	5	4	8	7	1	0	1	14	0	0	host	gene-PA2473	1.0257005610717602	0	1
gene-EST35_0366	0	0	0	0	10435	9627	1114	23457	12487	11649	11293	7802	14241	phage	gene-EST35_0366	0.8890803808838897	0	0
gene-PA3816	843	584	925	1043	1077	581	892	387	153	323	107	36	45	host	cysE	0.694451964832779	0	1
gene-PA2065	8065	5376	7260	11082	9726	5528	9067	2487	1627	4597	488	343	365	host	pcoA	0.7165350501279909	0	1
gene-PA4746.1	12675	5089	7375	10128	6576	2048	4049	1923	309	858	502	70	164	host	gene-PA4746.1	0.9997622262600007	0	1
gene-PA3290	154	134	253	202	211	147	194	76	72	46	119	29	18	host	gene-PA3290	0.5679321189067493	0	1
gene-PA4653	16	16	43	26	76	38	46	26	6	14	82	3	4	host	gene-PA4653	0.812699866715789	0	1
gene-PA1414	133	123	214	544	709	630	948	122	203	319	47	117	130	host	gene-PA1414	0.8425533574772281	0	1
gene-PA0269	20	10	24	14	15	11	18	4	6	12	6	2	3	host	gene-PA0269	0.5935042751434527	0	1
gene-PA5006	830	732	1147	1571	1636	741	1450	611	194	335	179	39	66	host	gene-PA5006	0.7480211956754942	0	1
gene-PA0090	806	763	956	1483	1948	546	559	508	116	270	204	22	33	host	clpV1	0.8721739531076814	0	1
gene-EST35_0301	0	0	0	0	13	60	16	98	64	37	253	144	96	phage	gene-EST35_0301	1.1872332980182814	0	0
gene-PA3103	204	121	212	289	223	104	214	44	31	68	56	13	10	host	xcpR	0.74487817666636	0	1
gene-PA4203	47	37	73	71	72	44	43	31	8	9	43	2	7	host	gene-PA4203	0.6488706365503081	0	1
gene-PA2217	15	22	24	34	40	13	9	18	4	8	28	1	0	host	gene-PA2217	0.7258928563896161	0	1
gene-PA1750	922	692	1140	1175	614	356	436	95	104	186	45	24	25	host	gene-PA1750	0.911528383994106	0	1
gene-PA5189	100	78	135	174	100	77	106	58	23	44	30	10	7	host	gene-PA5189	0.6670181771721871	0	1
gene-PA1842	92	81	137	116	141	92	111	24	33	46	21	2	5	host	gene-PA1842	0.6898853267413455	0	1
gene-PA4758	956	656	993	1480	824	633	876	209	212	353	110	61	101	host	carA	0.7360164837927199	0	1
gene-PA3908	104	88	129	252	214	97	190	57	17	74	48	6	7	host	gene-PA3908	0.7685445015033658	0	1
gene-PA0129	136	76	153	195	289	115	257	142	46	84	106	14	22	host	gabP	0.6395939476318991	0	1
gene-PA1780	1	1	1	0	3	5	8	1	1	1	5	0	3	host	nirD	0.9966610925150704	0	1
gene-EST35_0104	0	0	0	0	479	4298	4164	119	3197	4250	50	1565	1535	phage	gene-EST35_0104	1.1516829461479925	0	0
gene-PA4876	87	45	93	96	174	87	125	38	31	77	21	19	13	host	osmE	0.655043554127878	0	1
gene-PA3441	49	21	48	39	38	23	50	11	10	15	19	1	3	host	gene-PA3441	0.673560851275166	0	1
gene-PA4190	110	89	97	216	125	47	87	32	22	52	45	6	5	host	pqsL	0.7808364612886967	0	1
gene-PA5287	465	314	450	536	444	216	375	118	30	103	97	14	11	host	amtB	0.7620454532435286	0	1
gene-EST35_0170	0	0	0	0	316	899	34	12024	11241	6525	13512	5065	9961	phage	gene-EST35_0170	1.1303310596156277	0	0
gene-PA2394	7	8	29	9	19	9	15	4	2	5	29	1	4	host	pvdN	0.8386805956933039	0	1
gene-PA0918	76	81	144	143	96	98	121	18	26	42	14	8	8	host	gene-PA0918	0.7275773610596544	0	1
gene-PA5421	109	74	157	139	167	79	154	60	39	43	59	11	18	host	fdhA	0.6122467000223661	0	1
gene-PA4746	1672	1185	1833	2103	1367	621	1068	513	281	497	102	87	177	host	gene-PA4746	0.7567567822244776	0	1
gene-PA0676	30	17	46	43	60	21	41	18	6	8	19	4	1	host	vreR	0.7346823838918574	0	1
gene-PA3114	350	241	410	472	336	208	403	79	37	92	35	13	9	host	truA	0.7978688118319528	0	1
gene-EST35_0110	0	0	0	0	68	530	7	6721	4580	4464	1949	1525	3048	phage	gene-EST35_0110	1.2348108293603302	0	0
gene-PA1203	26	12	17	9	10	18	28	4	3	12	15	0	3	host	gene-PA1203	0.690840604481847	0	1
gene-PA4267	5532	2730	3579	4470	5162	3595	2833	1238	1869	3344	271	431	481	host	rpsG	0.6255316272448637	0	1
gene-PA2294	10	11	10	5	9	5	14	1	1	0	18	2	0	host	gene-PA2294	0.8479606815583505	0	1
gene-PA4637a	71	66	138	135	85	102	146	21	40	47	8	15	18	host	gene-PA4637a	0.6915304925801548	0	1
gene-PA5115	8	1	15	13	11	8	15	11	4	7	21	1	1	host	gene-PA5115	0.668756632869637	0	1
gene-EST35_0185	0	0	0	0	63	121	13	13700	3567	2135	12193	3672	6149	phage	gene-EST35_0185	1.4283271024385653	0	0
gene-PA1960	70	54	64	120	184	71	130	57	29	48	25	4	11	host	gene-PA1960	0.737416707014214	0	1
gene-PA2813	203	119	195	216	271	161	207	149	30	45	55	10	5	host	gene-PA2813	0.6741522025750555	0	1
gene-PA4398	129	124	205	189	124	98	172	45	34	49	71	9	9	host	gene-PA4398	0.6621635935757885	0	1
gene-PA1251	50	31	67	107	152	62	96	54	15	42	50	9	6	host	gene-PA1251	0.7025636359581471	0	1
gene-PA2652	284	319	445	873	325	188	384	76	38	140	45	15	14	host	gene-PA2652	0.9581418258177457	0	1
gene-PA1476	127	114	122	207	268	159	271	64	46	97	19	9	12	host	ccmB	0.7414272035489995	0	1
gene-PA3474	93	70	139	117	99	87	111	29	16	36	34	4	7	host	gene-PA3474	0.6814949961119507	0	1
gene-PA4701	391	270	413	577	273	220	255	64	66	127	74	21	14	host	gene-PA4701	0.7822163620197017	0	1
gene-PA3882	29	23	31	66	45	29	40	16	8	6	22	6	4	host	gene-PA3882	0.6945945136995674	0	1
gene-PA0715	3891	2019	3902	2436	910	1165	2055	388	141	191	124	40	70	host	gene-PA0715	1.0171197279792499	0	1
gene-PA5553	3925	2705	4060	5435	5862	2307	2278	1833	549	911	318	146	164	host	atpC	0.8083438274079912	0	1
gene-PA5565	1566	1221	2154	2452	2073	1217	1581	540	380	834	156	97	136	host	gidA	0.7118549335876458	0	1
gene-PA5259	449	360	445	795	1037	375	569	401	63	143	163	10	13	host	hemD	0.792474692250141	0	1
gene-PA2765	293	225	340	451	292	184	277	76	49	64	32	7	10	host	gene-PA2765	0.7960215346043568	0	1
gene-PA1396	199	151	220	329	183	72	170	48	7	26	41	6	4	host	gene-PA1396	0.8870207596784142	0	1
gene-PA4218	137	118	180	161	162	156	193	85	90	235	48	17	39	host	gene-PA4218	0.5041838871355243	0	1
gene-PA1030	135	74	168	146	209	168	179	78	59	60	87	27	37	host	gene-PA1030	0.5262401810182293	0	1
gene-PA4131	90	51	104	99	136	88	112	59	11	44	65	11	8	host	gene-PA4131	0.5915603950551588	0	1
gene-PA5195	67	64	88	124	82	58	69	15	7	15	31	4	6	host	gene-PA5195	0.7578563075660264	0	1
gene-PA1634	30	20	28	33	27	23	27	10	5	5	34	4	0	host	kdpB	0.6264648377000992	0	1
gene-PA5492	255	186	288	397	302	572	450	66	81	177	64	31	50	host	gene-PA5492	0.7364089184418093	0	1
gene-PA3719	7	9	14	23	16	19	17	0	4	7	7	0	0	host	armR	0.7817570979671947	0	1
gene-PA5431	30	26	50	69	96	32	53	45	4	10	66	1	2	host	gene-PA5431	0.7585430839022392	0	1
gene-PA0110	22	16	21	34	48	24	40	16	2	9	19	5	0	host	gene-PA0110	0.7045991491177803	0	1
