Geneid	0_R1	0_R2	0_R3	6_R1	6_R2	6_R3	12_R1	12_R2	12_R3	18_R1	18_R2	18_R3	Entity	Symbol
gene-PA5337	2271	3770	3541	3101	7697	5411	3190	4700	3728	3040	4038	4438	host	rpoZ
gene-PA5530	1449	746	233	622	599	780	859	335	1619	1203	773	2534	host	gene-PA5530
gene-PA3803	2858	2539	2488	2469	4259	4993	3420	4353	3940	3135	3993	4238	host	gcpE
gene-PA2169	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA2169
gene-PA2923	20	29	8	10	20	2	8	9	11	13	8	12	host	hisJ
gene-PA2764	1047	359	365	249	628	391	270	436	374	268	417	425	host	gene-PA2764
gene-PA5282	127	131	124	66	123	98	72	109	80	59	78	70	host	gene-PA5282
gene-PA1566	70	160	81	91	203	81	53	175	49	47	92	71	host	gene-PA1566
gene-PA3669	219	352	247	145	225	244	112	204	172	121	186	196	host	gene-PA3669
gene-PA1193	447	514	354	641	1598	1045	657	844	531	673	705	883	host	gene-PA1193
gene-PA3476	1089	911	652	709	1316	618	472	651	542	411	408	332	host	rhlI
gene-PA0622	2863	1665	7124	1344	1291	4381	1126	632	3999	988	874	5137	host	gene-PA0622
gene-PA2072	0	0	0	1	0	0	0	0	0	0	0	0	host	gene-PA2072
gene-PA5255	2227	4816	3971	871	2877	1855	939	1242	1826	1228	2215	1549	host	algQ
gene-PA2682	150	199	171	119	231	111	73	137	135	91	136	150	host	gene-PA2682
gene-PA0542	1868	2598	2760	1104	2210	997	624	1124	934	724	977	805	host	gene-PA0542
gene-PA2096	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA2096
gene-PA0492	53	162	1512	617	1082	614	600	3212	2366	443	1147	688	host	gene-PA0492
gene-PA2993	1212	1057	1032	948	962	711	894	1049	1390	941	1265	1208	host	gene-PA2993
gene-PA0587	970	5544	1850	1136	2422	327	270	588	316	477	446	244	host	gene-PA0587
gene-PA1174	449	1338	393	349	609	145	137	206	136	252	194	126	host	napA
gene-PA1730	200	405	203	254	387	147	119	182	90	142	150	87	host	gene-PA1730
gene-PA3490	221	360	240	401	729	506	265	476	344	312	359	468	host	gene-PA3490
gene-PA4676	573	677	825	431	1529	972	407	794	944	429	694	1180	host	gene-PA4676
gene-PA3976	739	888	609	575	1385	1008	563	781	856	561	794	918	host	thiE
gene-PA1650	258	633	272	209	836	561	167	471	459	158	336	195	host	gene-PA1650
gene-PA4841	790	2817	1165	655	1444	434	260	694	505	298	570	407	host	gene-PA4841
gene-PA3442	132	132	95	165	334	290	121	258	176	133	169	193	host	gene-PA3442
gene-PA1604	877	3052	2010	160	398	222	187	198	204	393	438	229	host	gene-PA1604
gene-PA2616	2720	2519	3071	1199	3031	2226	1395	1858	2136	1594	2509	2604	host	trxB1
gene-PA4476	1424	3335	2717	1486	2893	2531	1432	2779	2510	1349	2468	2385	host	gene-PA4476
gene-PA2905	379	248	113	304	648	384	353	484	377	306	545	467	host	cobH
gene-PA5183	248	381	558	374	817	409	158	354	314	146	200	421	host	gene-PA5183
gene-PA3226	484	1424	574	636	1275	509	309	568	346	267	395	430	host	gene-PA3226
gene-PA3811	1693	1402	1837	1768	3706	3290	1894	2951	2568	1943	2395	2645	host	hscB
gene-PA2748	267	447	264	225	510	310	176	291	304	205	293	247	host	gene-PA2748
gene-PA1930	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA1930
gene-PA3424	143	304	163	174	308	151	67	171	133	79	86	84	host	gene-PA3424
gene-PA0528	178	379	311	491	893	341	120	567	116	110	307	261	host	gene-PA0528
gene-PA4362	164	657	333	145	318	99	70	177	131	125	134	75	host	gene-PA4362
gene-PA3231	25	72	60	23	50	23	11	17	24	10	16	12	host	gene-PA3231
gene-PA4132	558	703	749	269	536	730	518	403	558	460	944	730	host	gene-PA4132
gene-PA0016	668	1543	1095	1128	3276	1938	1023	2302	1503	1117	1505	1779	host	trkA
gene-PA0538	228	347	341	165	494	290	120	278	315	165	592	272	host	dsbB
gene-PA3237	25	57	50	30	57	20	22	67	2365	26	42	38	host	gene-PA3237
gene-PA5223	3485	4587	2792	2393	3916	2580	1687	2374	1845	1737	2209	1857	host	ubiH
gene-PA4660	471	897	716	648	3352	1304	529	2381	774	545	1178	953	host	phr
gene-PA5118	1489	1533	1812	4270	8481	5383	3966	5479	2111	3621	3896	4295	host	thiI
gene-PA1589	23288	8516	17232	14935	13317	11300	13576	9532	12855	15152	15229	17037	host	sucD
gene-PA1087	1477	3259	3726	1200	2539	2597	957	1544	1030	998	1263	1371	host	flgL
gene-PA1851	234	544	387	154	199	120	108	107	151	137	148	105	host	gene-PA1851
gene-PA0362	717	743	1139	666	1631	1013	589	1012	731	620	923	856	host	fdx1
gene-PA4573	127	264	177	176	255	213	124	162	69	134	147	138	host	gene-PA4573
gene-PA0628	1086	609	1567	569	422	1028	413	215	923	409	300	1307	host	gene-PA0628
gene-PA1450	164	222	213	172	347	324	133	253	317	170	225	257	host	gene-PA1450
gene-PA5483	682	1650	853	420	1057	405	308	403	486	372	492	907	host	algB
gene-PA0232	125	376	216	80	250	73	37	113	69	28	75	63	host	pcaC
gene-PA0615	739	659	1671	446	529	1453	278	292	1375	334	431	1423	host	gene-PA0615
gene-PA3466	879	1462	1293	1025	2358	1848	1085	1555	1588	885	1334	1466	host	gene-PA3466
gene-PA2509	23	51	45	24	41	21	12	23	13	12	19	14	host	catB
gene-PA3998	1781	1499	1869	1529	2044	1513	1347	1625	1889	1406	1607	2053	host	gene-PA3998
gene-PA0353	1979	4335	4179	1579	4307	2836	1260	2544	2810	1354	2275	3187	host	ilvD
gene-PA2688	79	179	122	55	89	39	70	56	60	67	79	101	host	pfeA
gene-PA5173	55567	40580	43998	45819	52357	37130	16935	19333	9085	12070	9711	3824	host	arcC
gene-PA1479	1535	1249	900	1365	2006	1572	1166	1532	957	1087	1389	1123	host	ccmE
gene-phiYY_sM5	0	0	0	6137	8930	8300	1870	1867	2900	4759	3167	7936	phage	gene-phiYY_sM5
gene-PA1793	3187	2171	3161	1771	3921	2771	1680	2343	2305	2358	2934	2821	host	ppiB
gene-PA4152	61	251	54	57	170	39	31	48	36	27	43	33	host	gene-PA4152
gene-PA5109	1196	1785	1422	1013	2211	1467	623	1255	1002	726	1022	943	host	gene-PA5109
gene-PA2490	388	354	297	291	331	224	109	142	102	118	105	68	host	gene-PA2490
gene-PA0764	4001	8028	7970	6223	13519	3872	2542	4567	2945	2779	2907	4446	host	mucB
gene-PA4923	382	438	442	359	928	818	314	501	469	393	499	578	host	gene-PA4923
gene-PA4746	1616	2403	2145	4832	6767	4520	2589	5090	2008	2293	2250	3137	host	gene-PA4746
gene-PA0982	171	483	352	139	218	114	78	117	127	121	120	102	host	gene-PA0982
gene-PA0779	3291	31289	5386	2025	15167	1476	549	6518	498	706	4752	760	host	gene-PA0779
gene-PA0257	283	771	418	150	291	172	132	163	133	119	223	134	host	gene-PA0257
gene-PA0289	215	673	361	70	195	134	69	106	205	82	192	125	host	gpuR
gene-PA1134	84	75	55	75	164	107	58	159	75	73	75	82	host	gene-PA1134
gene-PA1533	1767	1070	1752	1111	2046	2104	1400	1663	1802	1484	2050	2600	host	gene-PA1533
gene-PA2005	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA2005
gene-PA1687	445	489	492	591	2104	1485	826	1200	700	907	1122	1167	host	speE
gene-PA5388	30	56	47	12	27	25	11	17	23	17	35	21	host	gene-PA5388
gene-PA3993	155	315	274	167	411	313	122	284	211	111	195	192	host	gene-PA3993
gene-PA1063	320	1111	378	343	995	408	207	597	314	194	374	279	host	gene-PA1063
gene-PA2720	238	300	259	223	636	337	210	348	319	223	309	273	host	gene-PA2720
gene-PA0504	49	125	71	60	164	91	39	97	72	43	79	97	host	bioD
gene-PA0598	646	1824	1330	1077	1890	678	446	826	524	497	544	499	host	gene-PA0598
gene-PA1424a	143	272	322	85	248	140	79	111	167	95	135	120	host	gene-PA1424a
gene-PA0399	676	1019	905	437	997	800	392	621	686	414	673	565	host	gene-PA0399
gene-PA3511	25	39	27	13	42	29	8	16	37	6	13	24	host	gene-PA3511
gene-PA4168	295	740	497	190	297	179	113	159	222	157	224	194	host	fpvB
gene-PA4908	38	94	44	31	66	16	13	35	25	12	31	20	host	gene-PA4908
gene-PA2671	50	85	45	45	103	45	40	43	38	27	50	42	host	gene-PA2671
gene-PA2767	61	144	59	56	116	105	53	97	48	72	113	116	host	gene-PA2767
gene-PA1313	49	107	56	33	80	42	24	49	30	11	40	38	host	gene-PA1313
gene-PA2613	1826	2534	2319	2093	3254	2522	1338	2906	2013	1367	2187	2236	host	gene-PA2613
gene-PA0454	421	952	650	288	786	510	211	561	489	275	504	400	host	gene-PA0454
gene-PA1353	42	52	19	17	39	15	14	8	17	11	14	26	host	gene-PA1353
gene-PA1790	449	355	443	464	917	550	313	594	358	430	452	506	host	gene-PA1790
gene-PA1974	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA1974
gene-PA0515	920	1648	4989	854	1103	2009	370	512	871	939	738	744	host	gene-PA0515
gene-PA3832	920	1240	773	513	1343	864	452	723	744	529	746	799	host	holC
gene-PA2745	149	273	215	149	321	216	158	176	180	217	189	214	host	gene-PA2745
gene-PA2407	42	51	82	34	69	203	53	45	401	57	68	583	host	gene-PA2407
gene-PA2642	12971	9206	7649	7987	9838	3576	6431	7009	6832	7644	9930	7265	host	nuoG
gene-PA4529	1187	1854	1602	2427	3144	1743	1228	2524	1332	1093	1333	1530	host	coaE
gene-PA0048	106	168	137	78	220	368	316	216	508	285	426	891	host	gene-PA0048
gene-PA3509	33	98	56	26	87	56	18	33	50	23	21	44	host	gene-PA3509
gene-PA1535	240	592	164	251	353	352	253	389	288	272	388	372	host	gene-PA1535
gene-PA3990	35	44	55	41	73	62	35	66	33	22	35	58	host	gene-PA3990
gene-PA1208	160	398	301	131	347	251	92	208	199	144	205	260	host	gene-PA1208
gene-PA3376	30	51	43	25	26	17	16	31	30	17	26	20	host	gene-PA3376
gene-PA2369	72	106	55	50	93	26	22	32	21	34	31	32	host	gene-PA2369
gene-PA2574	123	261	167	79	109	53	35	72	57	45	65	48	host	alkB1
gene-PA1306	434	1081	1005	398	921	672	296	577	703	322	526	545	host	gene-PA1306
gene-PA4877	189	561	446	87	239	71	42	76	89	81	99	101	host	gene-PA4877
gene-PA2766	88	151	107	48	152	80	45	70	106	60	98	73	host	gene-PA2766
gene-PA4438	912	1101	1199	1707	4723	3512	1650	3176	2080	1784	1982	2903	host	gene-PA4438
gene-PA3829	161	359	290	113	190	114	77	111	132	73	126	86	host	gene-PA3829
gene-PA4532	477	372	432	417	608	420	242	362	294	268	304	310	host	gene-PA4532
gene-PA2000	0	0	0	0	0	0	0	0	0	0	0	0	host	dhcB
gene-PA0426	4478	5257	5163	4387	15886	7252	5810	12228	5586	5186	12940	10315	host	mexB
gene-PA1386	77	233	111	81	195	90	51	103	44	55	53	69	host	gene-PA1386
gene-PA5228	1898	3346	2652	2292	3120	1729	1108	1758	1293	1175	1450	1182	host	gene-PA5228
gene-PA0339	332	576	433	176	456	268	153	243	331	169	296	230	host	gene-PA0339
gene-PA2594	133	150	144	147	282	144	93	162	155	97	139	138	host	gene-PA2594
gene-PA3531	7020	11345	20107	4731	6638	5373	1781	1635	2062	4593	2644	1566	host	bfrB
gene-PA2484	498	833	739	384	598	302	296	373	279	282	409	245	host	gene-PA2484
gene-PA4758	4411	4298	3584	8446	13509	7392	4926	7569	4302	4037	5336	5712	host	carA
gene-PA0277	284	462	295	283	626	1229	855	601	799	889	1202	2052	host	gene-PA0277
gene-PA3783	228	347	367	170	294	185	70	128	140	62	104	174	host	gene-PA3783
gene-PA5271	785	1158	1141	301	763	244	200	387	325	287	477	206	host	gene-PA5271
gene-PA3785	570	879	645	317	643	455	200	364	436	266	308	436	host	gene-PA3785
gene-PA5285	1199	1017	974	620	2199	1993	1208	1454	1055	1564	1889	2035	host	gene-PA5285
gene-PA1615	525	921	679	583	1106	688	341	588	538	373	525	540	host	gene-PA1615
gene-PA3021	625	847	440	474	853	753	464	711	652	436	724	949	host	gene-PA3021
gene-PA2279	86	107	77	89	173	138	76	92	126	63	133	112	host	arsC
gene-PA5350	235	726	603	169	478	407	179	333	327	155	326	373	host	rubA2
gene-PA5348	1021	1600	1198	578	1591	955	447	579	691	621	739	575	host	gene-PA5348
gene-PA5386	32	30	26	15	56	29	21	26	16	14	33	21	host	cdhA
gene-PA5452	292	1073	707	394	677	525	160	409	463	192	389	866	host	wbpW
gene-PA2870	254	490	342	270	411	312	205	544	354	227	322	320	host	gene-PA2870
gene-PA2943	266	254	181	223	345	234	191	307	234	267	371	345	host	gene-PA2943
gene-PA1923	0	0	0	2	0	0	0	0	0	0	0	0	host	gene-PA1923
gene-PA0441	125	447	175	69	130	71	46	45	84	84	126	52	host	dht
gene-PA1013	3404	2712	2788	2248	4789	4670	2285	4165	3574	2607	3754	3692	host	purC
gene-PA4952	1054	1764	1337	1230	2513	1440	939	1438	895	898	1150	1043	host	gene-PA4952
