Geneid	0_R1	0_R2	15_R2	15_R3	60_R1	60_R2	60_R3	120_R1	120_R2	120_R3	Entity	Symbol
gene-VC_RS03340	3831	3922	4090	4146	5491	5424	5200	5822	6025	5200	host	prfC
gene-VC_RS05460	1070	1033	920	1068	264	286	245	344	299	359	host	bioF
gene-VC_RS15270	756	757	826	746	1248	1029	1346	1531	1373	1426	host	gene-VC_RS15270
gene-VC_RS03250	5095	5615	4697	4570	11463	10304	12761	12968	12512	12181	host	rimP
gene-VC_RS02960	1072	1131	1086	1010	713	489	676	866	806	790	host	gene-VC_RS02960
gene-VC_RS07550	438	458	489	486	561	475	522	570	638	501	host	gene-VC_RS07550
gene-VC_RS11795	11100	11176	10909	9975	17186	17215	18598	18467	19429	16214	host	gene-VC_RS11795
gene-VC_RS16720	280	330	269	282	397	390	364	664	696	652	host	gene-VC_RS16720
gene-VC_RS15990	251	320	374	409	373	378	307	309	374	306	host	gene-VC_RS15990
gene-VC_RS12820	2072	2179	2112	2005	3238	3443	3335	3878	3890	3322	host	epmB
gene-VC_RS07100	492	540	533	553	1173	712	1064	1566	1721	1307	host	gene-VC_RS07100
gene-VC_RS12435	18208	18600	20564	17076	19232	21560	21479	23369	21023	20085	host	rpsE
gene-VC_RS14795	754	864	770	787	1651	1480	1613	3069	3415	3177	host	gene-VC_RS14795
gene-VC_RS03485	725	796	697	801	1186	1135	1106	1292	1212	1235	host	gene-VC_RS03485
gene-VC_RS10360	833	772	802	732	593	601	559	549	563	488	host	gene-VC_RS10360
gene-VC_RS06235	429	491	524	410	725	616	672	744	694	638	host	gene-VC_RS06235
gene-VC_RS09450	1857	1922	2163	2190	1662	1527	1602	1547	1441	1358	host	gene-VC_RS09450
gene-VC_RS11100	1820	2092	2210	1961	1594	1338	1462	1412	1423	1246	host	gene-VC_RS11100
gene-VC_RS05140	586	592	666	576	603	613	617	778	825	656	host	gene-VC_RS05140
gene-VC_RS04535	2939	2257	2474	2234	2430	2506	2754	2165	1865	1642	host	gene-VC_RS04535
gene-VC_RS16340	579	659	634	656	810	831	905	981	900	852	host	moeA
gene-VC_RS09695	1110	1173	1175	991	1067	1104	1167	1423	1524	1282	host	gene-VC_RS09695
gene-VC_RS11320	415	392	451	426	602	403	487	519	473	447	host	gene-VC_RS11320
gene-VC_RS04275	489	585	505	606	435	355	400	1014	1168	941	host	gene-VC_RS04275
gene-VC_RS07410	219	276	248	280	396	457	390	582	541	627	host	gene-VC_RS07410
gene-VC_RS00025	3790	4361	4615	3962	7442	6273	7160	10430	13252	8793	host	rnpA
gene-VC_RS08310	967	939	1005	946	1025	958	978	1397	1355	1212	host	cmoM
gene-VC_RS08450	1159	1211	1154	1289	1448	1312	1554	1649	1613	1485	host	gene-VC_RS08450
gene-VC_RS15915	1758	1978	2195	2246	1341	1153	1212	1632	1677	1567	host	cqsS
gene-VC_RS12775	489	570	1387	689	527	603	504	612	582	592	host	gpsA
gene-VC_RS04850	640	737	743	828	1346	1483	1217	1717	1862	1697	host	yfcE
gene-VC_RS11005	4699	4527	4426	4802	10319	10856	10202	8271	7511	7129	host	gene-VC_RS11005
gene-VC_RS15100	606	735	733	688	1058	951	1037	2021	1994	1908	host	gene-VC_RS15100
gene-VC_RS18600	7145	6390	7574	7339	251	148	200	90	93	76	host	gene-VC_RS18600
gene-VC_RS18380	241	272	249	320	328	358	361	599	611	521	host	gene-VC_RS18380
gene-VC_RS01625	1468	1461	1565	1600	1068	1077	1036	1153	1254	1024	host	gene-VC_RS01625
gene-VC_RS06575	1653	1949	1970	2089	2059	2282	2090	2366	2369	2254	host	gene-VC_RS06575
gene-VC_RS03470	133	132	169	177	198	147	150	172	147	158	host	gene-VC_RS03470
gene-VC_RS09960	2779	2306	2043	2348	3030	3172	3767	3280	2601	2900	host	gene-VC_RS09960
gene-VC_RS19110	110	98	117	110	101	91	96	131	150	137	host	gene-VC_RS19110
gene-VC_RS14465	161	267	154	156	622	679	674	1353	1430	1294	host	gene-VC_RS14465
gene-VC_RS13385	13940	16063	12776	16528	3066	3285	3362	2460	2989	2152	host	atpH
gene-VC_RS15620	702	854	677	746	1733	1727	1740	3771	4490	3774	host	gene-VC_RS15620
gene-VC_RS05260	124	156	128	154	393	392	341	658	602	659	host	gene-VC_RS05260
gene-VC_RS17190	3798	3933	3506	3725	5405	5540	5625	7126	7223	6362	host	rnb
gene-VC_RS06955	1514	1841	1659	1667	2029	1978	2074	3096	3155	2800	host	gene-VC_RS06955
gene-VC_RS03875	123	169	230	231	333	322	282	372	366	281	host	gene-VC_RS03875
gene-VC_RS15935	480	505	471	505	1046	993	1092	1381	1400	1280	host	gene-VC_RS15935
gene-VC_RS06090	2418	2120	2191	2050	1315	1164	1196	914	769	799	host	gene-VC_RS06090
gene-VC_RS07715	422	474	518	547	644	681	550	937	950	911	host	gene-VC_RS07715
gene-VC_RS06380	140	230	223	221	247	236	194	422	373	362	host	rimJ
gene-VC_RS09410	315	317	308	355	578	559	559	716	657	687	host	gene-VC_RS09410
gene-VC_RS09530	731	772	611	589	1404	1627	1632	2065	2270	2000	host	gene-VC_RS09530
gene-VC_RS10580	61594	48888	42891	43737	28129	30954	31901	17368	14831	14649	host	gene-VC_RS10580
gene-VC_RS13065	823	950	1019	1189	1498	1224	1465	1524	1354	1473	host	ompR
gene-VC_RS14965	617	747	875	796	902	955	939	1183	1199	1068	host	brnA
gene-VC_RS00590	1281	1142	995	1064	988	1118	1064	1340	1507	1284	host	gene-VC_RS00590
gene-VC_RS02480	395	393	519	443	414	358	410	360	324	378	host	gene-VC_RS02480
gene-VC_RS11990	3246	3226	3538	3515	3523	3277	3443	5215	4735	4770	host	leuA
gene-VC_RS04505	340	446	396	423	693	671	649	1438	1328	1430	host	treB
gene-VC_RS10885	2751	2875	2869	2921	3078	3289	3421	4215	4445	3966	host	rseP
gene-VC_RS07465	1779	2167	2401	2335	2013	1836	2172	2586	2501	2193	host	gene-VC_RS07465
gene-VC_RS00030	6939	6557	7286	7094	4864	5591	4902	5682	4256	5012	host	rpmH
gene-VC_RS08935	799	823	885	883	1191	1090	1229	1248	1390	1113	host	gene-VC_RS08935
gene-VC_RS07645	230	259	249	282	395	426	367	720	745	727	host	gene-VC_RS07645
gene-VC_RS09130	1597	1666	1912	1770	1852	2201	1893	2456	2707	2252	host	gene-VC_RS09130
gene-VC_RS04400	645	667	600	540	1213	1211	1312	1755	1720	1500	host	truC
gene-VC_RS08250	29319	29239	32401	32033	6053	5793	5086	3484	2928	2903	host	metE
gene-VC_RS10810	2608	2707	2958	2805	2413	2473	2270	2903	3036	2723	host	gene-VC_RS10810
gene-VC_RS12095	5375	5177	6567	4280	10526	10528	11741	11140	10587	9235	host	gene-VC_RS12095
gene-VC_RS02790	22754	19914	20943	16175	19330	19747	19326	15042	14192	11940	host	gene-VC_RS02790
gene-VC_RS12520	14300	17593	19025	23144	23944	19415	25239	24667	20898	19407	host	rplC
gene-VC_RS15625	530	599	608	592	931	818	1043	2555	2668	2463	host	gene-VC_RS15625
gene-VC_RS17780	187	230	221	191	303	287	252	402	452	391	host	gene-VC_RS17780
gene-VC_RS03890	205	317	395	407	523	482	416	485	450	341	host	fepB
gene-VC_RS06725	16	34	18	36	51	44	46	65	59	73	host	gene-VC_RS06725
gene-VC_RS10910	1316	2073	2196	2483	2389	2379	2103	2714	2376	2472	host	pyrH
gene-VC_RS07565	226	327	227	229	546	524	490	1140	1055	1096	host	gene-VC_RS07565
gene-VC_RS15610	370	553	405	383	946	963	1042	2534	2605	2499	host	gene-VC_RS15610
gene-VC_RS09190	2808	3137	2690	2855	8899	8402	8382	9325	9266	8161	host	ald
gene-VC_RS03440	4353	4513	4595	4662	5511	36626	5345	5953	5545	5107	host	ribF
gene-VC_RS07890	3783	4437	4267	4276	5056	5438	5123	8483	9705	8045	host	gene-VC_RS07890
gene-VC_RS03780	1399	1266	1086	1083	801	676	1028	1674	1285	1558	host	iscX
gene-VC_RS01175	1879	2065	2296	2381	2349	2142	1888	1847	1665	1682	host	rfaD
gene-VC_RS05665	257	261	266	256	313	316	282	351	345	332	host	gene-VC_RS05665
gene-VC_RS07720	375	402	446	419	417	401	373	482	480	502	host	gene-VC_RS07720
gene-VC_RS00450	1994	2340	2708	2647	3011	2750	2808	3626	3662	3172	host	gene-VC_RS00450
gene-VC_RS03790	3183	3315	3837	3186	1181	1152	1040	839	900	805	host	ndk
gene-VC_RS01370	809	875	1102	967	576	581	465	502	578	479	host	gene-VC_RS01370
gene-VC_RS12525	9311	9507	9993	10758	10600	9971	13158	8862	7876	7842	host	rpsJ
gene-VC_RS12910	751	862	818	957	1416	1433	1186	2119	2150	1952	host	gene-VC_RS12910
gene-VC_RS16570	274	266	280	298	357	353	401	373	443	379	host	gene-VC_RS16570
gene-VC_RS16950	1090	1271	1032	1149	2404	2481	2438	4530	4696	4305	host	gene-VC_RS16950
gene-VC_RS16105	2640	2805	2908	3315	1714	1657	1619	1600	1458	1510	host	pntB
gene-VC_RS19075	1065	1027	828	816	2502	2120	3027	4141	3799	3836	host	gene-VC_RS19075
gene-VC_RS09900	1452	1447	1479	1516	1728	1805	1866	2130	1993	1953	host	gene-VC_RS09900
gene-VC_RS01730	1675	1946	2051	2958	1813	1665	1817	2764	2958	2796	host	tsaE
gene-VC_RS09655	2774	3247	3363	3320	1806	1641	1598	1202	1227	1081	host	gene-VC_RS09655
gene-VC_RS17215	221	250	215	220	488	496	536	850	919	814	host	gbpA
gene-VC_RS14390	302	383	396	390	696	695	776	1053	1066	897	host	gene-VC_RS14390
gene-VC_RS00090	1921	1775	1749	1834	2300	5691	2403	2338	2278	2128	host	glyQ
gene-VC_RS10825	51	41	45	62	82	89	70	123	116	116	host	gene-VC_RS10825
gene-VC_RS05345	494	551	609	597	620	628	621	815	902	818	host	gene-VC_RS05345
gene-VC_RS14285	23635	19048	19335	20655	26078	21128	24786	20140	15667	18158	host	gene-VC_RS14285
gene-VC_RS01100	597	715	610	616	954	906	966	1345	1277	1255	host	gene-VC_RS01100
gene-VC_RS05865	3352	3758	3579	3717	3945	3958	3940	5010	4960	4814	host	gene-VC_RS05865
gene-VC_RS05070	336	459	341	373	653	705	645	1389	1406	1494	host	gene-VC_RS05070
gene-VC_RS10555	14795	14049	13543	14364	12360	8549	10615	6190	8263	5074	host	gene-VC_RS10555
gene-VC_RS02630	10099	10095	10623	9891	7569	7524	7720	9486	9394	8604	host	rpoD
gene-VC_RS16375	178	165	206	208	287	274	270	362	411	404	host	gene-VC_RS16375
gene-VC_RS17310	1431	1815	1915	2018	2590	2913	2711	2806	3060	2750	host	gene-VC_RS17310
gene-VC_RS05445	2441	2633	2653	2812	3244	3312	3230	3624	3362	3000	host	serS
gene-VC_RS00970	227	248	250	207	610	537	552	986	999	949	host	gene-VC_RS00970
gene-VC_RS12660	1608	1857	1792	1651	2269	2558	2236	3525	3304	2751	host	rpe
gene-VC_RS01865	2429	2297	2260	2234	3148	3329	3351	3623	3109	3308	host	gene-VC_RS01865
gene-VC_RS17890	190	226	208	184	513	491	513	891	955	956	host	gene-VC_RS17890
gene-VC_RS11365	548	679	720	797	991	874	871	1244	1209	1165	host	nfo
gene-VC_RS00265	623	729	745	774	661	597	670	737	667	660	host	gene-VC_RS00265
gene-VC_RS13715	99	150	129	142	178	160	170	277	236	225	host	gene-VC_RS13715
gene-VC_RS01635	882	1110	1166	1231	1050	1098	978	1165	1082	1222	host	hemE
gene-VC_RS06800	470	472	498	471	679	664	693	861	887	779	host	gene-VC_RS06800
gene-VC_RS06190	1369	1510	1511	1390	1309	1130	1389	1318	1264	1090	host	gene-VC_RS06190
gene-VPVV882_gp56	2192	4304	2103	2350	17611	20445	18050	38503	30005	35079	phage	gene-VPVV882_gp56
gene-VC_RS18080	168	220	193	206	322	292	310	438	450	432	host	gene-VC_RS18080
gene-VC_RS05905	131	156	147	138	224	216	206	323	377	321	host	hutC
gene-VC_RS18560	50	63	54	68	128	142	132	207	196	207	host	gene-VC_RS18560
gene-VC_RS07125	515	535	561	521	1194	751	1095	1579	1645	1287	host	gene-VC_RS07125
gene-VC_RS16175	93	114	120	119	157	164	148	228	253	237	host	gene-VC_RS16175
gene-VC_RS16295	122	151	113	107	279	264	288	420	466	381	host	gene-VC_RS16295
gene-VC_RS13335	363	360	419	444	469	438	413	504	486	1490	host	gene-VC_RS13335
gene-VC_RS15700	1420	1358	1175	1177	2020	1620	2183	2531	2501	2329	host	gene-VC_RS15700
gene-VC_RS17050	738	743	777	699	811	703	775	1155	1242	1055	host	gene-VC_RS17050
gene-VC_RS13665	1156	1046	999	1043	1192	812	1036	2399	1584	1726	host	phrB
gene-VC_RS05960	2069	1785	1756	1510	1389	1750	1644	1022	998	856	host	gene-VC_RS05960
gene-VC_RS02860	3408	3675	3752	3568	2855	2428	2662	3486	4182	3081	host	gene-VC_RS02860
gene-VC_RS04500	529	692	589	580	964	984	1046	1277	1142	1149	host	treR
gene-VC_RS18135	255	310	333	282	352	321	398	386	374	379	host	gene-VC_RS18135
gene-VC_RS02285	1021	928	885	917	1292	1243	1342	1817	1866	1669	host	gene-VC_RS02285
gene-VC_RS03095	419	437	327	343	579	575	549	1287	5389	1214	host	gene-VC_RS03095
gene-VC_RS09380	55	45	60	63	99	81	66	131	106	133	host	gene-VC_RS09380
gene-VC_RS10840	4936	4668	4879	4781	4184	3824	3884	2736	2338	2442	host	accA
gene-VC_RS07860	1779	2068	2131	2497	1377	1409	1333	2258	2112	2188	host	gene-VC_RS07860
