Geneid	0_R1	0_R2	0_R3	30_R1	30_R2	30_R3	60_R1	60_R2	60_R3	Entity	Symbol
gene-VC_RS05625	271	410	337	299	384	373	394	421	271	host	gene-VC_RS05625
gene-VC_RS09270	2012	3397	2652	2534	3563	2617	1694	2004	1287	host	clpP
gene-VC_RS05255	109	161	132	187	272	231	422	411	268	host	gene-VC_RS05255
gene-VC_RS01230	10931	14152	12417	11517	16435	12133	12294	13866	25841	host	gene-VC_RS01230
gene-VC_RS11320	70	122	96	82	141	87	105	117	79	host	gene-VC_RS11320
gene-VC_RS07995	421	615	500	354	492	430	437	453	340	host	vieA
gene-VC_RS14235	104	128	127	348	303	263	511	558	389	host	gene-VC_RS14235
gene-VC_RS14260	416	671	543	469	696	502	524	633	394	host	gene-VC_RS14260
gene-VC_RS12765	358	603	496	514	789	596	686	790	478	host	gene-VC_RS12765
gene-VC_RS12700	29	39	29	38	50	40	41	62	28	host	gene-VC_RS12700
gene-VC_RS12590	620	812	754	1237	1271	1054	1929	2384	1768	host	gene-VC_RS12590
gene-VC_RS05200	329	513	468	783	775	704	1212	1174	897	host	gene-VC_RS05200
gene-VC_RS06560	387	545	522	531	677	538	575	644	412	host	gene-VC_RS06560
gene-VC_RS00845	528	781	620	606	789	604	748	866	566	host	gene-VC_RS00845
gene-VC_RS04850	530	693	689	677	965	802	1162	1141	723	host	yfcE
gene-VC_RS04530	353	440	392	350	429	282	191	188	133	host	gene-VC_RS04530
gene-VC_RS00510	1187	1879	1614	1661	2151	1576	1596	1905	1235	host	polA
gene-VC_RS13210	158	208	179	321	417	282	522	746	417	host	gene-VC_RS13210
gene-VC_RS16695	1596	2658	2200	3299	4838	3615	5529	6546	3925	host	gene-VC_RS16695
gene-VC_RS17115	364	578	511	393	444	387	279	329	263	host	gene-VC_RS17115
gene-VC_RS08275	704	1068	930	549	840	630	429	516	320	host	gene-VC_RS08275
gene-VC_RS00490	327	420	374	573	672	550	268	313	208	host	glpE
gene-VC_RS14360	590	855	782	1132	1311	1216	2565	2735	1921	host	gene-VC_RS14360
gene-VC_RS07930	116	161	129	98	174	121	120	129	80	host	gene-VC_RS07930
gene-VC_RS09910	792	1255	1131	3587	28613	1210	889	1079	679	host	ccmA
gene-VC_RS00260	207	371	300	204	246	194	150	174	106	host	gene-VC_RS00260
gene-VC_RS04345	1958	2906	2441	3243	4006	3095	3962	5139	3055	host	gene-VC_RS04345
gene-VC_RS07210	1420	1960	1838	2327	2849	2358	3078	3553	2455	host	pyrD
gene-VC_RS15810	355	415	322	433	531	439	515	653	420	host	gene-VC_RS15810
gene-VC_RS16510	78	133	130	95	142	105	139	152	95	host	gene-VC_RS16510
gene-VC_RS03835	343	491	389	415	520	408	486	573	396	host	gene-VC_RS03835
gene-VC_RS10305	391	634	523	343	532	396	393	407	225	host	flaG
gene-VC_RS12610	302	534	430	416	625	422	380	440	309	host	gene-VC_RS12610
gene-VC_RS14985	254	397	364	260	412	312	483	544	354	host	gene-VC_RS14985
gene-VC_RS15325	209	213	200	271	417	336	533	566	360	host	gene-VC_RS15325
gene-VC_RS12065	1231	1726	1590	1384	2107	1524	3029	1741	5355	host	lptG
gene-VC_RS14605	575	809	677	472	584	453	372	434	306	host	gene-VC_RS14605
gene-VC_RS04225	43112	39136	43635	54389	72972	46576	30195	27847	13407	host	ssrA
gene-VC_RS01115	701	963	774	559	1062	616	504	1003	375	host	gene-VC_RS01115
gene-VC_RS03860	1487	2278	2303	4686	5793	4891	17951	18608	10461	host	gene-VC_RS03860
gene-VC_RS09095	406	556	565	536	805	634	657	740	455	host	gene-VC_RS09095
gene-VC_RS06550	150	223	183	196	239	161	158	212	142	host	gene-VC_RS06550
gene-VC_RS09290	385	588	479	262	413	304	190	254	148	host	gene-VC_RS09290
gene-VC_RS17195	119	169	138	134	206	156	231	303	201	host	gene-VC_RS17195
gene-VC_RS12430	1472	2537	1689	1227	2136	1405	888	1178	702	host	rpmD
gene-VC_RS15010	826	1008	929	714	1035	795	453	507	349	host	gene-VC_RS15010
gene-VC_RS05375	902	1223	984	546	779	530	312	379	271	host	oppF
gene-VC_RS05455	1512	2625	1886	939	1617	1035	374	466	764	host	bioB
gene-VC_RS11935	12959	18899	14808	9223	13066	8330	2912	3230	1797	host	ssrS
gene-VC_RS11030	909	1133	1099	675	1026	779	837	2168	644	host	gene-VC_RS11030
gene-VC_RS02005	89	129	105	103	123	120	96	108	100	host	gene-VC_RS02005
gene-VC_RS04105	687	861	5475	1087	1319	1355	2649	3406	2160	host	tcpI
gene-VC_RS10935	1201	1533	1270	886	1349	948	622	780	524	host	gene-VC_RS10935
gene-VC_RS03685	4144	7027	5625	5623	7188	5611	4663	5539	3497	host	gene-VC_RS03685
gene-VC_RS12980	301	530	453	565	670	509	641	817	561	host	gene-VC_RS12980
gene-VC_RS09570	296	354	307	265	422	342	297	344	222	host	tsaB
gene-VC_RS17810	2670	7078	5428	1491	2908	1811	1568	1935	1081	host	malG
gene-VC_RS02555	1237	1574	1371	1435	1992	1623	1724	3599	1268	host	gene-VC_RS02555
gene-VC_RS08145	460	696	545	299	459	321	261	277	170	host	gene-VC_RS08145
gene-VC_RS00030	2682	4452	3047	1631	3161	2014	2108	2588	1549	host	rpmH
gene-VC_RS17315	326	447	434	431	450	402	518	566	411	host	gene-VC_RS17315
gene-VC_RS17945	1039	1457	1383	1453	1781	1493	1179	1422	924	host	gene-VC_RS17945
gene-VC_RS11080	4141	7585	5624	4008	5020	3756	3322	4072	74243	host	gene-VC_RS11080
gene-VC_RS06105	2283	3294	2739	2775	3719	3047	3256	3955	2533	host	gene-VC_RS06105
gene-VC_RS16595	258	386	349	354	447	332	419	484	313	host	narQ
gene-VC_RS17505	1266	1888	1520	2187	2885	2222	2382	3168	2079	host	gene-VC_RS17505
gene-VC_RS14770	1127	1493	1464	1177	1624	1224	796	961	586	host	gene-VC_RS14770
gene-VC_RS06445	67	97	112	95	123	143	140	116	81	host	nqrM
gene-VC_RS01945	25141	27795	22854	20254	17150	15449	9128	9887	6242	host	gene-VC_RS01945
gene-VC_RS05805	282	413	312	330	471	335	565	732	449	host	gene-VC_RS05805
gene-VC_RS09520	132	164	166	279	259	286	330	323	209	host	yfbR
gene-VC_RS14240	3211	4043	4173	5962	7055	6191	5693	5812	3814	host	gene-VC_RS14240
gene-VC_RS08115	219	369	305	279	468	367	482	539	386	host	pspB
gene-VC_RS03255	3109	4239	3441	4038	37548	4329	5050	5953	3892	host	nusA
gene-VC_RS08450	1034	1566	1353	1374	1858	1531	1303	1563	1035	host	gene-VC_RS08450
gene-VC_RS06330	615	957	770	677	1186	784	770	1063	573	host	queD
gene-VC_RS17335	457	746	599	651	739	601	534	604	372	host	gene-VC_RS17335
gene-VC_RS00095	801	1183	1050	2071	2599	1965	3127	3807	2450	host	gene-VC_RS00095
gene-VC_RS19040	218	292	257	260	400	282	576	885	606	host	gene-VC_RS19040
gene-VC_RS13840	1256	1939	1778	1409	1730	1332	1599	1821	1226	host	gene-VC_RS13840
gene-VC_RS10390	1059	1534	1320	1734	6344	1707	5233	2229	2568	host	gene-VC_RS10390
gene-VC_RS09395	125	185	156	212	240	179	251	305	172	host	gene-VC_RS09395
gene-VC_RS17935	728	1265	1050	915	1517	1003	963	1153	702	host	gene-VC_RS17935
gene-VC_RS11405	260	403	379	220	331	244	270	277	167	host	gene-VC_RS11405
gene-VC_RS10375	507	974	660	775	1040	815	874	1158	671	host	gene-VC_RS10375
gene-VC_RS12270	1411	2205	1853	2598	2631	2223	2073	2353	1535	host	ppa
gene-VC_RS04835	549	863	636	528	865	519	296	319	222	host	gene-VC_RS04835
gene-VC_RS13625	1016	1446	1313	734	902	698	685	884	532	host	gene-VC_RS13625
gene-VC_RS15005	4	12	8	6	13	14	11	22	18	host	gene-VC_RS15005
gene-VC_RS13220	384	468	313	383	477	364	475	7006	319	host	gene-VC_RS13220
gene-VC_RS17010	934	1251	1165	965	1250	903	905	1057	756	host	gene-VC_RS17010
gene-VC_RS08140	803	1199	1168	651	754	674	492	555	391	host	sapC
gene-VC_RS15940	1168	1873	1495	2298	2567	2302	2776	3530	2358	host	ylqF
gene-VC_RS15305	252	442	375	319	574	466	818	956	603	host	gene-VC_RS15305
gene-VC_RS02380	583	996	816	815	1017	791	850	986	711	host	gene-VC_RS02380
gene-VC_RS03330	237	352	312	312	376	280	330	410	271	host	rimI
gene-VC_RS10055	1905	3027	2335	1338	1859	1272	687	842	568	host	gene-VC_RS10055
gene-VC_RS01600	7455	11514	12359	8874	9860	14545	31716	11375	4896	host	rplA
gene-VC_RS05695	335	480	453	438	619	489	573	597	406	host	gene-VC_RS05695
gene-VC_RS15730	320	493	393	296	508	376	560	725	443	host	gene-VC_RS15730
gene-VC_RS16755	631	907	758	870	1104	856	927	1052	711	host	torS
gene-VC_RS04435	376	532	494	478	553	500	504	643	341	host	gene-VC_RS04435
gene-VC_RS04990	713	1084	908	830	1059	755	705	833	539	host	gene-VC_RS04990
gene-VC_RS14325	290	428	330	356	502	375	682	735	434	host	gene-VC_RS14325
gene-VC_RS05910	221	230	273	420	404	425	728	695	484	host	gene-VC_RS05910
gene-VC_RS16570	171	257	229	190	320	212	201	248	141	host	gene-VC_RS16570
gene-VC_RS17440	213	334	289	283	339	272	312	412	293	host	gene-VC_RS17440
gene-VC_RS06165	1836	2680	2136	4533	5402	4249	4862	6118	3758	host	gene-VC_RS06165
gene-VC_RS06190	334	420	372	418	632	515	399	486	310	host	gene-VC_RS06190
gene-VC_RS00815	2325	2937	2585	2915	3889	2654	1960	2294	1365	host	gene-VC_RS00815
gene-VC_RS15890	46	122	101	132	145	114	184	215	130	host	pfkB
gene-VC_RS12070	1882	2685	2443	2534	3627	2769	3811	3290	2073	host	lptF
gene-VC_RS16040	430	652	587	976	1135	1032	1120	1290	893	host	gene-VC_RS16040
gene-VC_RS05105	298	449	385	804	991	708	889	1839	686	host	udk
gene-VC_RS16905	1913	3223	2469	3072	4568	3076	1842	2188	1265	host	gene-VC_RS16905
gene-VC_RS16915	216	378	288	284	395	273	325	384	249	host	glpK
gene-VC_RS02060	1124	1674	1512	849	1213	769	536	728	404	host	gene-VC_RS02060
gene-VC_RS07500	53	59	72	59	94	73	80	110	76	host	gene-VC_RS07500
gene-VC_RS16525	109	178	157	165	212	142	136	133	94	host	gene-VC_RS16525
gene-VC_RS15465	378	495	424	453	686	533	817	1023	708	host	gene-VC_RS15465
gene-VC_RS00390	388	595	540	512	753	531	449	597	319	host	uspB
gene-VC_RS10470	455	612	575	932	1015	877	900	950	705	host	lolB
gene-VC_RS18025	292	400	366	563	602	517	665	810	504	host	gene-VC_RS18025
gene-VC_RS04240	528	721	743	656	973	646	481	449	287	host	gene-VC_RS04240
gene-VC_RS11380	4127	6566	12046	3390	4459	3438	1447	1813	1117	host	thrB
gene-VC_RS00350	615	939	877	938	1056	955	1081	1233	800	host	gene-VC_RS00350
gene-VC_RS18585	322	480	434	260	347	295	252	268	217	host	gene-VC_RS18585
gene-VC_RS04465	827	1294	1064	1302	1855	1335	1677	2156	1348	host	queF
gene-VC_RS17535	576	784	741	1027	1128	932	1172	1173	836	host	gene-VC_RS17535
gene-VC_RS16025	368	503	455	857	880	857	1615	1808	1306	host	gene-VC_RS16025
gene-VC_RS03820	2051	3109	2494	2127	2735	2027	5469	4054	1437	host	bamB
gene-VC_RS03670	951	1612	1069	577	1194	688	1136	623	413	host	phoU
gene-VC_RS00655	27	48	59	38	61	43	33	43	26	host	gene-VC_RS00655
gene-VC_RS03650	872	1100	984	898	1166	976	602	734	457	host	ppk1
gene-VC_RS02320	455	645	531	700	1222	826	789	1038	670	host	mutY
gene-VC_RS06575	2113	3332	2604	2453	3046	2391	2087	2669	1609	host	gene-VC_RS06575
gene-VC_RS02425	1909	2962	2591	3338	3526	3044	2501	2725	11577	host	tkt
gene-VC_RS05850	306	477	391	492	785	545	638	779	483	host	gene-VC_RS05850
gene-VC_RS08710	92	164	126	108	190	148	235	289	170	host	gene-VC_RS08710
gene-VC_RS19130	39	64	54	67	72	65	67	82	47	host	gene-VC_RS19130
gene-VC_RS11105	1003	1391	1073	669	1023	688	553	621	386	host	gene-VC_RS11105
gene-VC_RS03055	1542	2444	2153	1788	2232	1759	1567	1661	1178	host	gene-VC_RS03055
gene-VC_RS12110	455	708	537	266	367	270	74	80	54	host	argF
gene-VC_RS16845	1356	1953	1725	1104	1711	1215	1200	1356	896	host	gene-VC_RS16845
gene-VC_RS00475	509	852	728	743	949	655	498	651	441	host	gene-VC_RS00475
gene-VC_RS04030	364	545	428	461	676	540	588	653	397	host	gene-VC_RS04030
gene-VC_RS01810	1311	1964	1897	1493	2159	1525	964	5210	788	host	rpsL
gene-VC_RS07475	528	766	527	874	1154	813	619	848	522	host	gene-VC_RS07475
gene-VC_RS09035	1387	2005	1751	1461	1956	1481	746	967	535	host	gene-VC_RS09035
gene-VC_RS02640	5111	7466	6037	5238	6836	4799	3440	4415	2705	host	gene-VC_RS02640
gene-VC_RS07805	854	1265	1129	1139	1398	1111	3312	3815	2626	host	metA
gene-VC_RS12830	9364	15862	12397	11914	22027	13320	2152	2677	1704	host	groL
gene-VC_RS01930	3880	6489	5121	2359	25443	2258	494	580	689	host	cysI
gene-VC_RS16190	306	339	332	337	445	360	459	586	378	host	gene-VC_RS16190
gene-VC_RS10175	213	364	306	379	493	424	548	665	395	host	gene-VC_RS10175
gene-VC_RS13110	1217	1521	1247	939	1164	929	967	1084	727	host	cysQ
gene-VC_RS02015	1684	2662	2242	2127	2999	2211	1777	2284	1334	host	csrD
gene-VC_RS15335	127	192	169	155	165	182	403	494	310	host	gene-VC_RS15335
gene-VC_RS13610	1488	2017	1668	1651	2457	1717	1892	2686	1581	host	gene-VC_RS13610
gene-VC_RS09540	724	989	966	1198	1518	1194	1514	1620	1026	host	gene-VC_RS09540
gene-VC_RS17870	973	1387	1158	1021	1360	1083	1026	1247	702	host	gene-VC_RS17870
gene-VC_RS09070	668	952	841	1044	1610	1121	973	1290	855	host	gene-VC_RS09070
gene-VPVV882_gp71	1252	1512	1429	57876	63768	57852	140929	192066	129103	phage	gene-VPVV882_gp71
gene-VC_RS04410	1008	1498	1259	1305	1787	1536	1600	1906	1155	host	ispA
gene-VC_RS13080	605	988	786	925	861	642	333	363	198	host	gene-VC_RS13080
gene-VC_RS13395	3880	5991	4625	3960	6489	4297	2529	3133	1892	host	atpE
gene-VC_RS07590	51	61	51	80	124	82	167	174	159	host	gene-VC_RS07590
gene-VC_RS10910	4500	9083	7748	7693	9632	7568	5101	7309	4171	host	pyrH
gene-VC_RS17665	641	1080	726	1768	2884	1826	1547	2438	1249	host	gene-VC_RS17665
gene-VC_RS02890	2653	4211	3057	3730	25679	3933	4537	6708	3601	host	rplS
gene-VC_RS05155	343	509	383	520	866	553	497	621	435	host	gene-VC_RS05155
gene-VC_RS09660	476	599	587	555	709	548	839	896	580	host	pyk
gene-VC_RS07795	352	486	451	344	479	361	343	409	248	host	gene-VC_RS07795
gene-VC_RS17720	325	474	413	422	532	469	736	814	581	host	mlp37
gene-VC_RS02400	812	1231	910	814	1213	847	467	533	384	host	gshB
gene-VC_RS09775	1069	1484	1356	2367	2945	2775	3988	4937	3871	host	gene-VC_RS09775
gene-VC_RS03515	710	955	877	778	1109	842	516	676	396	host	gene-VC_RS03515
gene-VC_RS06405	126	197	174	245	222	173	276	359	265	host	gene-VC_RS06405
gene-VC_RS13940	121	175	183	135	174	136	147	204	88	host	vasJ
gene-VC_RS03115	69	103	93	98	124	106	117	105	56	host	gene-VC_RS03115
gene-VC_RS07145	295	424	358	478	665	513	689	785	499	host	gene-VC_RS07145
gene-VC_RS14720	351	484	479	459	604	514	788	937	644	host	intIA
gene-VC_RS10345	947	1652	1210	1816	1769	1644	2152	2654	1889	host	gene-VC_RS10345
gene-VC_RS12910	941	1422	1254	1333	1588	1288	2875	1632	1107	host	gene-VC_RS12910
gene-VC_RS12770	1332	2057	1816	1737	2379	1649	1363	1668	1129	host	cysE
gene-VC_RS01080	365	561	460	840	1153	952	995	1234	938	host	gene-VC_RS01080
gene-VC_RS11770	2150	3680	2998	4808	6368	4970	7096	9664	6352	host	gene-VC_RS11770
gene-VC_RS14595	158	222	182	252	283	239	357	362	244	host	gene-VC_RS14595
gene-VC_RS01390	273	465	448	322	369	313	248	259	169	host	gene-VC_RS01390
gene-VC_RS14040	322	478	427	330	459	349	358	395	281	host	gene-VC_RS14040
gene-VC_RS05240	502	712	664	795	823	796	1295	1418	1010	host	gene-VC_RS05240
gene-VC_RS02220	234	342	342	439	691	497	614	661	431	host	folA
gene-VC_RS11165	733	1230	975	976	1259	979	1198	1627	3769	host	mltA
gene-VC_RS13475	1047	1817	1411	1187	1695	1190	677	913	557	host	gene-VC_RS13475
gene-VC_RS14070	580	768	684	1270	1272	1156	1227	1435	988	host	def
gene-VC_RS09590	356	463	479	432	515	382	388	475	325	host	gene-VC_RS09590
gene-VC_RS17780	181	239	214	233	313	298	275	366	211	host	gene-VC_RS17780
gene-VC_RS10850	60	115	119	109	178	128	118	137	90	host	rnhB
gene-VC_RS10240	97	99	100	70	113	93	76	88	71	host	gene-VC_RS10240
gene-VC_RS10485	914	1229	1177	1192	1743	1265	1177	1430	865	host	pth
gene-VC_RS03925	1766	2569	2195	1357	1959	1459	1242	5338	875	host	gene-VC_RS03925
gene-VC_RS02070	1345	2112	1686	1921	2955	2014	2119	2880	1491	host	gene-VC_RS02070
gene-VC_RS00785	697	961	848	915	1051	928	1012	1198	804	host	vexR
gene-VC_RS04715	478	751	669	709	819	621	657	734	501	host	rlmH
gene-VC_RS15540	162	215	160	145	240	202	346	434	266	host	gene-VC_RS15540
gene-VC_RS11280	994	1575	1278	1402	1819	1336	1407	1579	987	host	radA
gene-VC_RS16815	330	498	443	542	705	514	1016	1279	798	host	gene-VC_RS16815
gene-VC_RS06660	644	881	802	827	1187	977	1736	2001	1395	host	gene-VC_RS06660
gene-VC_RS09965	1603	2664	2239	2195	3265	2293	2130	2743	1596	host	flhF
gene-VC_RS07065	10	14	20	15	20	10	20	17	15	host	ace
gene-VC_RS06215	262	314	290	155	286	201	216	251	125	host	gene-VC_RS06215
gene-VC_RS06100	72	141	109	61	107	88	84	97	67	host	gene-VC_RS06100
gene-VC_RS04265	19482	30398	25182	10735	18835	11154	5856	5282	4676	host	dnaK
gene-VC_RS02630	4252	7159	5737	4659	6963	4660	3410	3920	2619	host	rpoD
gene-VC_RS11785	304	470	427	460	557	434	398	477	324	host	gene-VC_RS11785
gene-VC_RS10735	550	742	710	275	437	337	100	127	89	host	gene-VC_RS10735
gene-VC_RS11870	348	544	493	267	484	358	299	332	187	host	gene-VC_RS11870
gene-VC_RS03195	726	1163	1043	1046	1241	945	875	1062	630	host	dacB
gene-VC_RS13865	577	929	812	1029	1150	1005	1484	1679	1108	host	gene-VC_RS13865
gene-VC_RS04685	640	919	820	1030	1359	1112	1607	1742	1094	host	lipB
gene-VC_RS15935	618	856	705	931	1129	970	1157	1300	857	host	gene-VC_RS15935
gene-VC_RS18435	844	1272	1097	742	1143	785	726	880	595	host	gene-VC_RS18435
gene-VC_RS11285	2588	3663	3347	2675	3091	2471	1992	2160	1533	host	gene-VC_RS11285
gene-VC_RS03340	2360	3833	3324	3646	4460	3683	3963	4835	3118	host	prfC
gene-VC_RS00250	254	365	287	381	433	357	449	532	265	host	hemF
gene-VC_RS10505	3877	4306	3747	3126	5113	3156	525	656	371	host	gene-VC_RS10505
gene-VC_RS11415	1042	1416	1218	1376	1790	1473	1456	1714	1175	host	arcB
gene-VC_RS07535	259	405	347	375	481	344	568	665	449	host	gene-VC_RS07535
gene-VC_RS04995	400	544	493	404	546	433	409	534	349	host	rsxG
gene-VC_RS06380	226	320	304	259	329	262	265	324	224	host	rimJ
gene-VC_RS10235	1590	2323	2009	2840	3245	2804	2324	2785	1661	host	gene-VC_RS10235
gene-VC_RS00850	527	857	751	795	1027	862	1070	1238	933	host	gene-VC_RS00850
gene-VC_RS11955	2047	2789	2459	1741	2389	1846	1140	1358	982	host	ilvN
gene-VC_RS17750	319	478	463	334	457	406	674	751	460	host	rlmC
gene-VC_RS18565	32	44	50	50	63	44	65	93	66	host	gene-VC_RS18565
gene-VC_RS03415	77	135	143	181	212	171	271	271	221	host	gene-VC_RS03415
gene-VC_RS16655	335	352	416	392	348	444	448	475	301	host	gene-VC_RS16655
gene-VC_RS14090	133	279	244	131	184	123	124	118	83	host	gene-VC_RS14090
gene-VC_RS16135	638	970	797	433	919	599	368	434	244	host	yciH
gene-VC_RS18300	109	164	133	203	284	224	266	298	179	host	gene-VC_RS18300
gene-VC_RS14180	456	766	641	498	751	485	417	498	318	host	gene-VC_RS14180
gene-VC_RS01145	490	754	627	443	588	441	1611	318	247	host	gene-VC_RS01145
gene-VC_RS01650	859	1235	1120	973	1165	998	850	979	669	host	gene-VC_RS01650
gene-VC_RS01455	703	953	884	1126	1593	1274	1147	1289	787	host	gene-VC_RS01455
gene-VC_RS06210	77	98	98	77	108	103	155	193	131	host	gene-VC_RS06210
gene-VC_RS15050	719	807	863	1580	1523	1514	1768	1832	1342	host	gene-VC_RS15050
gene-VC_RS15320	100	133	135	170	239	177	356	439	331	host	gene-VC_RS15320
gene-VC_RS16115	622	1020	818	693	878	684	593	784	476	host	vxrB
gene-VC_RS17755	520	753	735	663	808	681	736	824	531	host	gene-VC_RS17755
gene-VC_RS17895	693	918	812	972	1158	1001	2201	2445	1636	host	gene-VC_RS17895
gene-VPVV882_gp14	792	1031	763	10175	14888	12228	33119	36578	23935	phage	gene-VPVV882_gp14
gene-VC_RS03735	3394	4853	4437	6755	8572	6909	8511	10659	6960	host	suhB
gene-VC_RS02095	2592	3471	3200	4401	2982	2191	4692	2835	2195	host	gene-VC_RS02095
gene-VC_RS01540	151	216	175	227	272	223	290	306	203	host	gene-VC_RS01540
gene-VC_RS12670	3463	5305	4528	3499	5006	8095	4069	5283	3233	host	gene-VC_RS12670
gene-VC_RS07915	400	630	576	579	776	639	868	984	567	host	gene-VC_RS07915
gene-VC_RS03500	841	1258	1125	862	1025	852	708	834	652	host	gene-VC_RS03500
gene-VC_RS00560	492	866	702	793	1035	749	698	843	474	host	hemC
gene-VC_RS12165	1729	2708	2145	28694	3256	2447	2788	3466	2296	host	mlaF
gene-VC_RS01990	934	1353	1280	1028	1399	1129	979	1059	695	host	gene-VC_RS01990
gene-VC_RS07060	67	71	53	80	104	91	111	135	88	host	zot
gene-VC_RS12205	199	245	209	200	284	194	120	148	76	host	hpf
gene-VC_RS14165	574	841	746	652	837	665	744	748	586	host	gene-VC_RS14165
gene-VC_RS14765	1099	1725	1375	988	1573	1149	844	1200	674	host	gene-VC_RS14765
gene-VC_RS15735	190	252	249	259	360	264	366	456	342	host	gene-VC_RS15735
