Geneid	0_R1	0_R2	5_R1	5_R2	10_R1	10_R2	15_R1	15_R2	Entity	Symbol
gene-PA3302	136	97	93	117	33	23	8	11	host	gene-PA3302
gene-PA3602	35	70	27	42	7	8	5	2	host	gene-PA3602
gene-PA0207	16	12	4	7	4	0	1	1	host	gene-PA0207
gene-PA3482	268	366	297	366	52	92	58	29	host	metG
gene-PA2257	2	0	2	2	0	0	0	0	host	pvcD
gene-PA0728	39	46	16	29	3	4	3	4	host	gene-PA0728
gene-PA2882	9	11	9	13	2	7	2	2	host	gene-PA2882
gene-PA4218	312	267	397	608	62	78	30	40	host	gene-PA4218
gene-PA4606	465	552	728	887	96	84	49	42	host	gene-PA4606
gene-PA3446	5	3	1	4	1	0	2	2	host	gene-PA3446
gene-PA5489	541	540	287	342	51	81	49	34	host	dsbA
gene-PA0511	6	5	1	2	1	0	0	0	host	nirJ
gene-PA0940	38	21	37	24	12	17	1	3	host	gene-PA0940
gene-PA4807	88	56	41	45	6	9	6	6	host	selB
gene-PA4840	31	43	22	37	11	18	20	7	host	gene-PA4840
gene-PA4994	42	32	15	33	6	4	1	2	host	gene-PA4994
gene-PA0326	4	6	3	6	0	2	1	1	host	gene-PA0326
gene-PA4524	86	72	86	94	22	22	10	13	host	nadC
gene-PA3839	54	36	55	49	10	7	4	6	host	gene-PA3839
gene-PA4607	3576	2765	1414	1313	226	264	129	81	host	gene-PA4607
gene-PA3336	10	19	2	27	1	8	3	1	host	gene-PA3336
gene-PA0412	512	459	318	491	48	43	24	14	host	pilK
gene-PA1116	51	71	61	86	22	27	12	16	host	gene-PA1116
gene-PA2115	37	23	18	27	9	8	3	2	host	gene-PA2115
gene-PA0220	43	28	9	9	2	10	2	3	host	gene-PA0220
gene-PA4350	15	6	5	5	0	2	0	1	host	gene-PA4350
gene-PA4552	82	93	169	154	21	12	7	10	host	pilW
gene-PA2565	14	15	12	17	2	3	2	1	host	gene-PA2565
gene-PA5348	713	629	362	440	35	44	11	15	host	gene-PA5348
gene-PA0312	222	148	56	86	20	8	3	11	host	gene-PA0312
gene-PA0824	21	27	9	14	4	7	9	4	host	gene-PA0824
gene-PA0348	17	17	22	21	3	5	4	2	host	gene-PA0348
gene-PA0221	15	7	7	13	2	2	0	1	host	gene-PA0221
gene-PA2064	8	6	9	12	0	2	0	1	host	pcoB
gene-PA0274	9	5	6	5	1	0	0	2	host	gene-PA0274
gene-PA1325	5	4	7	11	2	5	1	0	host	gene-PA1325
gene-PA0076	26	40	20	42	4	9	3	6	host	gene-PA0076
gene-PA1529	178	190	294	408	46	67	36	22	host	lig
gene-PA0859	16	19	18	54	5	8	3	2	host	gene-PA0859
gene-PA1231	3	7	0	6	1	2	0	0	host	gene-PA1231
gene-PA3597	16	21	7	18	4	4	1	0	host	gene-PA3597
gene-PA0846	34	33	33	53	8	6	4	1	host	gene-PA0846
gene-PA4049	55	44	45	70	15	15	8	5	host	gene-PA4049
gene-PA1640	142	148	59	107	25	23	6	5	host	gene-PA1640
gene-PA3456	19	21	16	26	3	3	3	1	host	gene-PA3456
gene-PA2229	36	13	15	14	3	2	1	2	host	gene-PA2229
gene-PA3190	2256	4594	788	2516	89	174	63	46	host	gene-PA3190
gene-PA0305	53	50	59	67	11	14	3	6	host	gene-PA0305
gene-PA0905.1	655	918	326	530	180	304	113	79	host	gene-PA0905.1
gene-PA0085	645	740	429	761	119	179	147	85	host	hcp1
gene-PA3223	5	6	23	30	1	3	2	1	host	azoR3
gene-PA2028	6	15	8	11	2	2	3	0	host	gene-PA2028
gene-PA2845	8	2	3	1	0	0	0	0	host	gene-PA2845
gene-PA1473	7	14	13	8	0	1	1	1	host	gene-PA1473
gene-PA0142	12	17	20	28	6	4	3	3	host	gene-PA0142
gene-PA4429	142	179	154	284	74	93	80	61	host	gene-PA4429
gene-PA3668	61	41	22	36	6	5	5	0	host	gene-PA3668
gene-PA5085	69	54	24	29	6	8	2	2	host	gene-PA5085
gene-PA1275	3	6	4	5	1	0	0	0	host	cobD
gene-PA1303	42	48	58	116	5	6	2	1	host	gene-PA1303
gene-PA4445	63	81	38	61	11	17	10	4	host	gene-PA4445
gene-PA0907	27	31	25	22	7	4	3	4	host	gene-PA0907
gene-PA2096	16	14	8	7	1	4	1	2	host	gene-PA2096
gene-PA2656	75	93	77	123	16	21	8	7	host	gene-PA2656
gene-PA3555	2	2	1	0	0	0	0	0	host	arnD
gene-PA4839	171	196	159	224	64	65	50	33	host	speA
gene-PA0969	685	1255	550	798	105	117	65	46	host	tolQ
gene-PA0935	352	219	146	199	37	36	25	16	host	gene-PA0935
gene-PA2628	25	33	14	35	1	10	7	1	host	gene-PA2628
gene-PA3799	473	628	657	1195	135	183	109	45	host	gene-PA3799
gene-PA1296	68	59	43	61	12	12	8	6	host	gene-PA1296
gene-PA1115	63	71	44	46	2	11	1	4	host	gene-PA1115
gene-PA2051	2	2	0	2	0	0	2	1	host	gene-PA2051
gene-PA2953	187	220	262	398	100	127	99	76	host	gene-PA2953
gene-PA2885	76	47	14	20	5	5	2	2	host	atuR
gene-PA0109	34	27	12	15	4	4	1	2	host	gene-PA0109
gene-PA3674	40	37	21	31	4	6	2	1	host	gene-PA3674
gene-PA3131	159	143	43	51	7	13	7	5	host	gene-PA3131
gene-PA2977	427	356	356	549	67	82	37	28	host	murB
gene-PA1868	18	12	10	46	3	2	2	3	host	xqhA
gene-PA3918	59	42	17	36	12	7	10	3	host	moaC
gene-PA5234	49	29	25	34	5	11	0	1	host	gene-PA5234
gene-PA4770	110	68	46	54	9	8	6	5	host	lldP
gene-PA1979	4	6	1	2	2	1	1	0	host	eraS
gene-PA5382	11	8	2	10	2	1	0	3	host	gene-PA5382
gene-PA1986	23	19	19	23	3	1	1	3	host	pqqB
gene-PA4217	161	387	232	694	59	145	43	10	host	phzS
gene-PA0507	40	29	23	25	4	3	2	3	host	gene-PA0507
gene-PA2513	3	1	5	3	1	0	0	0	host	antB
gene-PA5300	231	356	133	268	90	112	101	56	host	cycB
gene-PA0235	9	11	6	3	0	2	1	0	host	pcaK
gene-PA3659	81	56	62	57	7	17	4	9	host	gene-PA3659
gene-PA3767	276	241	49	60	5	10	2	0	host	gene-PA3767
gene-PA5146	167	138	114	170	38	39	31	12	host	gene-PA5146
gene-PA3381	2	0	1	1	2	1	0	0	host	gene-PA3381
gene-PA4280.4	495	1056	332	697	220	627	355	188	host	gene-PA4280.4
gene-PA0819	10	5	4	8	1	2	2	2	host	gene-PA0819
gene-PA0524	16	16	5	11	6	1	1	2	host	norB
gene-PA4961	284	284	124	184	30	51	27	18	host	gene-PA4961
gene-PA2752	16	8	5	11	1	1	0	0	host	gene-PA2752
gene-PA0775	6	16	18	26	6	4	4	3	host	gene-PA0775
gene-PA3790	149	178	225	328	95	124	54	71	host	oprC
gene-PA0243	37	40	16	34	8	5	3	2	host	gene-PA0243
gene-PA2806	42	35	22	48	11	8	8	1	host	gene-PA2806
gene-PPLUZ19_gp5	1	0	10080	10637	22790	20903	7857	6285	phage	gp5
gene-PA4777	25	12	8	15	2	3	0	1	host	pmrB
gene-PA1784	5	11	5	10	2	1	2	5	host	gene-PA1784
gene-PA0050	167	212	86	216	38	95	78	42	host	gene-PA0050
gene-PA1228	4	8	5	6	1	0	0	0	host	gene-PA1228
gene-PA0276	14	8	5	7	1	6	4	1	host	gene-PA0276
gene-PA0957	35	43	19	50	5	4	6	2	host	gene-PA0957
gene-PA2879	31	20	11	12	0	2	2	2	host	gene-PA2879
gene-PA1125	67	46	30	47	8	10	3	1	host	gene-PA1125
gene-PA1875	51	49	28	45	6	20	8	6	host	gene-PA1875
gene-PA1360	34	25	29	43	13	9	5	6	host	gene-PA1360
gene-PA0399	802	709	795	1034	191	180	60	63	host	gene-PA0399
gene-PA3197	112	87	62	68	9	16	4	1	host	gene-PA3197
gene-PA2875	109	89	35	44	8	6	4	5	host	gene-PA2875
gene-PA2434	43	22	25	35	4	3	0	3	host	gene-PA2434
gene-PA1494	20	13	29	27	8	8	2	4	host	gene-PA1494
gene-PA1091	1192	937	897	1201	146	101	58	67	host	fgtA
gene-PA0308	101	88	47	67	9	12	4	2	host	gene-PA0308
gene-PA1246	128	165	73	123	9	11	6	1	host	aprD
gene-PA0205	23	17	7	9	1	5	0	2	host	gene-PA0205
gene-PA1155	171	327	261	514	59	80	37	29	host	nrdB
gene-PA4125	5	2	5	6	1	1	0	0	host	hpcD
gene-PA0637	42	64	55	84	56	56	50	30	host	gene-PA0637
gene-PA4175	143	144	132	252	24	47	16	12	host	piv
gene-PA3052	37	34	26	40	2	3	4	2	host	gene-PA3052
gene-PA2117	136	43	56	44	20	19	11	9	host	gene-PA2117
gene-PA4756	1227	1151	1436	1513	358	363	190	137	host	carB
gene-PA1305	36	36	52	67	9	11	5	4	host	gene-PA1305
gene-PA0282	8	10	7	6	0	2	5	1	host	cysT
gene-PA3479	17	125	8	89	3	26	24	2	host	rhlA
gene-PA2146	0	1	1	1	0	0	0	0	host	gene-PA2146
gene-PA4166	12	5	5	6	3	1	0	2	host	gene-PA4166
gene-PA0434	43	33	34	43	3	4	1	1	host	gene-PA0434
gene-PA3650	438	513	212	387	103	110	57	43	host	dxr
gene-PA4991	88	57	94	87	25	18	5	11	host	gene-PA4991
gene-PA4073	23	18	16	17	4	2	0	2	host	gene-PA4073
gene-PA1332	22	23	12	26	3	4	2	0	host	gene-PA1332
gene-PA4004	153	207	181	276	29	38	17	8	host	gene-PA4004
gene-PPLUZ19_gp6	0	0	4876	5158	16444	15830	4907	4296	phage	gp6
gene-PA4345	37	16	16	24	6	6	5	2	host	gene-PA4345
gene-PA1129	10	14	5	9	0	1	0	0	host	gene-PA1129
gene-PA4497	121	91	138	136	10	16	7	5	host	gene-PA4497
gene-PA0105	118	80	85	100	16	20	5	1	host	coxB
gene-PA1147	12	13	14	15	3	2	3	1	host	gene-PA1147
gene-PA5499	73	49	26	44	11	8	5	9	host	np20
gene-PA0211	9	4	11	46	2	2	1	1	host	mdcD
gene-PA5497	145	311	105	195	16	31	16	16	host	nrdJa
gene-PA2219	10	10	6	9	1	4	1	1	host	opdE
gene-PA1016	32	28	5	10	2	4	4	2	host	gene-PA1016
gene-PA1368	32	47	14	21	4	9	5	3	host	gene-PA1368
gene-PA1950	219	139	68	93	17	17	12	10	host	rbsK
gene-PA2687	186	166	21	47	9	8	6	2	host	pfeS
gene-PA2234	32	42	64	82	8	14	9	4	host	pslD
gene-PA4999	184	238	171	281	40	49	30	23	host	waaL
gene-PA0594	519	462	462	620	110	128	54	61	host	surA
gene-PA2821	96	96	61	98	14	16	6	2	host	gene-PA2821
gene-PA0021	7	14	5	5	0	0	0	2	host	gene-PA0021
gene-PA2771	73	71	45	63	19	14	29	7	host	gene-PA2771
gene-PA2698	26	11	19	25	5	2	0	2	host	gene-PA2698
gene-PA2524	105	66	38	52	9	16	6	2	host	gene-PA2524
gene-PA0124	17	22	5	13	3	3	2	3	host	gene-PA0124
gene-PA2537	27	17	33	48	19	22	10	4	host	gene-PA2537
gene-PA5097	26	7	18	9	2	3	2	3	host	gene-PA5097
gene-PA1230	1	4	1	5	0	1	1	0	host	gene-PA1230
gene-PA1126	65	72	33	47	11	18	4	2	host	gene-PA1126
gene-PA5316	693	1898	1454	2493	667	912	490	318	host	rpmB
gene-PA2577	17	16	7	22	1	5	1	2	host	gene-PA2577
gene-PA1461	258	231	210	294	17	25	10	14	host	motD
gene-PA3826	28	38	36	59	4	12	9	3	host	gene-PA3826
gene-PA4746.1	100	370	401	824	162	245	80	43	host	gene-PA4746.1
gene-PA2310	7	4	6	6	1	1	0	0	host	gene-PA2310
gene-PA0891	248	399	147	316	32	25	9	10	host	gene-PA0891
gene-PA4699	305	202	160	215	46	55	23	22	host	gene-PA4699
gene-PA4457	245	284	271	359	82	86	47	40	host	gene-PA4457
gene-PA5272	126	90	68	105	18	17	21	12	host	cyaA
gene-PA2620	2804	2458	1294	1866	269	318	156	125	host	clpA
gene-PA0989	171	122	40	64	11	15	10	11	host	gene-PA0989
gene-PA4144	10	12	2	18	0	5	2	2	host	gene-PA4144
gene-PA3075	50	43	34	58	5	12	2	5	host	gene-PA3075
gene-PA4930	85	85	46	80	19	23	13	13	host	alr
gene-PA1458	1283	1211	1127	1491	151	136	68	66	host	gene-PA1458
gene-PA4869	31	41	11	40	7	6	7	4	host	gene-PA4869
gene-PA5557	6080	10446	3772	14303	1184	1747	971	631	host	atpH
gene-PA1386	8	21	6	24	2	2	2	3	host	gene-PA1386
gene-PA4751	2619	2558	1456	2068	210	205	78	97	host	ftsH
gene-PA2315	5	1	4	3	0	1	0	0	host	gene-PA2315
gene-PA4489	356	350	326	529	95	111	103	72	host	gene-PA4489
gene-PA2396	7791	8165	4579	7405	1392	2010	781	477	host	pvdF
gene-PA0835	213	114	199	206	36	26	26	22	host	pta
gene-PA1521	34	14	22	37	8	6	0	1	host	gene-PA1521
gene-PA1789	75	68	45	70	9	11	7	7	host	gene-PA1789
gene-PA5036	632	965	511	821	121	177	110	62	host	gltB
gene-PA3636	326	426	777	1168	174	220	120	119	host	kdsA
gene-PA4208	24	73	28	122	58	63	45	37	host	opmD
gene-PA4220	140	118	202	211	28	13	5	5	host	gene-PA4220
gene-PA4023	108	76	246	227	17	13	4	6	host	gene-PA4023
gene-PA1132	39	45	47	73	15	23	15	4	host	gene-PA1132
gene-PA4050	60	58	80	127	19	23	25	14	host	pgpA
gene-PA0443	4	14	4	10	0	1	0	0	host	gene-PA0443
gene-PA0324	50	38	9	12	3	6	1	1	host	gene-PA0324
gene-PA1941	37	42	29	21	6	6	6	4	host	gene-PA1941
gene-PA3771	20	15	8	11	2	3	2	2	host	gene-PA3771
gene-PA3574a	57	39	28	31	7	1	1	1	host	gene-PA3574a
gene-PA0194	3	4	6	3	0	1	1	0	host	gene-PA0194
gene-PA5260	171	185	177	224	33	55	25	18	host	hemC
gene-PA2019	44	60	38	51	10	10	4	1	host	gene-PA2019
gene-PA3819	115	144	105	145	35	34	21	12	host	gene-PA3819
gene-PA1492	7	6	12	10	1	5	2	0	host	gene-PA1492
gene-PA3331	9	46	8	67	2	14	6	1	host	gene-PA3331
gene-PA0932	359	436	262	509	79	91	57	35	host	cysM
gene-PA0200	4	22	3	7	2	1	0	0	host	gene-PA0200
gene-PA0756	31	36	13	27	3	5	5	2	host	gene-PA0756
gene-PA4821	12	19	8	13	6	4	7	4	host	gene-PA4821
gene-PA4679	45	45	26	46	4	8	10	2	host	gene-PA4679
gene-PA2136	0	2	2	0	0	0	0	0	host	gene-PA2136
gene-PA2221	18	17	5	15	4	5	2	0	host	gene-PA2221
gene-PA1165	21	14	11	21	2	2	1	0	host	pcpS
gene-PA1757	54	62	39	62	18	25	14	11	host	thrH
gene-PA3347	53	73	42	62	8	8	4	1	host	gene-PA3347
gene-PA1185	7	6	2	3	1	4	1	0	host	gene-PA1185
gene-PA2425	1137	888	368	584	47	64	32	19	host	pvdG
gene-PA4541.2	424	405	220	440	336	536	139	75	host	gene-PA4541.2
gene-PA0196	52	39	13	35	5	2	4	5	host	pntB
gene-PA1456	598	487	306	408	36	35	16	27	host	cheY
gene-PA5160.1	6	12	1	1	0	1	0	1	host	gene-PA5160.1
gene-PA2405	84	71	75	110	8	4	0	3	host	gene-PA2405
gene-PA0247	6	13	5	10	3	5	1	2	host	pobA
gene-PA1898	9	16	7	17	1	7	0	0	host	qscR
gene-PA5053	15	28	16	36	8	6	2	1	host	hslV
gene-PA3440a	30	31	31	24	12	5	3	5	host	gene-PA3440a
gene-PA0396	460	447	341	418	45	25	19	15	host	pilU
gene-PA0293	26	20	18	14	3	5	1	1	host	aguB
gene-PA3880	7	1	2	2	1	0	0	1	host	gene-PA3880
gene-PA2635	22	26	17	30	4	10	2	4	host	gene-PA2635
