Geneid	5_R1	5_R2	15_R1	15_R2	35_R1	35_R2	Entity	Symbol
gene-PA0158	58	41	20	31	9	20	host	gene-PA0158
gene-PA3093	18	15	5	10	1	5	host	gene-PA3093
gene-PA3572	2	6	0	1	0	1	host	gene-PA3572
gene-PA1634	8	8	3	7	3	11	host	kdpB
gene-PA3185	15	12	6	4	7	5	host	gene-PA3185
gene-PA1129	2	4	0	0	1	1	host	gene-PA1129
gene-PA3097	6	5	0	3	0	4	host	xcpX
gene-PHIKZ060	95	82	366	239	32	140	phage	gene-PHIKZ060
gene-PA1022	6	4	1	3	0	2	host	gene-PA1022
gene-PA2142a	1	4	0	2	0	3	host	gene-PA2142a
gene-PA2500	7	4	3	4	1	4	host	gene-PA2500
gene-PA5012	20	13	3	11	1	3	host	waaF
gene-PA4942	75	70	23	29	6	33	host	hflK
gene-PA2062	4	3	2	2	1	4	host	gene-PA2062
gene-PA1667	4	7	1	8	1	5	host	gene-PA1667
gene-PA1305	17	10	1	9	0	1	host	gene-PA1305
gene-PA2942	14	7	3	5	2	7	host	gene-PA2942
gene-PA5209	17	15	5	7	3	9	host	gene-PA5209
gene-PA3326	10	2	2	5	2	2	host	gene-PA3326
gene-PA1907	7	9	4	7	0	7	host	gene-PA1907
gene-PA5331	18	14	4	7	6	9	host	pyrE
gene-PA5425	26	21	10	6	2	10	host	purK
gene-PA4156	17	30	3	20	3	11	host	gene-PA4156
gene-PA1551	20	20	7	9	4	8	host	gene-PA1551
gene-PA4621	41	18	8	20	7	325	host	gene-PA4621
gene-PA3587	5	5	2	9	2	4	host	metR
gene-PA2194	7	3	2	3	1	4	host	hcnB
gene-PA4570	7	2	3	3	0	1	host	gene-PA4570
gene-PA1746	4	1	1	1	0	0	host	gene-PA1746
gene-PA2153	15	6	4	14	0	7	host	glgB
gene-PA2817	18	12	4	4	1	3	host	gene-PA2817
gene-PA1695	24	8	1	8	1	7	host	pscP
gene-PA0573	2	2	0	3	0	0	host	gene-PA0573
gene-PA4601	50	41	14	22	8	743	host	morA
gene-PA4677	6	8	2	6	1	2	host	gene-PA4677
gene-PA4543	12	12	3	0	1	3	host	gene-PA4543
gene-PA4932	99	69	22	20	10	12	host	rplI
gene-PA3797	10	8	0	2	2	8	host	gene-PA3797
gene-PA1594	3	3	0	3	1	2	host	gene-PA1594
gene-PA1636	12	17	1	9	1	4	host	kdpD
gene-PA2003	4	5	1	1	1	3	host	bdhA
gene-PA3947	14	9	5	6	2	8	host	rocR
gene-PA2819.1	762	621	438	287	46	58	host	gene-PA2819.1
gene-PA1211	4	3	0	2	2	3	host	gene-PA1211
gene-PA2382	11	8	1	2	1	6	host	lldA
gene-PA2602	1	6	3	1	1	3	host	gene-PA2602
gene-PA0967	18	13	8	7	3	5	host	ruvB
gene-PA1285	12	6	4	4	2	2	host	gene-PA1285
gene-PHIKZ_p63	14	7	139	68	9	78	phage	gene-PHIKZ_p63
gene-PA1464	13	16	2	9	1	12	host	gene-PA1464
gene-PA2044	16	16	3	7	3	12	host	gene-PA2044
gene-PHIKZ001	5	6	89	78	19	97	phage	gene-PHIKZ001
gene-PHIKZ219	30	34	103	74	13	169	phage	gene-PHIKZ219
gene-PA2368	3	0	1	0	0	1	host	gene-PA2368
gene-PA4050	14	18	3	11	3	8	host	pgpA
gene-PA4524	19	8	3	7	6	97	host	nadC
gene-PA4006	23	23	7	9	0	3	host	nadD
gene-PA0836.1	1	0	1	0	0	2	host	gene-PA0836.1
gene-PA1375	20	11	3	0	1	4	host	pdxB
gene-PA1738	7	3	1	4	4	4	host	gene-PA1738
gene-PHIKZ077	36	46	2631	1321	426	1181	phage	gene-PHIKZ077
gene-PA0181	16	17	3	8	0	9	host	gene-PA0181
gene-PA5111	14	8	3	10	5	2	host	gloA3
gene-PA0127	3	5	3	6	0	7	host	gene-PA0127
gene-PA5291	41	25	13	19	3	21	host	gene-PA5291
gene-PA3828	30	20	13	15	4	8	host	gene-PA3828
gene-PA1579	11	14	6	8	3	8	host	gene-PA1579
gene-PA2444	8	10	2	4	3	9	host	glyA2
gene-PHIKZ106	160	125	47	26	10	79	phage	gene-PHIKZ106
gene-PA1351	6	9	4	5	2	0	host	gene-PA1351
gene-PA5230	15	15	5	4	1	7	host	gene-PA5230
gene-PA0871	9	3	2	3	0	5	host	phhB
gene-PA2748	3	2	0	3	1	1	host	gene-PA2748
gene-PHIKZ277	59	58	128	82	15	118	phage	gene-PHIKZ277
gene-PA4289	19	4	1	4	0	141	host	gene-PA4289
gene-PA1671	3	4	4	3	2	1	host	stk1
gene-PA1084	28	16	3	9	3	4	host	flgI
gene-PA4044	44	40	15	26	297	13	host	dxs
gene-PA1115	22	19	7	25	8	17	host	gene-PA1115
gene-PA0746	6	4	3	4	0	5	host	gene-PA0746
gene-PA1172	3	4	1	3	1	2	host	napC
gene-PA5548	18	11	6	7	0	9	host	gene-PA5548
gene-PA0068	10	5	3	6	2	4	host	gene-PA0068
gene-PA2785	0	1	1	0	0	2	host	gene-PA2785
gene-PA5514	9	7	2	9	2	5	host	gene-PA5514
gene-PA3901	36	25	8	19	7	23	host	fecA
gene-PA5277	21	29	10	17	7	11	host	lysA
gene-PA3702	17	5	6	8	1	7	host	wspR
gene-PA0160	9	6	1	5	2	2	host	gene-PA0160
gene-PA0271	2	2	2	1	2	2	host	gene-PA0271
gene-PA2616	28	20	12	8	4	10	host	trxB1
gene-PA4008	462	4	1	4	3	5	host	gene-PA4008
gene-PA4183	2	0	1	0	1	3	host	gene-PA4183
gene-PA3098	8	2	1	2	0	1	host	xcpW
gene-PA2868	4	2	0	2	0	4	host	gene-PA2868
gene-PA0229	23	24	12	12	4	20	host	pcaT
gene-PA3570	12	11	4	11	0	5	host	mmsA
gene-PA4262	80	54	15	14	6	15	host	rplD
gene-PA3466	16	14	7	7	4	10	host	gene-PA3466
gene-PA5187	10	18	6	22	4	12	host	gene-PA5187
gene-PA0558	10	2	0	4	4	3	host	gene-PA0558
gene-PA4145a	7	4	1	5	0	5	host	gene-PA4145a
gene-PA3040	6	5	10	0	3	5	host	gene-PA3040
gene-PA5518	29	20	10	12	2	16	host	gene-PA5518
gene-PA3568	14	112	3	5	4	7	host	gene-PA3568
gene-PA0132	24	19	7	13	1	14	host	gene-PA0132
gene-PA1347	4	8	2	5	0	5	host	gene-PA1347
gene-PA3031	37	36	43	31	8	6	host	gene-PA3031
gene-PA1708	44	36	8	3	2	6	host	popB
gene-PA5018	17	8	3	4	3	1	host	msrA
gene-PA1239	4	7	1	6	0	0	host	gene-PA1239
gene-PA3021	4	4	1	5	0	4	host	gene-PA3021
gene-PA1128	10	3	2	6	4	2	host	gene-PA1128
gene-PA1342	18	10	10	10	2	8	host	gene-PA1342
gene-PHIKZ123	251	213	1075	674	131	460	phage	gene-PHIKZ123
gene-PA0488	3	2	0	0	0	0	host	gene-PA0488
gene-PA4034	2	1	0	6	1	7	host	aqpZ
gene-PA3374	13	9	1	2	0	6	host	gene-PA3374
gene-PA2492	14	12	4	9	6	5	host	mexT
gene-PA3977	27	16	10	9	2	9	host	hemL
gene-PA2465	10	8	0	6	0	5	host	gene-PA2465
gene-PA4349	10	1	1	8	2	4	host	gene-PA4349
gene-PA2077	15	8	1	7	1	1	host	gene-PA2077
gene-PA1702	6	7	2	1	0	1	host	gene-PA1702
gene-PA1248	8	9	4	9	2	7	host	aprF
gene-PA1899	3	5	1	2	0	1	host	phzA2
gene-PA2418	5	8	6	5	0	2	host	gene-PA2418
gene-PA3551	13	12	6	7	1	1	host	algA
gene-PA4114	7	14	4	7	0	3	host	gene-PA4114
gene-PA4141	24	31	7	7	2	4	host	gene-PA4141
gene-PHIKZ070	426	427	3117	1596	202	471	phage	gene-PHIKZ070
gene-PA0658	3	4	2	1	0	4	host	gene-PA0658
gene-PA1757	7	8	6	8	1	4	host	thrH
gene-PA1414	1	3	4	0	0	0	host	gene-PA1414
gene-PA1797a	2	4	6	1	1	3	host	gene-PA1797a
gene-PA0085	12	10	14	5	2	5	host	hcp1
gene-PA2438	2	6	1	3	0	1	host	gene-PA2438
gene-PA2305	25	19	5	21	5	7	host	ambB
gene-PA4495	9	7	2	2	4	12	host	gene-PA4495
gene-PA0313	10	8	1	10	3	7	host	gene-PA0313
gene-PA5253	25	36	11	16	10	13	host	algP
gene-PA0950	7	8	6	5	4	0	host	gene-PA0950
gene-PA5384	3	5	1	4	0	7	host	gene-PA5384
gene-PA2188	8	5	3	5	1	5	host	gene-PA2188
gene-PA3116	16	13	4	9	4	7	host	gene-PA3116
gene-PA1662	9	10	5	10	0	13	host	gene-PA1662
gene-PA1101	39	34	8	11	5	10	host	fliF
gene-PA2429	0	5	0	0	0	1	host	gene-PA2429
gene-PA3848	15	6	6	5	2	7	host	gene-PA3848
gene-PA0423	32	18	13	14	5	9	host	pasP
gene-PA4409	22	24	7	16	5	12	host	ftsQ
gene-PA2519	2	4	4	2	0	3	host	xylS
gene-PA1458	37	28	13	15	11	14	host	gene-PA1458
gene-PHIKZ218	3	6	146	88	48	164	phage	gene-PHIKZ218
gene-PA0682	3	2	1	1	1	4	host	gene-PA0682
gene-PA1408	15	13	3	8	0	12	host	gene-PA1408
gene-PA2403	16	15	2	15	0	7	host	gene-PA2403
gene-PA3368	133	92	15	22	4	4	host	gene-PA3368
gene-PHIKZ_p36	31	34	10	12	3	30	phage	gene-PHIKZ_p36
gene-PA4772	20	27	4	12	1	18	host	gene-PA4772
gene-PA3129	19	11	7	7	0	5	host	gene-PA3129
gene-PA5159	11	12	2	11	4	10	host	gene-PA5159
gene-PA4771	13	8	5	12	1	10	host	lldD
gene-PA5295	29	20	6	9	4	16	host	gene-PA5295
gene-PA4596	2	3	1	8	1	4	host	gene-PA4596
gene-PA1844	1	4	0	1	0	1	host	gene-PA1844
gene-PA1730	9	12	2	10	1	11	host	gene-PA1730
gene-PA5397	3	1	1	6	0	2	host	gene-PA5397
gene-PA0764	17	28	3	4	5	5	host	mucB
gene-PA4916	12	10	4	5	1	4	host	gene-PA4916
gene-PA3675	12	7	3	7	1	4	host	gene-PA3675
gene-PA0484	7	4	2	4	2	4	host	gene-PA0484
gene-PA2864	6	6	1	6	1	4	host	gene-PA2864
gene-PA1402	3	2	1	5	0	4	host	gene-PA1402
gene-PA4412	44	32	10	18	6	1	host	murG
gene-PA4681	11	2	0	4	2	6	host	gene-PA4681
gene-PA3384	3	5	1	3	1	7	host	phnC
gene-PA5071	8	12	1	3	0	4	host	gene-PA5071
gene-PA1846	30	21	7	15	4	14	host	cti
gene-PA2011	10	5	0	3	1	5	host	liuE
gene-PA4107	13	4	1	5	0	0	host	gene-PA4107
gene-PHIKZ_p33	42	42	23	11	4	26	phage	gene-PHIKZ_p33
gene-PA0443	18	17	7	12	2	9	host	gene-PA0443
gene-PA2736	12	11	4	8	1	1	host	gene-PA2736
gene-PHIKZ208	96	106	440	286	41	270	phage	gene-PHIKZ208
gene-PA1042	4	1	0	0	1	2	host	gene-PA1042
gene-PHIKZ_p08	22	19	134	82	94	391	phage	gene-PHIKZ_p08
gene-PA4231	8	14	2	13	0	10	host	pchA
gene-PA2333	11	9	2	11	3	6	host	gene-PA2333
gene-PA2709	5	7	4	4	4	6	host	cysK
gene-PA4384	5	8	1	2	2	3	host	gene-PA4384
gene-PHIKZ289	73	62	111	48	7	147	phage	gene-PHIKZ289
gene-PA2350	7	5	0	7	1	3	host	gene-PA2350
gene-PA0420	34	22	9	24	4	17	host	bioA
gene-PA0763	28	22	24	33	16	11	host	mucA
gene-PA3376	4	8	2	6	1	3	host	gene-PA3376
gene-PA2576	3	2	1	0	0	2	host	gene-PA2576
gene-PA1864	3	3	0	4	0	2	host	gene-PA1864
gene-PA4625	39	1364	17	190	8	75	host	gene-PA4625
gene-PA1599	5	6	1	5	0	2	host	gene-PA1599
gene-PA1038	3	2	0	0	0	3	host	gene-PA1038
gene-PA5075	18	9	4	5	3	11	host	gene-PA5075
gene-PA4905	9	6	3	2	0	5	host	vanB
gene-PA4023	17	20	4	10	34	10	host	gene-PA4023
gene-PA4690a	8	4	7	4	1	8	host	gene-PA4690a
gene-PA4933	96	77	30	29	10	17	host	gene-PA4933
gene-PA1990	17	9	1	10	1	6	host	pqqH
gene-PA1071	8	6	1	1	0	3	host	braF
gene-PA1770	68	37	26	42	23	26	host	ppsA
gene-PA4203	8	5	4	3	0	2	host	gene-PA4203
gene-PA5502	25	6	4	5	5	3	host	gene-PA5502
gene-PA2371	10	20	2	3	2	6	host	gene-PA2371
gene-PA4545	59	46	19	27	11	18	host	comL
gene-PA2312	12	8	0	2	0	2	host	gene-PA2312
gene-PA3115	76	57	17	28	14	27	host	fimV
gene-PA4098	8	10	0	7	315	2	host	gene-PA4098
gene-PA1307	20	10	2	1	2	3	host	gene-PA1307
gene-PA4312	9	6	3	3	1	3	host	gene-PA4312
gene-PA0018	22	11	4	7	2	10	host	fmt
gene-PA3493	10	4	4	3	1	4	host	gene-PA3493
gene-PA3537	20	15	5	7	4	7	host	argF
gene-PA5556	312	233	56	74	22	31	host	atpA
gene-PA0279	8	6	5	3	1	3	host	gene-PA0279
gene-PA0231	4	14	1	3	0	3	host	pcaD
gene-PA0101	7	10	5	1	1	10	host	gene-PA0101
gene-PHIKZ157	18	11	80	58	210	797	phage	gene-PHIKZ157
gene-PA1720	12	12	1	0	0	1	host	pscG
gene-PA1964	29	18	4	9	4	7	host	gene-PA1964
gene-PA1552	63	52	17	7	1	10	host	ccoP1
gene-PA4276	58	68	29	22	5	7	host	secE
gene-PA4240	66	58	20	22	7	17	host	rpsK
gene-PA3990	8	4	3	6	1	2	host	gene-PA3990
gene-PA1096	7	5	8	9	3	7	host	gene-PA1096
gene-PA1083	12	8	2	2	0	6	host	flgH
gene-PA3815	24	16	15	15	5	7	host	iscR
gene-PA3126	30	23	25	20	7	14	host	ibpA
gene-PA2242	14	10	2	3	1	4	host	pslL
gene-PA0184	12	15	4	9	1	8	host	gene-PA0184
gene-PA2936	2	2	3	5	0	3	host	gene-PA2936
gene-PA3396	3	5	1	2	1	3	host	nosL
gene-PHIKZ_p82	2	5	1	5	0	16	phage	gene-PHIKZ_p82
gene-PA4585	6	1	0	5	1	10	host	rtcA
gene-PA3658	27	36	12	20	7	7	host	glnD
gene-PA3393	13	11	3	10	1	6	host	nosD
gene-PA2644	9	9	4	6	0	4	host	nuoI
gene-PHIKZ293	0	2	201	113	14	64	phage	gene-PHIKZ293
gene-PA0356	8	7	5	4	3	9	host	gene-PA0356
gene-PA3072	5	1	0	1	1	0	host	gene-PA3072
gene-PA0407	38	22	14	12	2	5	host	gshB
gene-PA1796.4	126	155	36	28	9	4	host	gene-PA1796.4
gene-PA3721	6	8	3	3	1	4	host	nalC
gene-PA1887	6	4	2	2	2	0	host	gene-PA1887
gene-PHIKZ026	22	30	388	177	632	1362	phage	gene-PHIKZ026
gene-PA4052	16	20	6	8	0	5	host	nusB
gene-PA4405	6	8	2	8	0	4	host	gene-PA4405
gene-PA5394	21	14	3	8	6	14	host	cls
gene-PA0165	33	21	12	12	3	11	host	gene-PA0165
gene-PA2819.2	658	573	342	230	38	35	host	gene-PA2819.2
gene-PA3101	10	7	0	4	0	7	host	xcpT
gene-PHIKZ291	66	55	61	40	6	137	phage	gene-PHIKZ291
gene-PA1134	1	2	1	1	3	1	host	gene-PA1134
gene-PHIKZ082	23	22	828	531	110	602	phage	gene-PHIKZ082
gene-PA1489	3	9	4	2	1	6	host	gene-PA1489
gene-PA5124	10	13	4	9	1	4	host	ntrB
gene-PA1270	15	12	2	11	3	14	host	gene-PA1270
gene-PA2891	14	4	3	7	2	11	host	atuF
gene-PA0739	9	6	1	3	3	9	host	gene-PA0739
gene-PA0646	8	10	4	3	3	7	host	gene-PA0646
gene-PA5004	26	30	10	16	1	15	host	gene-PA5004
gene-PA4477	26	17	9	6	7	9	host	cafA
gene-PA0456	294	282	142	78	27	34	host	gene-PA0456
gene-PA2971	191	151	51	75	24	19	host	gene-PA2971
gene-PA0592	13	13	7	4	1	9	host	ksgA
gene-PA3987	118	86	61	56	24	56	host	leuS
gene-PA2150	10	5	1	4	1	3	host	gene-PA2150
gene-PA2901	14	6	6	8	3	4	host	gene-PA2901
gene-PA0897	24	17	3	7	1	6	host	aruG
gene-PA0714	2	4	1	0	0	2	host	gene-PA0714
gene-PA0798	3	5	1	3	0	9338	host	pmtA
gene-PA5002	34	24	11	14	2	12	host	gene-PA5002
gene-PHIKZ204	12	11	29	28	6	79	phage	gene-PHIKZ204
gene-PA2928	13	7	3	12	2	3	host	gene-PA2928
gene-PA2238	6	3	4	4	0	2	host	pslH
gene-PA2838	2	2	0	1	1	4	host	gene-PA2838
gene-PA0327	11	8	3	16	2	7	host	gene-PA0327
gene-PA0186	13	4	3	4	4	2	host	gene-PA0186
gene-PA0243	14	8	3	10	2	9	host	gene-PA0243
gene-PA1207	18	19	5	13	2	11	host	kefB
gene-PA2596	4	4	0	2	0	3	host	gene-PA2596
gene-PA1642	11	10	5	10	3	3	host	selD
gene-PA2407	10	9	1	6	0	7	host	gene-PA2407
gene-PA4629	13	8	3	4	1	10	host	gene-PA4629
gene-PA0533	18	10	7	9	0	20	host	gene-PA0533
gene-PA1243	28	20	4	16	2	7	host	gene-PA1243
gene-PA0502	9	12	2	4	2	3	host	gene-PA0502
gene-PA0378	12	12	1	8	0	7	host	gene-PA0378
gene-PA0790	4	2	0	5	0	7	host	gene-PA0790
gene-PA5409	6	8	1	4	0	6	host	gene-PA5409
gene-PA3600	0	1	1	2	0	0	host	gene-PA3600
gene-PA0966	16	13	8	11	4	6	host	ruvA
gene-PA1553	23	32	8	2	2	9	host	ccoO1
gene-PA4392	3	2	0	1	3	1	host	gene-PA4392
gene-PHIKZ201	14	14	165	99	82	666	phage	gene-PHIKZ201
gene-PA1700	8	2	2	1	0	0	host	gene-PA1700
gene-PA1607	7	5	5	4	2	10	host	gene-PA1607
gene-PA1352	4	5	2	2	0	4	host	gene-PA1352
gene-PA2122	11	7	3	6	3	6	host	gene-PA2122
gene-PA4539	12	10	5	9	4	9	host	gene-PA4539
gene-PA4624	17	10	3	14	3	12	host	gene-PA4624
gene-PA0810	5	8	1	3	1	1	host	gene-PA0810
gene-PA1637	10	7	1	3	2	3	host	kdpE
gene-PA1908	6	4	2	5	2	3	host	gene-PA1908
gene-PA0091	17	37	3	14	4	19	host	vgrG1
gene-PA3580	34	11	9	10	3	3	host	gene-PA3580
gene-PHIKZ_p67	4	4	8	10	2	19	phage	gene-PHIKZ_p67
gene-PA2130	16	13	3	9	2	6	host	cupA3
gene-PA4837	21	20	15	21	2	20	host	gene-PA4837
gene-PHIKZ040	26	25	159	77	15	99	phage	gene-PHIKZ040
gene-PHIKZ063	14	13	997	576	169	547	phage	gene-PHIKZ063
gene-PA1220	8	12	2	4	0	9	host	gene-PA1220
gene-PA5530	68	42	29	34	7	32	host	gene-PA5530
gene-PA1544	34	22	7	4	7	3	host	anr
gene-PA2877	3	5	3	1	1	5	host	gene-PA2877
gene-PA2055	4	3	3	5	0	3	host	gene-PA2055
gene-PHIKZ_p64	22	20	72	39	11	85	phage	gene-PHIKZ_p64
gene-PA5439	17	14	4	14	3	12	host	gene-PA5439
gene-PA5132	11	13	5	47	1	9	host	gene-PA5132
gene-PA0858	14	19	11	7	2	5	host	gene-PA0858
gene-PA2007	6	3	2	1	1	2	host	maiA
gene-PA1676	0	6	0	0	1	0	host	gene-PA1676
gene-PA2155	4	4	2	4	0	5	host	gene-PA2155
gene-PA0853	4	7	1	2	3	5	host	gene-PA0853
gene-PA2319	9	12	6	5	0	5	host	gene-PA2319
gene-PA3350	28	23	9	8	3	4	host	gene-PA3350
gene-PA1215	8	9	1	4	2	15	host	gene-PA1215
gene-PA5405	7	3	2	2	3	2	host	gene-PA5405
gene-PA0645	0	1	1	3	1	3	host	gene-PA0645
gene-PA3705	17	7	3	12	0	5	host	wspD
gene-PA4697	11	13	1	5	2	4	host	gene-PA4697
gene-PA2954	4	12	1	2	3	2	host	gene-PA2954
gene-PA1478	5	2	0	2	0	1	host	gene-PA1478
gene-PA1308	8	8	1	5	1	5	host	gene-PA1308
gene-PA0674	7	9	3	2	0	12	host	vreA
gene-PA3637	49	63	23	28	12	16	host	pyrG
gene-PA3338	8	4	5	2	2	1	host	gene-PA3338
gene-PA1806	3	5	0	3	2	3	host	fabI
gene-PA5297	13	14	7	11	4	13	host	poxB
gene-PA5432	1	4	2	3	1	4	host	gene-PA5432
gene-PA4049	14	12	8	11	1	1	host	gene-PA4049
gene-PA4856	46	38	6	36	4	35	host	retS
gene-PA1479	19	8	5	6	2	5	host	ccmE
gene-PA1735	10	3	4	4	1	4	host	gene-PA1735
gene-PA2088	2	5	0	3	0	3	host	gene-PA2088
gene-PA3642	6	4	1	2	1	4	host	rnhB
gene-PA0617	1	4	1	2	1	3	host	gene-PA0617
gene-PA5408	4	3	2	1	0	0	host	gene-PA5408
gene-PA2079	7	5	0	5	0	5	host	gene-PA2079
gene-PA1891	2	1	0	1	0	1	host	gene-PA1891
gene-PA1504	11	15	9	2	1	4	host	gene-PA1504
gene-PA1781	12	13	6	19	2	12	host	nirB
gene-PA1920	12	15	4	10	2	15	host	nrdD
gene-PA1369	11	7	9	7	1	5	host	gene-PA1369
gene-PA3625	24	22	11	9	3	10	host	surE
gene-PA4752	10	15	3	6	2	4	host	ftsJ
gene-PA5130	14	18	7	7	3	3	host	gene-PA5130
gene-PA4026	11	6	1	2	3	0	host	gene-PA4026
gene-PA3085	14	7	1	2	0	0	host	gene-PA3085
gene-PA4020	24	10	6	7649	5	7	host	mpl
gene-PA4715	20	6	7	11	5	10	host	gene-PA4715
gene-PA2294	5	5	2	8	2	1	host	gene-PA2294
gene-PA1977	4	6	1	2	0	0	host	gene-PA1977
gene-PA5165	25	22	9	17	6	12	host	gene-PA5165
gene-PA3385	29	30	26	13	6	12	host	amrZ
gene-PA1557	24	18	11	9	3	12	host	ccoN2
gene-PA3557	3	4	0	0	0	4	host	arnE
gene-PA0014	4	3	1	4	0	1	host	gene-PA0014
gene-PA2657	6	8	4	6	1	0	host	gene-PA2657
gene-PA0544	15	9	1	7	2	3	host	gene-PA0544
gene-PA0933	16	10	3	3	4	4	host	ygcA
gene-PA1004	26	20	4	8	4	8	host	nadA
gene-PA0647	3	7	1	0	2	2	host	gene-PA0647
gene-PA1872	8	3	1	6	0	4	host	gene-PA1872
gene-PA1625	6	3	1	10	0	7	host	gene-PA1625
gene-PA3382	6	8	2	9	0	2	host	phnE
gene-PA1364	3	8	2	1	1	2	host	gene-PA1364
gene-PA2317	18	10	3	7	3	5	host	gene-PA2317
gene-PA4938	52	35	18	25	7	15	host	purA
gene-PA0922.1	3732	3973	1666	990	274	173	host	gene-PA0922.1
gene-PA4053	34	30	17	16	3	9	host	ribE
gene-PA3110	19	13	1	4	3	12	host	gene-PA3110
gene-PA1164	10	9	3	3	2	6	host	gene-PA1164
gene-PA2178	5	7	3	1	1	5	host	gene-PA2178
gene-PA4817	10	16	1	5	1	5	host	gene-PA4817
gene-PHIKZ_p66	3	1	14	12	0	30	phage	gene-PHIKZ_p66
gene-PA4656	11	12	5	5	3	8	host	gene-PA4656
gene-PA1446	3	9	4	5	2	3	host	fliP
gene-PA2203	6	3	1	3	1	1	host	gene-PA2203
gene-PA2310	4	6	2	3	0	7	host	gene-PA2310
gene-PA2795	15	7	3	8	1	4	host	gene-PA2795
gene-PA2914	7	6	4	5	1	1	host	gene-PA2914
gene-PA2779	3	4	4	6	1	0	host	gene-PA2779
gene-PA1397	7	11	0	2	0	2	host	gene-PA1397
gene-PA4639	31	20	20	16	14	11	host	gene-PA4639
gene-PA2296	11	3	2	11	2	7	host	gene-PA2296
gene-PA4947	73	37	19	28	6	11	host	amiB
gene-PA1688	17	12	3	12	5	4	host	gene-PA1688
gene-PA0925	6	3	0	0	0	2	host	gene-PA0925
gene-PA1251	17	13	4	11	2	7	host	gene-PA1251
gene-PA5347	6	1	4	2	1	5	host	gene-PA5347
gene-PA2826	4	5	1	6	0	5	host	gene-PA2826
gene-PA0052	6	7	1	1	1	9	host	gene-PA0052
gene-PA1624	4	7	0	2	0	4	host	gene-PA1624
gene-PA0258	4	7	1	1	0	2	host	gene-PA0258
gene-PA4644	16	6	2	4	3	2	host	gene-PA4644
gene-PA1697	37	20	13	9	3	6	host	gene-PA1697
gene-PA0099	15	12	2	7	3	11	host	gene-PA0099
gene-PA2510	11	2	3	5	0	4	host	catR
gene-PA5293	15	5	0	1	1	6	host	gene-PA5293
gene-PA0436	10	7	4	7	2	9	host	gene-PA0436
gene-PA1761	3	1	1	3	1	3	host	gene-PA1761
gene-PA2082	4	6	1	2	0	2	host	gene-PA2082
