Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ercc_standard,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,phage,plasmid,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,substrain,time_post-infection
SRR13084803,RNA-Seq,69,3028203621,PRJNA679481,SAMN16834488,1149862790,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Prior to extraction,SRX9531484,GSM4914570,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322 empty vector,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:28:00Z,1,GSM4914570,Bacterial liquid culture,SRP293242,K-12,MG1655,10
SRR13084804,RNA-Seq,69,2837063616,PRJNA679481,SAMN16834487,1074953758,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Prior to extraction,SRX9531485,GSM4914571,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322 empty vector,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:29:00Z,1,GSM4914571,Bacterial liquid culture,SRP293242,K-12,MG1655,20
SRR13084805,RNA-Seq,69,1850468979,PRJNA679481,SAMN16834486,701196964,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Prior to extraction,SRX9531486,GSM4914572,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322 empty vector,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:26:00Z,1,GSM4914572,Bacterial liquid culture,SRP293242,K-12,MG1655,30
SRR13084806,RNA-Seq,69,2113418388,PRJNA679481,SAMN16834520,828984417,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",No,SRX9531487,GSM4914549,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322-toxIN,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:27:00Z,1,GSM4914549,Bacterial liquid culture,SRP293242,K-12,MG1655,0
SRR13084807,RNA-Seq,69,2282539872,PRJNA679481,SAMN16834519,897364940,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",No,SRX9531488,GSM4914550,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322-toxIN,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:28:00Z,1,GSM4914550,Bacterial liquid culture,SRP293242,K-12,MG1655,2.5
SRR13084808,RNA-Seq,69,2238654147,PRJNA679481,SAMN16834518,874909502,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",No,SRX9531465,GSM4914551,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322-toxIN,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:28:00Z,1,GSM4914551,Bacterial liquid culture,SRP293242,K-12,MG1655,5
SRR13084809,RNA-Seq,69,2340114507,PRJNA679481,SAMN16834517,916071358,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",No,SRX9531466,GSM4914552,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322-toxIN,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:29:00Z,1,GSM4914552,Bacterial liquid culture,SRP293242,K-12,MG1655,10
SRR13084810,RNA-Seq,69,2384499861,PRJNA679481,SAMN16834516,930160602,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",No,SRX9531467,GSM4914553,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322-toxIN,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:29:00Z,1,GSM4914553,Bacterial liquid culture,SRP293242,K-12,MG1655,20
SRR13084811,RNA-Seq,69,2408462664,PRJNA679481,SAMN16834515,940416985,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",No,SRX9531468,GSM4914554,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322-toxIN,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:29:00Z,1,GSM4914554,Bacterial liquid culture,SRP293242,K-12,MG1655,30
SRR13084812,RNA-Seq,69,2433811263,PRJNA679481,SAMN16834514,948711039,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",No,SRX9531469,GSM4914555,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322 empty vector,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:29:00Z,1,GSM4914555,Bacterial liquid culture,SRP293242,K-12,MG1655,0
SRR13084813,RNA-Seq,69,2278917786,PRJNA679481,SAMN16834513,893896352,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",No,SRX9531470,GSM4914556,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322 empty vector,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:29:00Z,1,GSM4914556,Bacterial liquid culture,SRP293242,K-12,MG1655,2.5
SRR13084814,RNA-Seq,69,2401989981,PRJNA679481,SAMN16834512,941102666,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",No,SRX9531471,GSM4914557,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322 empty vector,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:29:00Z,1,GSM4914557,Bacterial liquid culture,SRP293242,K-12,MG1655,5
SRR13084815,RNA-Seq,69,3453897603,PRJNA679481,SAMN16834538,1347481041,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",No,SRX9531472,GSM4914558,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322 empty vector,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:31:00Z,1,GSM4914558,Bacterial liquid culture,SRP293242,K-12,MG1655,10
SRR13084816,RNA-Seq,69,2922507213,PRJNA679481,SAMN16834537,1138375021,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",No,SRX9531473,GSM4914559,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322 empty vector,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:30:00Z,1,GSM4914559,Bacterial liquid culture,SRP293242,K-12,MG1655,20
