Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	15_R1	15_R2	15_R3	Entity	Symbol
gene-PA4506	37	34	31	14	19	130	2	6	23	1	2	246	host	gene-PA4506
gene-PA3686	828	1243	153	398	709	213	107	144	36	80	68	82	host	adk
gene-PA0550	26	36	29	31	67	206	7	7	27	10	2	215	host	gene-PA0550
gene-PA4637	22	128	24	56	92	65	27	44	10	28	9	40	host	gene-PA4637
gene-PA2937	4	8	14	1	2	39	1	2	10	0	0	54	host	gene-PA2937
gene-PA5043	1346	1250	380	700	873	204	74	82	25	32	20	92	host	pilN
gene-PA1816	154	243	72	135	230	119	28	48	11	22	19	75	host	dnaQ
gene-PPLUZ19_gp23	2	0	32	1	7	5694	16603	28710	108874	139558	110577	119010	phage	gp23
gene-PA4733	202	189	77	102	120	310	15	9	25	11	5	266	host	acsB
gene-PA0027	249	263	60	92	195	194	18	11	18	13	8	476	host	gene-PA0027
gene-PA4819	0	3	11	1	5	195	1	1	15	0	0	398	host	gene-PA4819
gene-PA0407	643	764	146	256	382	186	49	60	22	17	10	77	host	gshB
gene-PA4496	209	197	443	279	292	581	32	20	51	14	4	256	host	gene-PA4496
gene-PA1563	51	48	20	33	37	144	9	8	12	3	4	209	host	gene-PA1563
gene-PA0532	21	24	29	14	23	220	1	4	19	1	3	118	host	gene-PA0532
gene-PA3666	94	84	60	142	195	221	34	21	16	11	10	264	host	dapD
gene-PA3294	45	50	53	23	28	324	9	8	37	6	1	407	host	gene-PA3294
gene-PA4006	296	369	111	256	490	196	40	69	14	28	12	193	host	nadD
gene-PA4932	874	1502	1031	847	1756	1463	489	708	128	342	182	203	host	rplI
gene-PA5347	96	118	267	60	114	158	9	13	19	4	17	59	host	gene-PA5347
gene-PA2290	405	462	121	526	690	295	129	120	29	37	16	360	host	gcd
gene-PA3088	54	84	36	51	64	153	17	18	19	5	4	221	host	gene-PA3088
gene-PA0430	163	203	170	261	359	371	51	75	28	21	17	193	host	metF
gene-PA4308	343	283	80	128	189	309	39	39	36	36	24	476	host	gene-PA4308
gene-PA0527.1	427	1361	333	370	842	399	312	668	127	449	267	146	host	rsmY
gene-PA1664	2	3	25	2	4	40	0	1	6	4	1	22	host	gene-PA1664
gene-PA3738	25	26	35	18	28	183	2	3	26	3	1	147	host	xerD
gene-PA2029	23	39	17	15	14	75	6	2	14	2	2	68	host	gene-PA2029
gene-PA4085	6	10	552	3	7	217	0	1	32	0	1	111	host	cupB2
gene-PA3760	30	29	37	7	21	188	7	6	32	2	2	341	host	gene-PA3760
gene-PA1501	46	39	21	18	18	161	2	3	15	4	5	283	host	gene-PA1501
gene-PA0771	159	226	496	264	403	245	45	60	27	25	18	101	host	era
gene-PA2611	330	217	86	302	365	183	54	38	9	24	20	192	host	cysG
gene-PA4300	27	14	20	16	32	1394	8	5	15	7	4	370	host	tadC
gene-PPLUZ19_gp36	0	0	32	259	543	132262	55	282	116906	197229	129583	489496	phage	gp36
gene-PA4008	21	8	20	13	15	155	2	1	18	0	5	198	host	gene-PA4008
gene-PA4214	8	90	6184	8	206	367	2	27	41	9	2	421	host	phzE1
gene-PA4694	772	853	429	891	993	560	155	168	39	63	66	157	host	ilvC
gene-PA5103	60	40	50	21	28	199	2	7	31	1	3	265	host	gene-PA5103
gene-PA2972	35	44	37	75	105	172	15	13	13	4	6	75	host	gene-PA2972
gene-PA5432	1	3	18	2	8	116	0	4	7	1	1	237	host	gene-PA5432
gene-PA3512	6	7	22	5	6	135	2	1	15	0	1	221	host	gene-PA3512
gene-PA5095	25	37	37	25	25	207	6	6	26	0	1	241	host	gene-PA5095
gene-PPLUZ19_gp16	0	0	97	5	8	15802	99293	112838	69633	57700	50473	82191	phage	gp16
gene-PA0035	52	43	40	23	33	149	1	4	16	6	2	177	host	trpA
gene-PA2709	241	172	99	109	102	217	21	26	20	9	3	214	host	cysK
gene-PA1304	83	74	46	62	92	280	9	18	32	11	8	751	host	gene-PA1304
gene-PA0803	30	34	19	22	42	57	3	9	7	3	4	148	host	gene-PA0803
gene-PA4870	5	8	25	6	12	71	5	2	23	0	0	82	host	gene-PA4870
gene-PA2594	16	25	21	19	19	109	2	5	19	4	2	160	host	gene-PA2594
gene-PA0495	42	42	23	18	29	168	6	5	19	4	2	136	host	gene-PA0495
gene-PA1915	83	79	39	30	40	198	11	7	20	7	7	298	host	gene-PA1915
gene-PPLUZ19_gp40	0	0	4	97	195	60908	14	69	13429	18846	12573	141670	phage	gp40
gene-PA0045	86	183	197	294	344	457	79	88	69	39	39	148	host	gene-PA0045
gene-PA5320	163	170	725	101	164	290	29	14	229	21	11	244	host	coaC
gene-PA4147	93	34	830	21	38	215	4	10	33	3	3	352	host	acoR
gene-PA3417	25	9	17	4	9	74	3	1	5	2	1	195	host	gene-PA3417
gene-PA2962	88	74	20	73	114	96	7	20	6	5	7	100	host	tmk
gene-PA5216	149	173	52	28	39	209	4	5	44	8	3	313	host	gene-PA5216
gene-PA0887	1524	944	68	686	927	344	203	127	44	82	116	553	host	acsA
gene-PA1281	5	6	12	4	8	43	0	2	3	1	0	72	host	cobV
gene-PA2037	48	67	122	28	56	586	5	12	53	5	2	372	host	gene-PA2037
gene-PA2057	14	16	34	5	6	216	4	0	22	1	1	289	host	gene-PA2057
gene-PPLUZ19_gp44	0	0	0	48	58	11919	9	39	2170	1816	1163	21991	phage	gp44
gene-PA2279	8	4	12	4	10	92	2	3	9	2	2	230	host	arsC
gene-PA4180	122	93	161	58	42	342	14	6	38	3	10	378	host	gene-PA4180
gene-PA2433	14	9	6	13	13	69	4	1	6	0	2	98	host	gene-PA2433
gene-PA4222	213	173	289	124	180	393	52	55	54	7	7	157	host	gene-PA4222
gene-PA3526	104	86	41	81	97	104	15	23	13	11	6	114	host	gene-PA3526
gene-PA1143	11	6	5	3	2	60	1	1	2	1	0	65	host	gene-PA1143
gene-PA5496	84	130	108	60	114	186	4	13	18	11	1	78	host	nrdJb
gene-PA5428	56	34	64	25	27	160	8	9	20	3	2	479	host	gene-PA5428
gene-PA2908	32	20	8	17	24	59	5	6	11	0	2	127	host	cbiD
gene-PA0435	20	14	21	16	37	187	3	4	14	2	1	389	host	gene-PA0435
gene-PA1259	14	6	21	3	4	122	0	2	19	2	1	173	host	gene-PA1259
gene-PA3303	27	19	27	12	17	162	5	2	27	2	0	196	host	gene-PA3303
gene-PA5542	450	262	84	240	334	286	37	31	42	6	7	321	host	gene-PA5542
gene-PA5167	536	505	335	1006	1398	357	113	93	48	21	28	184	host	gene-PA5167
gene-PA5354	6	6	20	1	4	62	0	0	244	0	0	108	host	glcE
gene-PPLUZ19_gp48	0	0	0	150	232	20327	32	118	5462	1100	717	31034	phage	gp48
gene-PA1831	81	138	39	88	94	146	18	23	24	11	8	155	host	gene-PA1831
gene-PA1023	51	58	39	33	34	170	6	3	16	1	0	291	host	gene-PA1023
gene-PA3303a	9	11	3	9	7	61	0	1	5	0	0	67	host	gene-PA3303a
gene-PA3368	12	16	23	13	26	91	3	5	12	2	0	103	host	gene-PA3368
gene-PA1542	8	12	23	6	25	145	6	2	16	1	1	78	host	gene-PA1542
gene-PA5039	518	356	99	279	370	141	47	27	17	17	20	89	host	aroK
gene-PA0516	12	7	32	4	5	237	3	1	19	1	1	478	host	nirF
gene-PA0955	211	183	66	206	289	230	40	45	16	29	18	158	host	gene-PA0955
gene-PA1947	74	52	22	69	89	96	12	9	13	2	4	171	host	rbsA
gene-PA0668.3	241	564	305	236	434	747	157	345	135	211	131	235	host	gene-PA0668.3
gene-PA3110	95	118	58	170	263	124	47	40	10	20	12	76	host	gene-PA3110
gene-PA0542	182	101	132	51	88	185	14	16	18	6	5	217	host	gene-PA0542
gene-PA5193	121	140	50	71	127	216	21	23	22	21	10	342	host	yrfI
gene-PA2231	45	60	52	47	75	254	11	7	33	4	7	233	host	pslA
gene-PA1870	3	13	6	2	9	71	1	2	8	4	0	93	host	gene-PA1870
gene-PA4977	45	48	32	37	88	181	4	5	32	1	3	260	host	aruI
gene-PA2659	75	86	21	57	68	81	14	25	7	5	7	50	host	gene-PA2659
gene-PA0358	17	23	24	32	51	140	10	15	20	4	2	137	host	gene-PA0358
gene-PA2692	45	21	9	25	24	79	9	5	6	7	0	198	host	gene-PA2692
gene-PA2922	3	1	22	0	3	167	0	0	16	0	1	214	host	gene-PA2922
gene-PA5149.1	105	156	20	29	56	197	6	9	41	5	6	75	host	gene-PA5149.1
gene-PA3314	19	17	12	8	15	38	6	5	5	5	3	91	host	gene-PA3314
gene-PA3079	1369	1208	97	1904	2317	388	129	81	37	39	61	421	host	gene-PA3079
gene-PA0710	3	5	134	3	0	70	0	0	38	0	0	143	host	gloA2
gene-PA4439	163	140	66	115	137	224	25	26	31	13	12	231	host	trpS
gene-PA0332	29	42	6	27	37	52	7	10	3	4	1	39	host	gene-PA0332
gene-PA0626	121	101	78	98	162	224	107	131	60	86	57	200	host	gene-PA0626
gene-PA4721	117	144	44	54	71	163	7	11	14	6	6	215	host	gene-PA4721
gene-PA1031	476	363	150	154	251	314	33	50	59	33	13	925	host	gene-PA1031
gene-PA2102	29	44	37	14	19	100	2	1	15	1	1	34	host	gene-PA2102
gene-PA2936	1	3	6	1	5	70	0	0	7	0	2	73	host	gene-PA2936
gene-PA5408	64	21	8	17	22	44	4	4	3	1	0	91	host	gene-PA5408
gene-PA0793	395	152	821	236	193	241	25	16	168	8	12	306	host	gene-PA0793
gene-PA1373	19	8	23	15	16	99	3	8	11	4	1	155	host	fabF2
gene-PA3617	673	655	222	364	480	358	109	141	29	96	56	197	host	recA
gene-PA1013	563	534	147	388	529	272	89	107	25	60	58	98	host	purC
gene-PA2800	267	386	131	289	439	285	82	77	26	58	49	100	host	gene-PA2800
gene-PA3109	61	71	20	66	117	82	20	22	12	11	10	95	host	gene-PA3109
gene-PA0499	37	27	40	15	20	245	5	4	26	4	3	217	host	gene-PA0499
gene-PA1022	68	69	44	49	53	924	9	7	20	9	4	273	host	gene-PA1022
gene-PA2932	11	5	24	1	4	120	2	2	20	1	0	238	host	morB
gene-PA3652	349	442	184	248	358	361	99	142	34	107	60	158	host	uppS
gene-PA2109	48	2	4	53	15	39	6	5	8	1	2	117	host	gene-PA2109
gene-PA1528	716	692	234	356	610	328	71	101	44	56	38	166	host	zipA
gene-PA1364	81	51	14	5	6	87	1	4	19	1	1	176	host	gene-PA1364
gene-PA0163	24	17	33	6	10	213	3	2	16	3	1	400	host	gene-PA0163
gene-PA2021	5	8	2	4	8	27	4	2	1	0	0	65	host	gene-PA2021
gene-PA3208	40	30	7	29	32	35	9	7	7	7	0	49	host	gene-PA3208
gene-PA2258	8	11	13	4	11	129	0	4	9	0	0	170	host	ptxR
gene-PA3581	24	31	20	44	74	160	5	5	18	3	0	307	host	glpF
gene-PA4551	50	57	2286	62	82	269	10	12	2477	5	2	88	host	pilV
gene-PA4926	29	19	19	13	23	134	1	4	26	1	2	160	host	gene-PA4926
gene-PA5452	964	707	136	614	836	344	54	54	38	9	22	301	host	wbpW
gene-PA1885	29	19	17	3	6	36	2	3	6	0	0	94	host	gene-PA1885
gene-PA0077	153	145	150	124	222	510	34	43	58	34	22	1083	host	icmF1
gene-PA1553	223	334	220	233	411	302	78	109	33	79	52	96	host	ccoO1
gene-PA2060	4	3	12	3	1	99	0	2	11	0	0	166	host	gene-PA2060
gene-PA2916	2	1	7	1	0	66	1	0	5	0	1	103	host	gene-PA2916
gene-PA2400	16637	16028	4968	14908	22967	4591	2903	3447	238	1435	1018	1165	host	pvdJ
gene-PA1009	72	56	34	52	53	198	8	17	17	3	5	168	host	gene-PA1009
gene-PA3833	32	34	176	16	27	79	5	5	10	2	2	71	host	gene-PA3833
gene-PA0318	214	159	87	78	99	203	20	27	19	11	146	128	host	gene-PA0318
gene-PA0195.1	8	12	18	2	7	105	2	0	8	1	1	126	host	pntAB
gene-PA0155	17	4	39	8	4	261	6	3	31	4	1	322	host	pcaR
gene-PA4459	120	138	72	88	146	293	35	46	29	22	19	102	host	gene-PA4459
gene-PA0580	124	137	58	100	174	176	37	51	24	21	12	237	host	gcp
gene-PA3915	2	4	35	3	6	146	3	1	31	1	0	190	host	moaB1
gene-PA4409	505	468	168	435	663	273	36	54	25	27	15	218	host	ftsQ
gene-PA0831	64	44	23	15	25	196	8	12	20	6	6	319	host	oruR
gene-PA2971	838	1699	337	986	1761	634	402	544	68	339	164	100	host	gene-PA2971
gene-PA2083	13	12	39	8	9	164	1	0	15	1	1	188	host	gene-PA2083
gene-PA5052	20	28	45	24	30	89	6	7	13	5	4	114	host	gene-PA5052
gene-PA0361	74	69	42	62	92	205	14	16	26	11	5	343	host	gene-PA0361
gene-PA5439	120	74	47	29	37	250	13	12	27	4	7	427	host	gene-PA5439
gene-PA3424	12	16	24	14	19	118	5	5	28	3	2	165	host	gene-PA3424
gene-PA2905	1	2	4	1	8	43	1	1	3	0	0	61	host	cobH
gene-PA3115	1924	1529	844	956	1245	445	194	203	63	94	90	369	host	fimV
gene-PA3302	136	97	64	93	117	147	33	23	16	8	11	139	host	gene-PA3302
gene-PA3602	35	70	46	27	42	271	7	8	43	5	2	358	host	gene-PA3602
gene-PA0207	16	12	37	4	7	168	4	0	11	1	1	351	host	gene-PA0207
gene-PA3482	268	366	216	297	366	455	52	92	52	58	29	277	host	metG
gene-PA2257	2	0	1	2	2	21	0	0	4	0	0	40	host	pvcD
gene-PA0728	39	46	274	16	29	201	3	4	23	3	4	87	host	gene-PA0728
gene-PA2882	9	11	10	9	13	105	2	7	10	2	2	207	host	gene-PA2882
gene-PA4218	312	267	264	397	608	259	62	78	20	30	40	219	host	gene-PA4218
gene-PA4606	465	552	436	728	887	533	96	84	59	49	42	401	host	gene-PA4606
gene-PA3446	5	3	23	1	4	157	1	0	11	2	2	222	host	gene-PA3446
gene-PA5489	541	540	241	287	342	225	51	81	35	49	34	80	host	dsbA
gene-PA0511	6	5	33	1	2	139	1	0	23	0	0	369	host	nirJ
gene-PA0940	38	21	6	37	24	55	12	17	7	1	3	21	host	gene-PA0940
gene-PA4807	88	56	20	41	45	148	6	9	16	6	6	311	host	selB
gene-PA4840	31	43	20	22	37	91	11	18	10	20	7	96	host	gene-PA4840
gene-PA4994	42	32	3962	15	33	264	6	4	4128	1	2	207	host	gene-PA4994
gene-PA0326	4	6	55	3	6	367	0	2	32	1	1	186	host	gene-PA0326
gene-PA4524	86	72	5006	86	94	226	22	22	35	10	13	219	host	nadC
gene-PA3839	54	36	3182	55	49	390	10	7	302	4	6	655	host	gene-PA3839
gene-PA4607	3576	2765	309	1414	1313	226	226	264	33	129	81	120	host	gene-PA4607
gene-PA3336	10	19	99	2	27	124	1	8	11	3	1	204	host	gene-PA3336
gene-PA0412	512	459	132	318	491	200	48	43	25	24	14	353	host	pilK
gene-PA1116	51	71	43	61	86	205	22	27	18	12	16	159	host	gene-PA1116
gene-PA2115	37	23	22	18	27	93	9	8	12	3	2	100	host	gene-PA2115
gene-PA0220	43	28	65	9	9	313	2	10	24	2	3	454	host	gene-PA0220
gene-PA4350	15	6	37	5	5	81	0	2	9	0	1	123	host	gene-PA4350
gene-PA4552	82	93	70	169	154	235	21	12	27	7	10	173	host	pilW
gene-PA2565	14	15	8	12	17	59	2	3	8	2	1	78	host	gene-PA2565
gene-PA5348	713	629	246	362	440	150	35	44	192	11	15	73	host	gene-PA5348
gene-PA0312	222	148	32	56	86	88	20	8	5	3	11	89	host	gene-PA0312
gene-PA0824	21	27	23	9	14	101	4	7	12	9	4	69	host	gene-PA0824
gene-PA0348	17	17	11	22	21	165	3	5	22	4	2	294	host	gene-PA0348
gene-PA0221	15	7	29	7	13	218	2	2	28	0	1	382	host	gene-PA0221
gene-PA2064	8	6	11	9	12	78	0	2	11	0	1	182	host	pcoB
gene-PA0274	9	5	18	6	5	141	1	0	14	0	2	339	host	gene-PA0274
gene-PA1325	5	4	6	7	11	64	2	5	6	1	0	160	host	gene-PA1325
gene-PA0076	26	40	26	20	42	63	4	9	11	3	6	138	host	gene-PA0076
gene-PA1529	178	190	97	294	408	353	46	67	31	36	22	394	host	lig
gene-PA0859	16	19	5	18	54	48	5	8	11	3	2	117	host	gene-PA0859
gene-PA1231	3	7	4	0	6	83	1	2	5	0	0	129	host	gene-PA1231
gene-PA3597	16	21	34	7	18	279	4	4	42	1	0	242	host	gene-PA3597
gene-PA0846	34	33	51	33	53	221	8	6	45	4	1	108	host	gene-PA0846
gene-PA4049	55	44	21	45	70	157	15	15	11	8	5	202	host	gene-PA4049
gene-PA1640	142	148	67	59	107	168	25	23	21	6	5	252	host	gene-PA1640
gene-PA3456	19	21	28	16	26	120	3	3	22	3	1	176	host	gene-PA3456
gene-PA2229	36	13	19	15	14	114	3	2	10	1	2	184	host	gene-PA2229
gene-PA3190	2256	4594	1241	788	2516	429	89	174	83	63	46	504	host	gene-PA3190
gene-PA0305	53	50	88	59	67	514	11	14	58	3	6	946	host	gene-PA0305
gene-PA0905.1	655	918	166	326	530	348	180	304	76	113	79	41	host	gene-PA0905.1
gene-PA0085	645	740	1045	429	761	529	119	179	35	147	85	126	host	hcp1
gene-PA3223	5	6	19	23	30	115	1	3	13	2	1	81	host	azoR3
gene-PA2028	6	15	39	8	11	186	2	2	23	3	0	131	host	gene-PA2028
gene-PA2845	8	2	4	3	1	37	0	0	0	0	0	55	host	gene-PA2845
gene-PA1473	7	14	9	13	8	52	0	1	9	1	1	125	host	gene-PA1473
gene-PA0142	12	17	37	20	28	222	6	4	29	3	3	417	host	gene-PA0142
gene-PA4429	142	179	186	154	284	363	74	93	78	80	61	125	host	gene-PA4429
gene-PA3668	61	41	11	22	36	46	6	5	6	5	0	48	host	gene-PA3668
gene-PA5085	69	54	30	24	29	112	6	8	48	2	2	162	host	gene-PA5085
gene-PA1275	3	6	10	4	5	39	1	0	13	0	0	74	host	cobD
gene-PA1303	42	48	16	58	116	69	5	6	7	2	1	216	host	gene-PA1303
gene-PA4445	63	81	22	38	61	210	11	17	12	10	4	223	host	gene-PA4445
gene-PA0907	27	31	730	25	22	135	7	4	25	3	4	88	host	gene-PA0907
gene-PA2096	16	14	16	8	7	96	1	4	14	1	2	183	host	gene-PA2096
gene-PA2656	75	93	36	77	123	170	16	21	23	8	7	229	host	gene-PA2656
gene-PA3555	2	2	10	1	0	46	0	0	8	0	0	109	host	arnD
gene-PA4839	171	196	102	159	224	446	64	65	35	50	33	453	host	speA
gene-PA0969	685	1255	238	550	798	363	105	117	41	65	46	144	host	tolQ
gene-PA0935	352	219	102	146	199	226	37	36	34	25	16	164	host	gene-PA0935
gene-PA2628	25	33	26	14	35	114	1	10	9	7	1	249	host	gene-PA2628
gene-PA3799	473	628	312	657	1195	569	135	183	60	109	45	227	host	gene-PA3799
gene-PA1296	68	59	38	43	61	219	12	12	18	8	6	331	host	gene-PA1296
gene-PA1115	63	71	126	44	46	329	2	11	41	1	4	331	host	gene-PA1115
gene-PA2051	2	2	5	0	2	40	0	0	4	2	1	152	host	gene-PA2051
gene-PA2953	187	220	164	262	398	578	100	127	73	99	76	259	host	gene-PA2953
gene-PA2885	76	47	32	14	20	118	5	5	9	2	2	239	host	atuR
gene-PA0109	34	27	35	12	15	78	4	4	4	1	2	43	host	gene-PA0109
gene-PA3674	40	37	41	21	31	196	4	6	19	2	1	173	host	gene-PA3674
gene-PA3131	159	143	15	43	51	99	7	13	10	7	5	74	host	gene-PA3131
gene-PA2977	427	356	74	356	549	249	67	82	36	37	28	143	host	murB
gene-PA1868	18	12	24	10	46	154	3	2	21	2	3	266	host	xqhA
gene-PA3918	59	42	69	17	36	133	12	7	14	10	3	108	host	moaC
gene-PA5234	49	29	106	25	34	246	5	11	69	0	1	256	host	gene-PA5234
gene-PA4770	110	68	107	46	54	441	9	8	46	6	5	454	host	lldP
gene-PA1979	4	6	5	1	2	39	2	1	4	1	0	108	host	eraS
gene-PA5382	11	8	14	2	10	119	2	1	16	0	3	324	host	gene-PA5382
gene-PA1986	23	19	34	19	23	98	3	1	13	1	3	221	host	pqqB
gene-PA4217	161	387	683	232	694	927	59	145	58	43	10	348	host	phzS
gene-PA0507	40	29	56	23	25	272	4	3	49	2	3	472	host	gene-PA0507
gene-PA2513	3	1	8	5	3	138	1	0	11	0	0	168	host	antB
gene-PA5300	231	356	49	133	268	119	90	112	16	101	56	61	host	cycB
gene-PA0235	9	11	32	6	3	329	0	2	35	1	0	637	host	pcaK
gene-PA3659	81	56	46	62	57	210	7	17	32	4	9	394	host	gene-PA3659
gene-PA3767	276	241	80	49	60	121	5	10	13	2	0	170	host	gene-PA3767
gene-PA5146	167	138	84	114	170	403	38	39	40	31	12	574	host	gene-PA5146
gene-PA3381	2	0	16	1	1	94	2	1	8	0	0	179	host	gene-PA3381
gene-PA4280.4	495	1056	565	332	697	2201	220	627	279	355	188	844	host	gene-PA4280.4
gene-PA0819	10	5	19	4	8	153	1	2	19	2	2	97	host	gene-PA0819
gene-PA0524	16	16	54	5	11	303	6	1	32	1	2	278	host	norB
gene-PA4961	284	284	123	124	184	347	30	51	175	27	18	444	host	gene-PA4961
gene-PA2752	16	8	12	5	11	68	1	1	10	0	0	84	host	gene-PA2752
gene-PA0775	6	16	305	18	26	133	6	4	207	4	3	121	host	gene-PA0775
gene-PA3790	149	178	106	225	328	439	95	124	56	54	71	673	host	oprC
gene-PA0243	37	40	31	16	34	149	8	5	21	3	2	113	host	gene-PA0243
gene-PA2806	42	35	13	22	48	104	11	8	12	8	1	130	host	gene-PA2806
gene-PPLUZ19_gp5	1	0	17	10080	10637	47921	22790	20903	4868	7857	6285	10006	phage	gp5
gene-PA4777	25	12	33	8	15	340	2	3	20	0	1	575	host	pmrB
gene-PA1784	5	11	24	5	10	174	2	1	18	2	5	124	host	gene-PA1784
gene-PA0050	167	212	96	86	216	170	38	95	21	78	42	119	host	gene-PA0050
gene-PA1228	4	8	8	5	6	37	1	0	10	0	0	56	host	gene-PA1228
gene-PA0276	14	8	20	5	7	84	1	6	17	4	1	92	host	gene-PA0276
gene-PA0957	35	43	2811	19	50	150	5	4	5261	6	2	338	host	gene-PA0957
gene-PA2879	31	20	30	11	12	113	0	2	12	2	2	135	host	gene-PA2879
gene-PA1125	67	46	10	30	47	72	8	10	6	3	1	102	host	gene-PA1125
gene-PA1875	51	49	58	28	45	200	6	20	12	8	6	255	host	gene-PA1875
gene-PA1360	34	25	26	29	43	147	13	9	14	5	6	125	host	gene-PA1360
gene-PA0399	802	709	272	795	1034	424	191	180	33	60	63	328	host	gene-PA0399
gene-PA3197	112	87	33	62	68	125	9	16	18	4	1	224	host	gene-PA3197
gene-PA2875	109	89	12	35	44	118	8	6	15	4	5	119	host	gene-PA2875
gene-PA2434	43	22	8	25	35	50	4	3	4	0	3	103	host	gene-PA2434
gene-PA1494	20	13	28	29	27	161	8	8	16	2	4	222	host	gene-PA1494
gene-PA1091	1192	937	5158	897	1201	668	146	101	89	58	67	712	host	fgtA
gene-PA0308	101	88	38	47	67	165	9	12	32	4	2	246	host	gene-PA0308
gene-PA1246	128	165	55	73	123	135	9	11	22	6	1	322	host	aprD
gene-PA0205	23	17	55	7	9	358	1	5	30	0	2	415	host	gene-PA0205
gene-PA1155	171	327	320	261	514	600	59	80	49	37	29	321	host	nrdB
gene-PA4125	5	2	11	5	6	145	1	1	9	0	0	192	host	hpcD
gene-PA0637	42	64	45	55	84	141	56	56	30	50	30	157	host	gene-PA0637
gene-PA4175	143	144	179	132	252	274	24	47	44	16	12	246	host	piv
gene-PA3052	37	34	34	26	40	145	2	3	23	4	2	199	host	gene-PA3052
gene-PA2117	136	43	21	56	44	106	20	19	9	11	9	105	host	gene-PA2117
gene-PA4756	1227	1151	532	1436	1513	1217	358	363	108	190	137	633	host	carB
gene-PA1305	36	36	19	52	67	104	9	11	12	5	4	212	host	gene-PA1305
gene-PA0282	8	10	20	7	6	172	0	2	24	5	1	360	host	cysT
gene-PA3479	17	125	49	8	89	189	3	26	18	24	2	118	host	rhlA
gene-PA2146	0	1	6	1	1	47	0	0	4	0	0	36	host	gene-PA2146
gene-PA4166	12	5	1586	5	6	108	3	1	10	0	2	101	host	gene-PA4166
gene-PA0434	43	33	76	34	43	426	3	4	50	1	1	675	host	gene-PA0434
gene-PA3650	438	513	105	212	387	277	103	110	35	57	43	302	host	dxr
gene-PA4991	88	57	47	94	87	187	25	18	17	5	11	277	host	gene-PA4991
gene-PA4073	23	18	40	16	17	262	4	2	81	0	2	393	host	gene-PA4073
gene-PA1332	22	23	29	12	26	100	3	4	13	2	0	235	host	gene-PA1332
gene-PA4004	153	207	32	181	276	172	29	38	14	17	8	254	host	gene-PA4004
gene-PPLUZ19_gp6	0	0	14	4876	5158	40975	16444	15830	4356	4907	4296	9961	phage	gp6
gene-PA4345	37	16	27	16	24	138	6	6	22	5	2	246	host	gene-PA4345
gene-PA1129	10	14	7	5	9	50	0	1	9	0	0	59	host	gene-PA1129
gene-PA4497	121	91	71	138	136	2180	10	16	32	7	5	370	host	gene-PA4497
gene-PA0105	118	80	70	85	100	295	16	20	38	5	1	189	host	coxB
gene-PA1147	12	13	15	14	15	123	3	2	24	3	1	181	host	gene-PA1147
gene-PA5499	73	49	42	26	44	103	11	8	22	5	9	76	host	np20
gene-PA0211	9	4	20	11	46	110	2	2	9	1	1	316	host	mdcD
gene-PA5497	145	311	401	105	195	470	16	31	71	16	16	194	host	nrdJa
gene-PA2219	10	10	27	6	9	158	1	4	15	1	1	204	host	opdE
gene-PA1016	32	28	20	5	10	123	2	4	19	4	2	254	host	gene-PA1016
gene-PA1368	32	47	52	14	21	210	4	9	26	5	3	136	host	gene-PA1368
